Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CL,2018-06,-4.164B,833.00M,1.585B,346.00M,0.73,0.73,4.218B,8.408B,2.301B,2018-06,1.254B,637.00M,-35.00M,-35.00M,3.908B,206.00M,6.519B,946.00M,3.596B,888.00M,213.00M,3.886B,1.30B,-523.00M,12.65B,1.466B,4.172B,3.942B,12.84B,8.478B,8.897B,1.355B,1.503B,1.545B
CL,2018-03,-3.90B,851.00M,1.594B,159.00M,0.72,0.72,4.354B,8.648B,2.408B,2018-03,1.312B,634.00M,-35.00M,-35.00M,4.087B,249.00M,6.55B,983.00M,3.821B,924.00M,246.00M,4.002B,1.392B,-249.00M,13.14B,1.466B,4.292B,3.98B,13.04B,8.852B,9.063B,1.425B,1.641B,1.644B
CL,2017-12,-3.855B,1.535B,1.564B,11.00M,0.37,0.37,3.559B,8.46B,2.328B,2017-12,1.221B,323.00M,-28.00M,-28.00M,4.072B,204.00M,6.566B,963.00M,3.296B,896.00M,543.00M,3.892B,1.345B,-60.00M,12.68B,1.466B,4.639B,3.408B,12.43B,8.037B,9.025B,1.365B,1.689B,1.48B
CL,2017-09,-3.834B,1.38B,1.591B,7.00M,0.69,0.68,3.559B,8.419B,2.383B,2017-09,1.205B,607.00M,-27.00M,-27.00M,3.999B,196.00M,6.52B,957.00M,3.847B,900.00M,250.00M,3.974B,1.41B,-108.00M,12.78B,1.466B,4.736B,3.854B,12.51B,8.039B,8.654B,1.426B,1.555B,1.53B
CL,2017-06,-3.947B,1.241B,1.526B,13.00M,0.59,0.59,3.531B,8.261B,2.30B,2017-06,1.199B,524.00M,-24.00M,-24.00M,3.93B,195.00M,6.506B,878.00M,3.767B,829.00M,269.00M,3.826B,1.309B,-242.00M,12.58B,1.466B,4.555B,3.78B,12.49B,8.025B,8.712B,1.422B,1.535B,1.526B
CL,2017-03,-4.052B,1.347B,1.493B,7.00M,0.64,0.64,3.446B,8.146B,2.269B,2017-03,1.189B,570.00M,-23.00M,-23.00M,3.883B,198.00M,6.466B,912.00M,3.802B,862.00M,251.00M,3.762B,1.336B,-313.00M,12.45B,1.466B,4.596B,3.809B,12.45B,7.852B,8.644B,1.357B,1.695B,1.496B
CL,2016-12,-4.18B,1.315B,1.474B,13.00M,0.69,0.68,3.42B,7.942B,2.247B,2016-12,1.171B,606.00M,-21.00M,-21.00M,3.84B,246.00M,6.52B,1.076B,3.208B,934.00M,306.00M,3.721B,1.147B,-243.00M,12.12B,1.466B,4.338B,3.305B,12.11B,7.785B,8.801B,1.171B,1.677B,1.411B
CL,2016-09,-3.829B,1.298B,1.543B,907.00M,0.79,0.78,3.527B,8.309B,2.324B,2016-09,1.193B,702.00M,-25.00M,-25.00M,3.837B,270.00M,5.616B,1.071B,3.748B,1.046B,300.00M,3.867B,1.322B,-133.00M,12.62B,1.466B,4.764B,4.655B,12.40B,7.859B,7.74B,1.253B,1.426B,1.56B
CL,2016-06,-3.843B,1.085B,1.541B,953.00M,0.67,0.67,3.517B,8.247B,2.304B,2016-06,1.232B,600.00M,-25.00M,-25.00M,3.825B,258.00M,5.619B,944.00M,3.718B,919.00M,281.00M,3.845B,1.32B,-281.00M,12.52B,1.466B,4.614B,4.671B,12.48B,7.901B,7.81B,1.36B,1.446B,1.575B
CL,2016-03,-3.825B,1.014B,1.514B,703.00M,0.6,0.59,3.531B,8.222B,2.248B,2016-03,1.234B,533.00M,-28.00M,-28.00M,3.82B,249.00M,5.877B,867.00M,3.76B,839.00M,265.00M,3.762B,1.354B,-370.00M,12.45B,1.466B,4.49B,4.463B,12.52B,7.958B,8.058B,1.381B,1.478B,1.546B
CL,2015-12,-3.95B,970.00M,1.606B,302.00M,-0.51,-0.51,3.449B,8.059B,2.293B,2015-12,1.18B,-458.00M,-7.00M,-7.00M,3.796B,233.00M,6.246B,968.00M,3.153B,-146.00M,275.00M,3.899B,1.286B,-299.00M,11.94B,1.466B,4.384B,3.534B,11.98B,7.551B,8.445B,1.325B,1.508B,1.427B
CL,2015-09,-4.085B,1.445B,1.652B,236.00M,0.81,0.8,3.506B,8.312B,2.347B,2015-09,1.277B,726.00M,-5.00M,-5.00M,3.959B,234.00M,6.554B,1.136B,3.701B,1.131B,361.00M,3.999B,1.347B,255.00M,13.56B,1.466B,5.089B,3.937B,12.97B,8.474B,9.036B,1.211B,1.449B,1.561B
CL,2015-06,-3.776B,1.059B,1.699B,497.00M,0.63,0.63,3.612B,8.418B,2.367B,2015-06,1.324B,574.00M,-6.00M,-6.00M,4.039B,261.00M,6.186B,932.00M,3.709B,926.00M,310.00M,4.066B,1.381B,454.00M,13.66B,1.466B,4.988B,4.206B,12.90B,8.672B,8.697B,1.435B,1.466B,1.691B
CL,2015-03,-3.847B,859.00M,1.678B,506.00M,0.6,0.59,3.542B,8.212B,2.392B,2015-03,1.35B,542.00M,-8.00M,-8.00M,3.968B,233.00M,5.622B,860.00M,3.817B,852.00M,269.00M,4.07B,1.45B,460.00M,13.16B,1.466B,4.70B,4.323B,12.42B,8.456B,8.094B,1.532B,1.584B,1.611B
