Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
O,2018-06,0,30.72M,16.24M,534.00M,111.81M,0.34,0.34,1.243B,0,312.65M,2018-06,96.38M,-67.42M,-67.42M,0,6.012B,160.70M,186.78M,97.90M,1.208M,328.89M,17.95M,7.476B,14.67B,9.926B,252.99M,832.59M,7.162B,14.42B,6.329B,151.95M,82.60M,129.37M
O,2018-03,0,20.63M,16.55M,1.082B,112.00M,0.29,0.29,1.277B,0,301.74M,2018-03,83.16M,-61.42M,-61.42M,0,5.518B,154.96M,155.28M,84.54M,1.223M,318.30M,15.68M,7.268B,14.47B,9.625B,209.77M,1.349B,7.176B,14.26B,5.827B,146.79M,77.86M,134.98M
O,2017-12,0,6.898M,16.65M,110.00M,105.28M,0.22,0.22,1.210B,0,294.00M,2017-12,60.85M,-62.51M,-62.51M,0,6.007B,151.75M,170.32M,64.38M,3.423M,310.65M,15.22M,7.372B,14.06B,9.624B,163.32M,385.61M,6.667B,13.89B,6.282B,142.25M,72.52M,128.72M
O,2017-09,0,3.199M,17.27M,658.00M,103.52M,0.32,0.3186,1.180B,0,289.65M,2017-09,87.94M,-63.32M,-63.32M,0,5.134B,148.20M,153.05M,89.21M,1.133M,306.92M,13.88M,7.354B,13.70B,9.488B,162.06M,914.57M,6.327B,13.54B,5.413B,141.45M,82.56M,119.02M
O,2017-06,0,10.94M,16.49M,648.00M,113.18M,0.3,0.2971,1.195B,0,283.68M,2017-06,81.14M,-63.21M,-63.21M,0,5.345B,144.81M,173.88M,81.70M,0.441M,300.17M,15.78M,7.001B,13.57B,9.047B,169.56M,935.06M,6.553B,13.40B,5.618B,138.87M,74.43M,123.21M
O,2017-03,0,27.60M,19.08M,0,110.47M,0.27,0.27,1.123B,0,278.95M,2017-03,88.87M,-58.38M,-58.38M,0,5.429B,144.29M,144.52M,90.08M,1.047M,298.02M,13.56M,7.035B,13.42B,8.988B,201.38M,254.99M,6.367B,13.22B,6.112B,134.66M,71.24M,119.76M
O,2016-12,0,9.42M,17.41M,1.12B,74.10M,0.33,0.33,1.097B,0,270.43M,2016-12,92.44M,-56.41M,-56.41M,0,4.725B,139.12M,176.39M,93.17M,0.45M,287.84M,13.56M,6.767B,13.15B,8.624B,164.62M,1.370B,6.366B,12.99B,4.995B,131.31M,72.18M,109.97M
O,2016-09,0,29.80M,15.68M,1.082B,86.48M,0.27,0.27,1.103B,0,261.50M,2016-09,77.07M,-55.00M,-55.00M,0,4.174B,135.48M,152.31M,78.10M,0.894M,277.17M,12.10M,6.755B,12.54B,8.540B,180.33M,1.321B,5.766B,12.36B,4.445B,126.02M,75.93M,99.92M
O,2016-06,0,20.44M,14.67M,512.00M,29.74M,0.27,0.27,1.078B,0,256.37M,2016-06,75.82M,-55.30M,-55.30M,0,4.440B,132.04M,184.05M,77.02M,0.953M,271.04M,13.98M,6.801B,12.25B,8.501B,157.82M,725.79M,5.429B,12.09B,4.704B,124.33M,69.01M,92.61M
O,2016-03,0,8.695M,15.10M,653.00M,31.92M,0.25,0.25,1.033B,0,252.01M,2016-03,70.24M,-54.90M,-54.90M,0,4.457B,131.76M,138.81M,71.45M,0.964M,267.12M,12.32M,6.479B,12.04B,8.095B,123.19M,823.73M,5.537B,11.91B,4.713B,120.25M,63.83M,88.47M
O,2015-12,0,40.29M,12.90M,238.00M,42.84M,0.31,0.3053,1.050B,0,250.77M,2015-12,82.94M,-56.08M,-56.08M,0,4.588B,132.06M,166.17M,83.83M,0.721M,263.67M,12.97M,6.532B,11.85B,8.062B,168.08M,447.01M,5.292B,11.68B,4.845B,118.71M,63.70M,99.58M
O,2015-09,0,7.074M,13.54M,439.00M,26.31M,0.26,0.26,1.059B,0,245.35M,2015-09,67.48M,-58.77M,-58.77M,0,4.817B,130.15M,145.06M,68.56M,0.745M,258.89M,10.86M,6.040B,11.74B,7.503B,144.17M,610.38M,5.675B,11.59B,5.064B,115.20M,67.02M,93.02M
O,2015-06,0,18.74M,14.94M,430.00M,29.90M,0.26,0.25,1.067B,0,238.92M,2015-06,66.09M,-57.78M,-57.78M,0,4.880B,125.21M,159.91M,66.98M,0.628M,253.86M,12.61M,5.960B,11.73B,7.349B,137.24M,619.81M,5.744B,11.59B,5.124B,113.71M,61.52M,88.46M
O,2015-03,0,12.19M,13.98M,370.00M,30.93M,0.27,0.27,1.072B,0,232.89M,2015-03,67.26M,-57.41M,-57.41M,0,4.660B,121.99M,123.06M,68.66M,1.074M,246.87M,12.86M,5.650B,11.09B,6.965B,140.12M,523.99M,5.418B,10.95B,4.894B,110.90M,55.11M,85.07M
O,2014-12,0,3.852M,20.40M,223.00M,36.12M,0.32,0.32,1.055B,0,227.18M,2014-12,77.79M,-57.81M,-57.81M,0,4.712B,115.05M,166.96M,79.48M,1.103M,247.57M,15.59M,5.613B,11.01B,6.860B,152.10M,426.08M,5.372B,10.86B,4.945B,112.12M,55.31M,82.73M
O,2014-09,0,16.94M,12.77M,45.00M,31.72M,0.26,0.26,1.075B,0,222.94M,2014-09,73.28M,-52.29M,-52.29M,0,4.717B,116.66M,121.56M,74.32M,0.697M,235.71M,11.02M,5.562B,10.94B,6.757B,138.92M,198.28M,5.349B,10.80B,5.151B,106.28M,43.29M,66.29M
O,2014-06,0,8.908M,10.13M,70.80M,24.00M,0.23,0.23,1.064B,0,218.52M,2014-06,61.90M,-51.73M,-51.73M,0,4.522B,114.04M,143.33M,62.79M,0.57M,228.65M,11.59M,5.836B,10.81B,6.966B,98.82M,238.13M,4.948B,10.71B,4.710B,104.48M,44.35M,62.29M
O,2014-03,0,14.14M,10.58M,740.10M,28.21M,0.23,0.23,1.002B,0,211.00M,2014-03,57.66M,-51.66M,-51.66M,0,4.078B,108.14M,111.88M,56.01M,1.091M,221.57M,12.89M,5.326B,10.48B,6.384B,100.08M,880.19M,5.126B,10.38B,4.246B,102.86M,41.54M,59.31M
O,2013-12,0,10.26M,13.06M,128.00M,31.14M,0.26,0.26,951.12M,0,203.10M,2013-12,64.34M,-50.96M,-50.96M,0,4.039B,101.29M,143.96M,50.37M,0.58M,216.16M,16.52M,5.385B,9.924B,6.377B,151.36M,303.11M,4.503B,9.773B,4.200B,101.82M,41.45M,107.24M
O,2013-09,0,9.96M,8.466M,468.40M,26.01M,0.21,0.21,971.63M,0,193.62M,2013-09,51.57M,-49.24M,-49.24M,0,4.081B,96.15M,108.66M,46.08M,0.569M,202.08M,16.64M,5.010B,9.881B,5.943B,154.76M,603.06M,4.835B,9.726B,4.232B,97.46M,39.36M,108.86M
O,2013-06,0,22.58M,7.754M,701.00M,16.81M,0.23,0.23,987.88M,5.629B,178.69M,2013-06,56.44M,-40.97M,-40.97M,4.728B,3.347B,92.70M,116.69M,52.57M,0.624M,186.44M,12.09M,5.069B,9.416B,5.939B,171.27M,834.50M,4.310B,9.244B,3.476B,85.99M,39.28M,104.42M
O,2013-03,0,4.159M,9.572M,116.60M,15.09M,0.37,0.36,864.64M,5.155B,165.95M,2013-03,73.22M,-41.15M,-41.15M,4.285B,3.284B,87.57M,90.84M,33.94M,0.577M,175.52M,11.63M,5.128B,8.764B,5.935B,161.62M,222.53M,3.622B,8.602B,3.400B,78.38M,39.11M,97.46M
O,2012-12,0,5.248M,16.15M,158.00M,20.93M,0.08,0.08,259.07M,4.973B,127.62M,2012-12,39.02M,-35.68M,-35.68M,4.129B,2.712B,75.59M,94.17M,33.88M,-0.154M,143.77M,10.35M,2.413B,5.429B,3.181B,120.63M,273.10M,3.017B,5.309B,2.743B,52.04M,23.74M,84.86M
O,2012-09,0,2.794M,1.532M,237.40M,18.15M,0.2,0.2,17.01M,4.801B,115.62M,2012-09,37.46M,-29.70M,-29.70M,4.014B,2.492B,69.24M,61.73M,34.03M,0.405M,117.15M,9.335M,2.443B,5.036B,3.179B,19.98M,61.73M,2.594B,5.016B,2.532B,46.37M,61.73M,17.19M
O,2012-06,0,6.064M,1.746M,0,0,0.25,0.25,164.99M,4.388B,111.39M,2012-06,43.41M,-28.77M,-28.77M,3.627B,1.990B,67.37M,82.49M,38.57M,0.405M,113.13M,9.273M,2.473B,4.577B,3.177B,23.66M,82.49M,2.104B,4.553B,2.021B,44.02M,40.58M,17.60M
O,2012-03,0,5.194M,2.155M,0,0,0.2,0.2,166.55M,4.230B,110.15M,2012-03,39.26M,-28.95M,-28.95M,3.493B,1.850B,66.40M,57.17M,37.45M,0.405M,112.30M,9.168M,2.461B,4.398B,3.139B,22.76M,57.17M,1.937B,4.376B,1.880B,43.75M,36.66M,17.57M
O,2011-12,0,4.165M,10.52M,0,0,0.26,0.26,170.54M,0,98.36M,2011-12,41.00M,-28.99M,-28.99M,0,1.818B,60.46M,80.18M,31.47M,0.368M,108.87M,7.953M,2.255B,4.419B,2.901B,61.94M,335.72M,2.165B,4.357B,1.829B,37.89M,21.40M,45.73M
O,2011-09,0,5.543M,1.657M,0,0,0.27,0.27,167.33M,0,104.57M,2011-09,40.78M,-28.55M,-28.55M,0,1.915B,65.87M,55.90M,37.32M,0.367M,106.23M,7.143M,2.276B,4.275B,2.898B,17.61M,55.90M,1.999B,4.257B,1.943B,38.70M,37.95M,12.06M
O,2011-06,0,155.67M,1.597M,0,0,0.26,0.26,123.76M,0,100.02M,2011-06,39.25M,-25.65M,-25.65M,0,1.810B,63.36M,72.36M,37.72M,0.368M,101.62M,7.987M,2.091B,3.991B,2.692B,166.57M,72.36M,1.900B,3.824B,1.828B,36.66M,39.42M,10.90M
O,2011-03,0,129.71M,1.705M,0,0,0.25,0.25,75.56M,0,95.58M,2011-03,36.00M,-25.12M,-25.12M,0,1.60B,61.10M,44.16M,35.98M,0.368M,97.28M,7.87M,2.110B,3.771B,2.690B,140.21M,44.16M,1.660B,3.630B,1.616B,34.48M,31.63M,10.51M
