Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
VRSN,2017-12,-2.941M,2.415B,47.68M,628.91M,776.93M,1.05,0.83,197.53M,752.16M,247.82M,2017-12,102.84M,-33.91M,-33.91M,263.51M,730.20M,1.783B,176.43M,104.50M,142.05M,39.21M,12.77M,295.50M,58.62M,-1.260B,2.941B,0.325M,2.446B,1.561B,4.201B,495.04M,2.641B,71.39M,24.00M,11.46M
VRSN,2017-09,-3.154M,2.366B,47.33M,625.89M,771.33M,1.15,0.93,197.53M,265.31M,245.10M,2017-09,114.90M,-31.92M,-31.92M,265.31M,690.62M,1.782B,181.06M,102.43M,149.54M,34.64M,12.72M,292.43M,51.32M,-1.230B,2.908B,0.325M,2.406B,1.536B,4.138B,502.34M,2.603B,64.04M,41.24M,16.61M
VRSN,2017-06,-2.89M,1.808B,47.64M,629.76M,764.11M,1.22,0.99,197.53M,261.87M,240.91M,2017-06,123.10M,-25.78M,-25.78M,261.87M,673.84M,1.238B,174.96M,92.82M,159.87M,36.77M,13.51M,288.55M,52.44M,-1.203B,2.344B,0.325M,1.844B,1.523B,3.547B,500.16M,2.024B,65.95M,41.76M,13.45M
VRSN,2017-03,-3.107M,1.786B,50.67M,626.86M,772.06M,1.14,0.94,197.53M,262.35M,237.94M,2017-03,116.41M,-26.78M,-26.78M,262.35M,653.03M,1.238B,175.27M,72.73M,147.55M,31.14M,13.34M,288.61M,49.33M,-1.188B,2.316B,0.325M,1.817B,1.499B,3.503B,498.30M,2.004B,62.67M,24.98M,13.32M
VRSN,2016-12,-3.453M,1.798B,49.10M,632.31M,740.44M,1.01,0.84,197.53M,730.91M,237.17M,2016-12,105.55M,-27.08M,-27.08M,266.12M,658.86M,1.237B,168.76M,90.32M,141.85M,36.30M,13.74M,286.27M,54.66M,-1.201B,2.335B,0.324M,1.842B,1.522B,3.535B,492.23M,2.013B,68.41M,42.60M,28.38M
VRSN,2016-09,-2.685M,1.758B,49.81M,0,731.54M,1.08,0.9,197.53M,270.16M,237.75M,2016-09,114.43M,-27.19M,-27.19M,270.16M,631.39M,1.237B,174.78M,78.81M,149.12M,34.69M,14.32M,287.55M,48.65M,-1.169B,2.298B,0.324M,1.795B,1.482B,3.467B,503.01M,1.985B,62.97M,32.58M,19.48M
VRSN,2016-06,-2.189M,1.907B,48.75M,0,739.01M,1.05,0.87,52.53M,277.94M,237.71M,2016-06,113.21M,-27.34M,-27.34M,277.94M,614.34M,1.236B,176.27M,64.68M,149.12M,35.91M,14.29M,286.47M,47.16M,-1.127B,2.314B,0.324M,1.945B,1.476B,3.442B,369.52M,1.965B,61.45M,22.15M,17.19M
VRSN,2016-03,-3.124M,1.896B,50.58M,629.44M,748.14M,0.98,0.82,52.53M,286.20M,231.29M,2016-03,107.46M,-27.76M,-27.76M,286.20M,599.60M,1.236B,166.77M,71.89M,141.08M,33.63M,16.74M,281.88M,47.78M,-1.108B,2.324B,0.324M,1.946B,1.482B,3.432B,377.62M,1.950B,64.53M,23.25M,30.14M
VRSN,2015-12,-3.993M,1.915B,49.00M,634.33M,728.79M,0.92,0.76,54.53M,721.32M,223.63M,2015-12,101.53M,-27.71M,-27.71M,295.57M,575.05M,1.235B,158.28M,88.01M,125.38M,23.85M,15.20M,272.62M,50.15M,-1.070B,2.358B,0.323M,1.968B,1.503B,3.428B,389.81M,1.925B,65.35M,40.24M,35.74M
VRSN,2015-09,-2.589M,1.891B,47.22M,626.59M,1.207B,0.82,0.7,52.53M,297.30M,218.56M,2015-09,92.46M,-27.90M,-27.90M,297.30M,279.72M,1.235B,154.46M,106.89M,121.94M,29.49M,15.02M,265.78M,49.08M,-1.031B,2.577B,0.323M,1.941B,1.980B,3.609B,636.16M,1.629B,64.10M,58.98M,33.17M
