Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
GL,2018-09,603.50M,16.44B,671.67M,0,1.59,1.55,441.59M,2018-09,178.72M,537.81M,-22.43M,-22.43M,108.00M,0,817.47M,1.098B,220.33M,41.63M,1.084B,66.22M,5.572B,22.88B,124.22M,16.84B,1.770B,17.31B,17.85B,884.35M,74.06M,1.098B,407.68M
GL,2018-06,940.20M,16.80B,365.16M,0,1.63,1.59,441.59M,2018-06,184.42M,532.38M,-22.41M,-22.41M,97.00M,0,1.131B,1.217B,226.86M,42.47M,1.085B,65.77M,5.820B,23.18B,124.22M,17.20B,1.582B,17.36B,18.22B,1.198B,68.62M,1.217B,396.38M
GL,2018-03,1.424B,17.21B,328.07M,0,1.52,1.49,441.59M,2018-03,173.60M,529.53M,-21.62M,-21.62M,0,0,1.132B,1.312B,212.84M,39.13M,1.070B,57.73M,6.231B,23.47B,124.22M,17.61B,1.640B,17.24B,18.60B,1.194B,66.82M,1.312B,391.78M
GL,2017-12,1.039B,16.81B,309.00M,0,8.93,8.71,441.59M,2017-12,1.027B,523.32M,-21.71M,-21.71M,0,0,1.131B,2.069B,216.37M,-811.00M,1.057B,60.34M,5.168B,22.99B,127.22M,17.20B,2.378B,17.83B,18.23B,1.192B,69.47M,2.069B,389.08M
GL,2017-09,984.56M,16.51B,306.27M,0,1.32,1.29,441.59M,2017-09,153.33M,516.06M,-20.97M,-20.97M,0,0,1.132B,2.010B,220.61M,67.26M,1.046B,60.69M,5.053B,22.58B,127.22M,16.89B,2.316B,17.52B,17.89B,1.201B,63.02M,2.010B,380.03M
GL,2017-06,722.86M,16.06B,327.02M,0,1.2,1.18,441.59M,2017-06,140.27M,510.57M,-21.16M,-21.16M,0,0,1.133B,1.864B,201.93M,61.56M,1.029B,59.76M,4.745B,22.09B,127.22M,16.43B,2.191B,17.34B,17.46B,1.203B,62.43M,1.864B,370.31M
GL,2017-03,577.57M,15.39B,264.48M,0,1.13,1.11,441.59M,2017-03,133.54M,507.98M,-20.70M,-20.70M,0,0,1.133B,1.744B,191.74M,54.56M,1.024B,54.13M,4.567B,21.44B,127.22M,15.78B,2.008B,16.87B,16.79B,1.197B,62.34M,1.744B,384.45M
GL,2016-12,1.143B,16.01B,266.89M,0,1.14,1.12,441.59M,2016-12,135.45M,499.08M,-20.48M,-20.48M,0,0,1.134B,2.024B,175.98M,51.17M,975.34M,50.87M,5.086B,22.08B,130.22M,16.37B,2.291B,16.99B,17.35B,1.197B,58.98M,2.024B,361.28M
GL,2016-09,989.16M,15.54B,286.01M,0,1.27,1.25,441.59M,2016-09,151.87M,501.56M,-20.38M,-20.38M,0,0,1.134B,1.887B,201.46M,59.55M,989.77M,55.85M,4.878B,21.57B,130.22M,15.90B,2.173B,16.70B,16.94B,1.207B,57.80M,1.887B,358.69M
GL,2016-06,535.48M,14.62B,557.16M,0,1.15,1.13,441.59M,2016-06,138.43M,496.84M,-23.11M,-23.11M,0,0,743.95M,1.665B,199.34M,60.05M,991.88M,55.47M,4.392B,20.62B,130.22M,14.97B,2.222B,16.23B,16.06B,815.49M,57.85M,1.665B,349.65M
GL,2016-03,231.95M,13.87B,490.13M,0,1.02,1.01,441.59M,2016-03,124.03M,492.46M,-19.37M,-19.37M,83.00M,0,743.73M,1.451B,195.45M,61.87M,977.63M,50.18M,4.056B,19.85B,130.22M,14.22B,1.941B,15.80B,15.27B,810.75M,57.43M,1.451B,344.55M
GL,2015-12,499.83M,14.20B,618.24M,0,1.08,1.07,441.59M,2015-12,132.96M,486.04M,-19.22M,-19.22M,54.00M,0,743.50M,1.589B,175.98M,56.85M,933.86M,49.36M,4.283B,20.12B,134.22M,14.88B,2.207B,15.84B,15.57B,813.83M,56.72M,1.589B,676.16M
GL,2015-09,555.32M,14.21B,636.86M,0,1.17,1.15,441.59M,2015-09,145.39M,479.95M,-19.25M,-19.25M,51.00M,0,743.30M,1.565B,199.01M,65.15M,947.15M,54.00M,4.306B,20.02B,134.22M,14.84B,2.202B,15.71B,15.56B,820.28M,56.18M,1.565B,627.66M
GL,2015-06,1.166B,14.99B,258.92M,0,1.01,1,441.59M,2015-06,127.11M,474.72M,-19.11M,-19.11M,0,0,992.50M,1.919B,196.72M,64.20M,950.61M,53.28M,4.884B,20.70B,134.22M,15.56B,2.178B,15.81B,16.39B,1.067B,55.59M,1.919B,565.96M
GL,2015-03,997.45M,14.57B,238.40M,0,0.96,0.95,441.59M,2015-03,121.65M,472.11M,-19.06M,-19.06M,0,0,992.13M,1.786B,194.48M,63.70M,934.44M,49.61M,4.697B,20.27B,134.22M,14.90B,2.024B,15.57B,15.92B,1.064B,55.36M,1.786B,327.86M
GL,2014-12,882.83M,14.30B,290.42M,0,1.14,1.12,441.59M,2014-12,146.75M,465.00M,-19.01M,-19.01M,0,0,991.80M,1.696B,196.28M,64.39M,630.66M,32.43M,4.530B,19.87B,139.22M,14.80B,1.986B,15.34B,15.65B,1.066B,48.52M,1.696B,499.88M
GL,2014-09,887.97M,14.22B,274.94M,0,1.02,1,441.59M,2014-09,132.41M,457.82M,-19.03M,-19.03M,0,0,991.50M,1.648B,197.05M,64.64M,974.49M,52.72M,4.509B,19.65B,139.22M,14.65B,1.923B,15.14B,15.57B,1.066B,55.40M,1.648B,425.42M
GL,2014-06,606.06M,13.77B,264.92M,0,1,0.98,441.59M,2014-06,130.92M,451.97M,-19.04M,-19.04M,0,0,991.20M,1.529B,193.81M,62.89M,991.04M,48.84M,4.189B,19.06B,100.81M,14.14B,1.794B,14.88B,15.06B,1.069B,56.40M,1.529B,372.62M
GL,2014-03,210.98M,12.99B,229.07M,0,1,0.98,441.59M,2014-03,132.86M,448.89M,-19.05M,-19.05M,0,0,990.86M,1.286B,197.54M,64.68M,1.024B,0,3.776B,18.19B,151.22M,13.32B,1.515B,14.42B,14.27B,1.065B,51.97M,1.286B,331.10M
GL,2013-12,237.14M,12.93B,227.93M,0,1.06,1.04,441.59M,2013-12,142.82M,441.87M,-19.08M,-19.08M,0,0,990.60M,1.272B,198.62M,77.07M,652.91M,0,3.777B,18.14B,105.81M,13.34B,1.500B,14.36B,14.16B,1.069B,50.60M,1.272B,412.97M
GL,2013-09,333.90M,13.01B,349.00M,1.612B,0.97,0.95,441.59M,2013-09,132.12M,433.33M,-19.68M,-19.68M,46.00M,0,990.30M,1.300B,190.85M,58.73M,932.79M,50.19M,3.822B,18.14B,105.81M,13.40B,1.649B,14.32B,14.23B,1.070B,53.24M,1.300B,388.74M
GL,2013-06,850.03M,13.77B,369.00M,1.461B,0.97,0.96,441.59M,2013-06,133.90M,428.01M,-20.83M,-20.83M,48.00M,0,990.00M,1.604B,192.78M,58.88M,950.34M,49.52M,4.305B,18.88B,105.81M,14.17B,1.973B,14.57B,15.01B,1.070B,55.29M,1.604B,393.87M
GL,2013-03,925.28M,13.70B,319.04M,1.332B,0.8533,0.8467,441.59M,2013-03,119.63M,424.05M,-20.88M,-20.88M,0,0,989.69M,1.610B,173.06M,53.43M,958.22M,46.20M,4.362B,18.78B,105.81M,14.08B,1.929B,14.42B,14.92B,1.066B,52.31M,1.610B,383.71M
GL,2012-12,960.89M,684.86M,319.71M,1.501B,1.057,1.04,396.89M,2012-12,150.99M,417.21M,-21.35M,-21.35M,0,0,965.30M,360.61M,220.59M,69.60M,928.70M,15.78M,4.309B,17.94B,112.31M,1.019B,2.292B,13.63B,14.09B,1.035B,49.21M,360.61M,334.60M
GL,2012-09,734.38M,180.21M,319.83M,1.278B,0.9133,0.9067,396.89M,2012-09,130.67M,410.80M,-19.84M,-19.84M,0,0,791.07M,346.07M,188.79M,58.12M,877.10M,53.67M,3.998B,17.19B,112.31M,488.79M,2.127B,13.19B,13.62B,862.80M,48.43M,346.07M,308.58M
GL,2012-06,501.29M,134.28M,224.88M,1.248B,0.8867,0.88,396.89M,2012-06,128.99M,404.56M,-19.65M,-19.65M,0,0,790.82M,365.61M,186.38M,57.39M,885.80M,56.00M,3.834B,16.73B,112.31M,398.71M,1.923B,12.90B,13.22B,865.29M,47.76M,365.61M,264.43M
GL,2012-03,549.92M,11.99B,224.84M,0,0.7933,0.78,396.89M,2012-03,118.68M,400.91M,-19.67M,-19.67M,0,0,914.99M,1.320B,170.24M,51.56M,897.92M,0,3.860B,16.59B,112.31M,12.25B,1.545B,12.73B,13.12B,984.53M,48.12M,1.320B,253.55M
GL,2011-12,545.60M,224.50M,225.67M,0,0.8067,0.8,396.89M,2011-12,122.84M,395.39M,-19.53M,-19.53M,0,0,790.34M,351.59M,177.09M,54.25M,833.55M,0,4.183B,16.97B,119.81M,456.85M,2.078B,12.79B,12.90B,863.54M,-118.50M,351.59M,232.35M
GL,2011-09,153.26M,110.64M,199.86M,0,0.8333,0.8333,396.89M,2011-09,131.40M,387.34M,-19.51M,-19.51M,0,0,790.10M,335.55M,190.12M,58.87M,837.24M,0,3.780B,16.22B,119.81M,334.50M,1.813B,12.44B,12.23B,866.70M,98.94M,335.55M,223.87M
GL,2011-06,55.76M,554.69M,200.44M,0,0.86,0.8467,396.89M,2011-06,142.78M,382.15M,-19.41M,-19.41M,0,0,789.87M,353.49M,209.05M,66.27M,877.33M,0,3.959B,16.33B,79.88M,808.80M,1.802B,12.37B,12.12B,868.81M,102.51M,353.49M,254.11M
