Ticker,Date,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ODFL,2017-06,33.83M,603.78M,0,0.8,0.7933,19.46M,3.446B,236.14M,2017-06,0,98.42M,-0.573M,-0.573M,2.321B,272.60M,45.00M,160.43M,148.65M,160.29M,61.87M,839.91M,44.62M,1.993B,2.840B,8.239M,444.61M,344.41M,847.21M,2.396B,502.80M,75.70M,74.91M,370.20M
ODFL,2017-03,47.55M,577.89M,0,0.5333,0.5333,19.46M,3.335B,176.21M,2017-03,0,65.79M,-0.56M,-0.56M,2.246B,272.60M,45.00M,108.12M,158.27M,107.15M,41.36M,754.10M,39.10M,1.909B,2.745B,8.247M,425.07M,334.78M,835.65M,2.320B,500.86M,68.08M,88.27M,337.89M
ODFL,2016-12,10.17M,571.26M,0,0.5533,0.5533,19.46M,3.285B,174.48M,2016-12,0,68.51M,-0.934M,-0.934M,2.241B,272.60M,104.98M,113.45M,159.47M,111.32M,42.81M,745.74M,35.31M,1.851B,2.696B,8.242M,382.62M,288.64M,845.09M,2.314B,556.45M,61.03M,89.22M,334.49M
ODFL,2016-09,15.01M,578.27M,0,0.6867,0.6867,19.46M,3.248B,204.34M,2016-09,0,85.58M,-1.121M,-1.121M,2.230B,266.35M,193.13M,137.40M,128.57M,136.28M,50.70M,782.61M,39.22M,1.793B,2.684B,8.258M,389.16M,268.97M,890.87M,2.295B,621.90M,66.94M,55.14M,342.82M
ODFL,2016-06,10.67M,555.58M,0,0.6533,0.6533,19.46M,3.211B,199.86M,2016-06,0,81.39M,-1.052M,-1.052M,2.225B,252.50M,218.33M,133.44M,160.61M,132.12M,50.74M,755.44M,39.47M,1.742B,2.660B,8.31M,371.86M,291.35M,918.03M,2.288B,626.68M,66.42M,79.23M,327.50M
ODFL,2016-03,7.133M,541.78M,25.60M,0.48,0.48,19.46M,3.060B,165.95M,2016-03,0,60.28M,-1.167M,-1.167M,2.098B,235.05M,99.73M,99.55M,179.40M,97.86M,37.58M,707.73M,38.39M,1.700B,2.515B,8.365M,355.62M,323.22M,815.16M,2.160B,491.94M,66.40M,109.96M,316.20M
ODFL,2015-12,11.47M,560.96M,26.49M,0.5667,0.5667,19.46M,2.953B,173.61M,2015-12,0,72.22M,-1.287M,-1.287M,2.023B,235.05M,107.32M,113.92M,134.32M,111.96M,39.73M,734.57M,33.10M,1.685B,2.467B,8.441M,381.73M,285.40M,781.87M,2.085B,496.46M,59.69M,66.77M,345.05M
ODFL,2015-09,11.41M,570.51M,90.38M,0.66,0.66,19.46M,2.890B,208.96M,2015-09,0,84.37M,-1.13M,-1.13M,1.971B,218.77M,95.00M,139.85M,129.02M,136.86M,52.49M,779.47M,42.02M,1.647B,2.474B,8.496M,436.21M,364.17M,827.07M,2.038B,462.90M,69.11M,58.26M,357.80M
ODFL,2015-06,12.79M,555.76M,28.34M,0.6667,0.6667,19.46M,2.782B,206.39M,2015-06,0,85.57M,-1.086M,-1.086M,1.891B,211.61M,118.00M,140.90M,135.91M,139.37M,53.80M,762.15M,40.36M,1.600B,2.378B,8.55M,421.66M,298.86M,778.30M,1.956B,479.44M,65.49M,67.54M,339.78M
ODFL,2015-03,113.04M,527.70M,27.96M,0.4867,0.4867,19.46M,2.643B,168.54M,2015-03,0,62.52M,-1.498M,-1.498M,1.778B,205.62M,120.60M,103.56M,168.11M,101.83M,39.31M,696.24M,38.11M,1.543B,2.340B,8.591M,499.89M,321.68M,797.12M,1.840B,475.44M,64.98M,96.89M,325.15M
ODFL,2014-12,34.79M,545.92M,35.71M,0.54,0.54,19.46M,2.575B,175.13M,2014-12,0,69.87M,-1.419M,-1.419M,1.743B,191.41M,120.00M,112.30M,113.72M,110.35M,40.48M,721.05M,35.78M,1.494B,2.207B,8.609M,403.77M,255.64M,712.80M,1.803B,457.16M,62.83M,45.31M,347.90M
ODFL,2014-09,8.169M,550.27M,35.71M,0.6,0.6,19.46M,2.535B,193.32M,2014-09,0,77.91M,-1.444M,-1.444M,1.731B,185.83M,148.20M,126.26M,127.67M,123.87M,45.96M,743.59M,38.37M,1.430B,2.189B,8.616M,394.60M,286.60M,758.81M,1.794B,472.21M,67.06M,59.89M,329.48M
ODFL,2014-06,19.79M,521.02M,35.71M,0.5733,0.5733,19.46M,2.456B,181.97M,2014-06,0,73.85M,-1.596M,-1.596M,1.676B,178.12M,164.00M,122.70M,153.88M,121.06M,47.22M,702.99M,36.83M,1.352B,2.124B,8.616M,382.37M,297.56M,772.24M,1.742B,474.68M,59.28M,89.28M,306.20M
ODFL,2014-03,41.24M,483.21M,35.71M,0.3533,0.3533,19.46M,2.347B,137.07M,2014-03,0,45.89M,-2.043M,-2.043M,1.586B,189.89M,145.00M,80.05M,160.06M,77.23M,31.35M,620.28M,33.84M,1.278B,2.032B,8.616M,388.97M,293.50M,753.80M,1.643B,460.29M,57.02M,97.78M,288.57M
ODFL,2013-12,30.17M,469.92M,35.72M,0.3667,0.3667,19.46M,2.273B,122.55M,2013-12,0,47.16M,-2.292M,-2.292M,1.543B,189.12M,155.71M,76.84M,99.22M,75.07M,27.92M,592.47M,29.62M,1.232B,1.932B,8.616M,332.98M,232.12M,700.01M,1.599B,467.88M,45.71M,38.96M,258.29M
ODFL,2013-09,12.10M,464.91M,38.40M,0.4667,0.4667,19.46M,2.224B,151.55M,2013-09,0,60.15M,-2.434M,-2.434M,1.509B,185.41M,167.71M,98.08M,113.04M,95.25M,35.10M,616.46M,32.43M,1.185B,1.905B,8.616M,333.28M,248.81M,719.75M,1.571B,470.94M,53.47M,54.74M,275.48M
ODFL,2013-06,7.37M,443.72M,38.40M,0.4533,0.4533,19.46M,2.161B,146.58M,2013-06,0,58.26M,-2.361M,-2.361M,1.469B,154.80M,190.39M,97.57M,145.46M,94.88M,36.62M,590.30M,31.01M,1.125B,1.855B,8.616M,324.08M,273.13M,729.95M,1.531B,456.82M,49.01M,90.06M,270.84M
ODFL,2013-03,29.18M,422.85M,38.62M,0.3133,0.3133,19.46M,2.050B,115.56M,2013-03,0,40.55M,-2.386M,-2.386M,1.376B,148.72M,180.71M,65.94M,134.35M,63.48M,22.93M,538.42M,30.75M,1.067B,1.761B,8.616M,324.96M,254.13M,694.67M,1.436B,440.54M,49.62M,78.77M,250.32M
ODFL,2012-12,12.86M,422.16M,38.98M,0.3067,0.3067,19.46M,2.028B,111.64M,2012-12,0,39.48M,-2.749M,-2.749M,1.379B,153.19M,201.43M,67.52M,106.11M,64.28M,24.80M,533.80M,25.75M,1.026B,1.713B,8.616M,275.03M,225.14M,686.54M,1.437B,461.41M,44.12M,51.22M,220.36M
ODFL,2012-09,6.902M,422.01M,39.31M,0.3933,0.3933,19.46M,2.003B,128.50M,2012-09,0,51.04M,-2.86M,-2.86M,1.351B,146.84M,243.50M,80.93M,56.93M,78.36M,27.32M,550.51M,27.85M,986.49M,1.715B,8.616M,305.74M,237.63M,728.13M,1.409B,490.51M,47.57M,56.93M,253.82M
ODFL,2012-06,11.02M,416.77M,39.80M,0.3733,0.3733,19.46M,1.929B,130.69M,2012-06,0,47.83M,-2.652M,-2.652M,1.283B,133.88M,228.15M,82.59M,89.49M,79.06M,31.23M,547.45M,28.29M,935.45M,1.640B,5.744M,301.16M,244.45M,704.20M,1.338B,459.74M,48.10M,62.54M,244.01M
ODFL,2012-03,54.22M,397.25M,39.09M,0.24,0.24,19.46M,1.820B,99.89M,2012-03,0,31.10M,-3.167M,-3.167M,1.190B,121.36M,219.12M,54.22M,104.53M,51.40M,20.30M,497.14M,26.69M,887.61M,1.574B,5.744M,327.90M,251.27M,686.58M,1.246B,435.31M,45.67M,54.68M,230.65M
ODFL,2011-12,75.85M,1.140B,39.35M,0.3133,0.3133,19.46M,1.749B,-633.90M,2011-12,0,39.88M,-3.186M,-3.186M,1.127B,134.92M,229.83M,55.31M,98.72M,60.65M,20.76M,506.39M,-696.42M,856.52M,1.513B,8.616M,331.85M,204.81M,656.56M,1.181B,451.74M,-689.21M,42.13M,217.92M
ODFL,2011-09,42.26M,124.18M,37.33M,0.3,0.3,19.46M,1.705B,370.30M,2011-09,0,38.63M,-3.394M,-3.394M,1.103B,127.61M,227.14M,71.01M,74.72M,63.12M,24.49M,494.48M,275.89M,816.64M,1.473B,5.744M,318.59M,220.12M,656.56M,1.155B,436.44M,299.28M,50.71M,235.69M
ODFL,2011-06,28.66M,123.36M,38.10M,0.3067,0.3067,19.46M,1.652B,356.89M,2011-06,0,39.38M,-3.45M,-3.45M,1.060B,110.49M,227.14M,66.84M,61.56M,60.83M,21.45M,480.26M,268.04M,778.00M,1.410B,5.744M,296.14M,212.38M,631.50M,1.113B,419.12M,290.05M,41.16M,222.90M
