Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
VRSK,2018-06,-474.20M,135.80M,222.40M,736.90M,513.00M,0.93,0.91,4.662B,1.063B,378.90M,2018-06,153.50M,-31.90M,-31.90M,501.90M,349.60M,2.044B,212.30M,216.40M,185.00M,31.50M,601.30M,93.00M,2.074B,6.040B,0.10M,625.10M,1.466B,3.966B,5.414B,2.500B,166.60M,216.40M,370.20M
VRSK,2018-03,-309.30M,153.60M,221.20M,740.90M,586.60M,0.81,0.79,4.811B,865.60M,360.00M,2018-03,133.00M,-32.80M,-32.80M,489.00M,356.50M,2.041B,194.50M,230.60M,162.30M,29.30M,581.20M,91.80M,2.184B,6.247B,0.10M,708.60M,1.558B,4.063B,5.538B,2.504B,165.50M,230.60M,432.20M
VRSK,2017-12,-412.30M,142.30M,208.70M,724.40M,384.70M,1.24,1.22,4.714B,0,361.60M,2017-12,204.60M,-32.10M,-32.10M,478.30M,337.80M,2.284B,210.00M,228.50M,179.20M,-25.40M,570.30M,87.20M,1.925B,6.020B,0.10M,597.60M,1.338B,4.095B,5.423B,2.757B,151.60M,72.00M,374.30M
VRSK,2017-09,-443.30M,145.70M,198.50M,602.90M,390.00M,0.73,0.72,4.445B,0,350.60M,2017-09,120.70M,-30.30M,-30.30M,437.80M,384.10M,2.279B,208.40M,210.20M,180.70M,60.00M,549.10M,80.90M,1.673B,5.628B,0.10M,544.70M,1.203B,3.956B,5.084B,2.752B,142.20M,210.20M,320.10M
VRSK,2017-06,-526.40M,144.30M,193.70M,126.80M,449.00M,0.73,0.72,3.786B,0,329.50M,2017-06,121.00M,-28.50M,-28.50M,403.50M,337.50M,2.277B,195.00M,161.40M,169.90M,48.90M,523.20M,78.80M,1.466B,4.899B,0.10M,522.80M,737.20M,3.433B,4.376B,2.696B,134.50M,161.40M,318.50M
VRSK,2017-03,-616.90M,158.60M,182.90M,6.60M,501.60M,0.65,0.64,3.680B,0,319.70M,2017-03,108.80M,-28.40M,-28.40M,377.80M,329.40M,2.281B,187.70M,164.20M,161.20M,52.40M,502.60M,75.90M,1.386B,4.749B,0.10M,513.80M,672.40M,3.363B,4.235B,2.691B,132.00M,164.20M,302.00M
VRSK,2016-12,-650.80M,138.50M,193.00M,106.80M,330.80M,0.65,0.64,3.589B,0,313.10M,2016-12,109.30M,-28.30M,-28.30M,380.30M,322.20M,2.280B,185.40M,184.00M,160.20M,52.70M,506.10M,77.20M,1.332B,4.631B,0.10M,500.90M,621.60M,3.299B,4.130B,2.677B,127.70M,74.30M,313.20M
VRSK,2016-09,-518.93M,168.24M,169.70M,6.899M,355.46M,0.76,0.74,3.701B,0,328.40M,2016-09,127.60M,-28.10M,-28.10M,355.87M,305.69M,2.279B,198.40M,192.30M,172.40M,44.80M,498.10M,77.80M,1.475B,4.685B,0.137M,464.30M,556.49M,3.210B,4.221B,2.653B,130.00M,192.30M,241.18M
VRSK,2016-06,-457.14M,199.77M,178.40M,2.256M,431.17M,1.56,1.53,3.734B,0,319.90M,2016-06,261.80M,-31.50M,-31.50M,334.63M,314.70M,2.273B,191.20M,179.91M,160.60M,53.80M,498.30M,75.60M,1.450B,4.725B,0.137M,496.92M,615.17M,3.275B,4.228B,2.660B,128.70M,179.91M,247.07M
VRSK,2016-03,-316.78M,135.29M,173.30M,709.14M,486.55M,0.55,0.54,3.895B,0,319.40M,2016-03,92.60M,-32.00M,-32.00M,341.99M,342.17M,2.272B,192.60M,187.59M,160.60M,50.90M,492.70M,71.00M,1.290B,5.459B,0.137M,586.78M,1.417B,4.169B,4.872B,2.752B,126.80M,187.59M,305.87M
VRSK,2015-12,-242.00M,141.90M,160.70M,874.80M,340.90M,0.67,0.66,3.998B,752.30M,316.70M,2015-12,113.78M,-32.47M,-32.47M,350.30M,329.20M,2.271B,186.26M,222.10M,153.56M,45.53M,477.40M,75.61M,1.372B,5.594B,0.10M,604.60M,1.479B,4.222B,4.989B,2.742B,130.44M,93.30M,299.60M
VRSK,2015-09,-179.42M,172.46M,162.87M,905.47M,366.92M,0.78,0.77,4.535B,679.84M,307.53M,2015-09,131.81M,-33.00M,-33.00M,391.62M,401.42M,2.293B,197.15M,266.47M,182.04M,57.86M,470.41M,70.64M,1.314B,5.619B,0.137M,617.76M,1.541B,4.305B,5.001B,2.765B,110.39M,266.47M,311.21M
