Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
UDR,2018-03,-1.276M,1.083M,188.89M,332.71M,0,0.3,0.3,0,64.41M,2018-03,644.21M,81.76M,-27.18M,-27.18M,0,0,3.348B,48.95M,231.16M,89.45M,0.227M,253.30M,11.76M,2.877B,7.709B,48.88M,704.53M,563.86M,4.823B,7.005B,4.259B,15.46M,202.31M,39.47M
UDR,2017-12,-2.681M,2.038M,188.72M,321.77M,0,0.26,0.25,0,64.16M,2017-12,588.64M,69.24M,-33.66M,-33.66M,0,0,3.350B,47.87M,246.19M,76.69M,-1.065M,252.88M,11.59M,2.826B,7.733B,48.88M,629.94M,567.96M,4.898B,7.103B,4.330B,16.29M,212.76M,19.47M
UDR,2017-09,-4.167M,1.788M,187.54M,256.14M,0,0.06,0.06,0,63.55M,2017-09,532.58M,16.19M,-29.61M,-29.61M,0,0,3.679B,47.55M,252.99M,17.70M,0.127M,251.09M,12.47M,2.845B,7.761B,48.88M,573.38M,252.99M,4.908B,7.187B,4.655B,16.00M,222.80M,18.59M
UDR,2017-06,-4.395M,1.411M,185.21M,21.35M,0,0.03,0.03,0,62.77M,2017-06,465.30M,10.16M,-33.35M,-33.35M,0,0,3.635B,47.40M,231.68M,11.43M,0.366M,247.98M,11.43M,2.893B,7.768B,49.13M,503.60M,231.68M,4.869B,7.264B,4.638B,15.37M,203.20M,17.29M
UDR,2017-03,-4.288M,2.46M,181.46M,246.92M,0,0.09,0.09,0,62.39M,2017-03,393.84M,25.97M,-30.11M,-30.11M,0,0,3.281B,46.01M,217.04M,26.60M,0.332M,243.84M,13.08M,3.036B,7.736B,49.13M,435.84M,473.18M,4.696B,7.300B,4.223B,16.37M,189.15M,19.79M
UDR,2016-12,-5.609M,2.112M,177.94M,259.20M,0,0.89,0.88,0,65.07M,2016-12,342.28M,237.42M,-28.81M,-28.81M,0,0,3.380B,47.98M,237.42M,56.22M,12.28M,243.01M,13.26M,3.093B,7.680B,49.13M,384.18M,258.77M,4.583B,7.295B,4.324B,17.08M,208.16M,19.79M
UDR,2016-09,-11.15M,3.301M,182.31M,76.35M,0,0.1,0.1,0,60.94M,2016-09,294.84M,26.96M,-31.48M,-31.48M,0,0,3.297B,45.96M,242.72M,29.56M,0.094M,243.25M,11.83M,2.923B,7.651B,49.13M,426.23M,489.65M,4.725B,7.225B,4.236B,14.99M,214.59M,19.69M
UDR,2016-06,-12.97M,5.167M,181.28M,0,0,0.06,0.06,0,57.50M,2016-06,238.94M,17.95M,-30.14M,-30.14M,0,0,3.206B,43.29M,228.14M,11.85M,-0.402M,238.79M,10.84M,2.947B,7.610B,49.13M,319.06M,487.33M,4.661B,7.291B,4.174B,14.21M,201.40M,19.69M
UDR,2016-03,-12.04M,3.668M,179.54M,0,0,0.04,0.04,0,55.27M,2016-03,196.40M,10.39M,-30.67M,-30.67M,0,0,3.335B,38.12M,209.38M,8.131M,-0.403M,234.82M,13.84M,2.973B,7.602B,49.13M,237.79M,285.72M,4.628B,7.364B,4.342B,17.15M,180.79M,16.69M
UDR,2015-12,-12.68M,6.742M,179.41M,150.00M,0,0.62,0.61,0,58.20M,2015-12,124.07M,166.42M,-32.76M,-32.76M,0,0,3.421B,34.77M,209.67M,3.104M,-1.424M,237.60M,17.99M,2.900B,7.664B,49.08M,168.31M,359.67M,4.763B,7.496B,4.404B,23.43M,180.51M,16.69M
UDR,2015-09,-14.19M,1.321M,160.76M,110.00M,0,0.05,0.05,0,60.66M,2015-09,104.08M,13.29M,-29.83M,-29.83M,0,0,3.403B,40.74M,188.24M,13.06M,-0.633M,221.42M,15.82M,2.874B,6.923B,49.08M,144.62M,298.24M,4.048B,6.778B,3.749B,19.92M,164.66M,15.49M
UDR,2015-06,-9.19M,2.99M,158.53M,457.00M,0,0.33,0.33,0,57.34M,2015-06,92.64M,86.86M,-29.29M,-29.29M,0,0,3.107B,40.14M,193.18M,9.438M,-1.404M,215.86M,13.72M,2.858B,6.940B,49.16M,134.04M,650.18M,4.081B,6.806B,3.431B,17.19M,165.45M,15.49M
