Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
TDY,2018-06,-366.50M,101.40M,447.00M,12.20M,2.4,2.32,2.128B,1.004B,285.50M,2018-06,380.00M,85.90M,-6.70M,-6.70M,446.10M,939.80M,111.50M,536.80M,104.40M,18.50M,732.50M,174.00M,2.103B,3.883B,0.40M,1.078B,549.00M,1.780B,2.805B,1.231B,174.00M,213.00M,539.10M
TDY,2018-03,-309.40M,79.90M,438.20M,9.20M,1.87,1.81,2.193B,990.70M,257.40M,2018-03,381.80M,66.50M,-7.10M,-7.10M,441.90M,1.019B,88.40M,546.00M,82.20M,15.70M,695.60M,169.00M,2.056B,3.920B,0.40M,1.060B,555.20M,1.864B,2.860B,1.309B,169.00M,198.00M,534.80M
TDY,2017-12,-329.30M,70.90M,437.20M,3.60M,1.902,1.84,2.176B,974.40M,267.20M,2017-12,400.20M,67.60M,-7.60M,-7.60M,442.80M,1.069B,94.60M,537.00M,88.30M,20.70M,704.40M,172.60M,1.947B,3.846B,0.40M,1.012B,540.60M,1.899B,2.834B,1.358B,172.60M,191.70M,478.10M
TDY,2017-09,-344.80M,82.50M,408.60M,2.50M,1.95,1.9,2.157B,971.50M,253.60M,2017-09,431.90M,69.00M,-8.20M,-8.20M,452.10M,1.193B,89.50M,522.60M,81.70M,12.70M,662.20M,164.10M,1.853B,3.848B,0.40M,1.041B,525.10M,1.994B,2.806B,1.469B,164.10M,186.00M,466.00M
TDY,2017-06,-386.70M,81.70M,421.20M,102.30M,1.71,1.66,2.109B,947.70M,249.90M,2017-06,435.70M,60.10M,-9.10M,-9.10M,446.90M,1.154B,82.80M,517.50M,76.40M,16.30M,671.10M,167.10M,1.732B,3.780B,0.40M,1.039B,619.80M,2.049B,2.741B,1.429B,167.10M,197.40M,467.10M
TDY,2017-03,-443.90M,69.70M,357.00M,103.50M,0.87,0.84,2.074B,923.70M,209.10M,2017-03,415.60M,30.50M,-8.20M,-8.20M,443.00M,1.210B,54.80M,496.10M,40.60M,10.10M,566.10M,154.30M,1.604B,3.673B,0.40M,985.10M,599.60M,2.069B,2.688B,1.469B,154.30M,182.10M,444.80M
TDY,2016-12,-451.20M,98.60M,351.50M,102.00M,1.517,1.48,1.428B,809.30M,201.40M,2016-12,314.20M,53.00M,-6.00M,-6.00M,340.80M,515.80M,57.20M,399.80M,60.10M,7.10M,552.90M,144.20M,1.554B,2.774B,0.40M,846.20M,501.80M,1.22B,1.928B,718.20M,144.20M,138.80M,383.70M
TDY,2016-09,-394.20M,99.50M,317.00M,114.60M,1.5,1.46,1.421B,784.40M,209.80M,2016-09,325.00M,52.00M,-5.60M,-5.60M,319.40M,498.40M,68.80M,414.40M,62.40M,10.40M,526.80M,141.00M,1.545B,2.794B,0.40M,851.20M,529.00M,1.249B,1.942B,719.60M,141.00M,142.30M,371.50M
TDY,2016-06,-388.90M,71.70M,336.20M,13.50M,1.36,1.33,1.433B,775.00M,203.50M,2016-06,319.00M,46.90M,-5.90M,-5.90M,321.90M,678.20M,53.60M,386.30M,64.90M,18.00M,539.70M,149.90M,1.477B,2.780B,0.40M,830.50M,402.30M,1.303B,1.95B,901.10M,149.90M,134.00M,367.60M
TDY,2016-03,-381.90M,83.20M,324.80M,12.40M,1.13,1.11,1.392B,791.80M,205.70M,2016-03,322.00M,39.00M,-5.70M,-5.70M,322.80M,707.10M,60.90M,378.90M,53.90M,14.90M,530.50M,144.80M,1.427B,2.738B,0.40M,833.40M,391.30M,1.311B,1.904B,919.60M,144.80M,134.20M,371.80M
TDY,2015-12,-413.20M,85.10M,390.90M,19.10M,1.566,1.566,1.384B,776.10M,220.40M,2015-12,309.20M,55.50M,-6.00M,-6.00M,321.30M,761.50M,73.20M,374.50M,65.50M,11.80M,611.30M,147.20M,1.344B,2.717B,0.40M,826.80M,393.60M,1.373B,1.890B,979.40M,147.20M,136.50M,373.00M
TDY,2015-09,-373.70M,71.50M,340.30M,14.30M,1.37,1.34,1.403B,769.90M,211.40M,2015-09,331.50M,48.30M,-6.00M,-6.00M,321.50M,698.40M,71.80M,397.10M,63.70M,13.90M,551.70M,139.60M,1.421B,2.771B,0.40M,866.50M,411.40M,1.350B,1.904B,938.80M,139.60M,151.70M,382.00M
TDY,2015-06,-343.20M,61.30M,353.90M,87.20M,1.37,1.34,1.432B,771.90M,219.70M,2015-06,330.20M,48.30M,-6.00M,-6.00M,331.30M,678.10M,69.10M,398.40M,66.50M,18.40M,573.60M,150.60M,1.397B,2.807B,0.40M,874.00M,485.60M,1.410B,1.933B,924.90M,150.60M,145.50M,395.60M
TDY,2015-03,-369.80M,110.20M,345.90M,87.50M,1.22,1.2,1.398B,754.70M,219.10M,2015-03,323.40M,43.70M,-5.90M,-5.90M,329.10M,742.50M,67.30M,396.40M,62.20M,18.50M,565.00M,151.80M,1.291B,2.793B,0.40M,901.30M,483.90M,1.464B,1.892B,979.70M,151.80M,152.10M,389.10M
TDY,2014-12,-323.20M,141.40M,391.60M,86.20M,1.642,1.62,1.428B,754.00M,230.70M,2014-12,311.80M,60.20M,-5.10M,-5.10M,336.50M,618.90M,79.90M,452.80M,74.40M,15.50M,622.30M,150.80M,1.427B,2.862B,0.40M,941.70M,539.00M,1.394B,1.920B,854.70M,150.80M,162.50M,400.70M
TDY,2014-09,-186.60M,125.80M,375.40M,85.00M,1.49,1.47,1.272B,742.30M,225.70M,2014-09,310.90M,55.60M,-4.60M,-4.60M,335.10M,492.80M,74.30M,416.80M,67.90M,13.00M,601.10M,151.40M,1.493B,2.793B,0.40M,877.70M,501.80M,1.255B,1.915B,753.40M,151.40M,147.90M,374.40M
TDY,2014-06,-152.00M,103.40M,368.40M,7.50M,1.5,1.47,1.301B,742.70M,228.70M,2014-06,318.10M,56.10M,-4.60M,-4.60M,346.50M,501.70M,74.30M,408.40M,77.90M,22.10M,597.10M,154.40M,1.578B,2.806B,0.40M,858.50M,415.90M,1.181B,1.948B,765.40M,154.40M,149.70M,376.30M
TDY,2014-03,-173.00M,73.70M,351.70M,4.80M,1.22,1.2,1.294B,731.60M,221.80M,2014-03,307.60M,45.80M,-4.70M,-4.70M,351.10M,555.10M,66.00M,391.60M,61.90M,15.90M,573.50M,155.80M,1.501B,2.760B,0.40M,821.20M,396.40M,1.213B,1.939B,816.90M,155.80M,152.30M,376.90M
TDY,2013-12,-165.50M,66.00M,382.00M,3.50M,1.44,1.44,1.309B,724.70M,214.60M,2013-12,294.30M,54.90M,-4.80M,-4.80M,357.70M,549.00M,63.50M,414.60M,64.00M,9.50M,596.60M,151.10M,1.472B,2.751B,0.40M,799.10M,418.10M,1.232B,1.952B,814.30M,151.10M,147.50M,378.00M
TDY,2013-09,-265.10M,88.70M,369.00M,4.50M,1.25,1.23,1.304B,718.50M,202.60M,2013-09,304.00M,46.80M,-5.10M,-5.10M,361.00M,638.60M,53.00M,402.10M,47.20M,0.30M,571.60M,149.60M,1.310B,2.621B,0.40M,842.90M,406.60M,1.261B,1.778B,854.50M,149.60M,160.00M,368.90M
TDY,2013-06,-293.50M,70.10M,383.60M,1.90M,1.15,1.13,1.277B,700.20M,217.40M,2013-06,293.70M,42.90M,-5.10M,-5.10M,354.40M,626.20M,64.90M,401.00M,59.80M,16.50M,601.00M,152.50M,1.228B,2.514B,0.40M,778.30M,402.90M,1.234B,1.736B,830.60M,152.50M,156.50M,346.70M
TDY,2013-03,-292.90M,49.00M,365.40M,3.70M,1.09,1.07,1.295B,685.00M,204.00M,2013-03,304.50M,40.40M,-5.40M,-5.40M,351.20M,695.00M,58.90M,392.90M,53.00M,13.20M,569.40M,145.10M,1.180B,2.530B,0.40M,793.80M,396.60M,1.297B,1.737B,900.30M,145.10M,160.00M,372.10M
TDY,2012-12,-273.40M,45.80M,359.00M,2.00M,1.243,1.23,1.256B,677.40M,208.40M,2012-12,281.20M,46.20M,-5.20M,-5.20M,349.50M,556.20M,67.60M,405.30M,63.10M,18.60M,567.40M,140.80M,1.148B,2.406B,0.40M,744.80M,407.30M,1.203B,1.662B,795.70M,140.80M,148.60M,350.30M
TDY,2012-09,-219.30M,24.20M,349.00M,2.10M,1.16,1.14,1.268B,660.30M,198.40M,2012-09,287.60M,42.70M,-4.50M,-4.50M,343.10M,645.60M,60.30M,392.20M,57.00M,13.90M,547.40M,138.10M,1.143B,2.434B,0.40M,735.00M,394.30M,1.235B,1.699B,840.80M,138.10M,152.50M,349.50M
TDY,2012-06,-238.20M,26.10M,343.00M,1.80M,1.08,1.06,997.30M,594.50M,175.50M,2012-06,249.40M,39.50M,-4.10M,-4.10M,289.30M,330.40M,59.70M,363.30M,57.00M,17.40M,518.50M,115.80M,1.075B,1.989B,0.40M,648.10M,365.10M,860.20M,1.341B,495.10M,115.80M,129.20M,312.80M
TDY,2012-03,-227.70M,84.90M,328.10M,1.40M,0.98,0.96,926.40M,561.90M,165.90M,2012-03,238.70M,35.70M,-4.00M,-4.00M,265.10M,400.00M,55.50M,340.80M,51.10M,15.50M,494.00M,110.40M,1.042B,1.940B,0.40M,674.30M,342.20M,893.10M,1.265B,550.90M,110.40M,125.40M,292.50M
TDY,2011-12,-241.10M,49.40M,315.70M,1.40M,1,0.99,899.20M,542.60M,158.80M,2011-12,219.40M,36.80M,-3.80M,-3.80M,254.60M,311.40M,53.80M,332.80M,53.10M,16.40M,474.50M,105.00M,979.30M,1.826B,0.40M,602.70M,334.20M,842.00M,1.223B,507.80M,105.00M,102.00M,270.00M
TDY,2011-09,-185.80M,37.90M,331.30M,1.40M,0.93,0.91,905.20M,530.40M,165.10M,2011-09,229.80M,34.10M,-3.70M,-3.70M,251.80M,287.90M,56.80M,397.30M,49.30M,15.20M,496.40M,108.30M,1.027B,1.844B,0.40M,598.30M,398.70M,810.90M,1.246B,412.20M,108.30M,116.20M,281.00M
TDY,2011-06,-164.70M,33.20M,330.60M,1.70M,4.16,4.08,919.20M,528.20M,172.30M,2011-06,230.40M,152.30M,-4.30M,-4.30M,255.60M,324.80M,61.90M,394.70M,59.20M,20.40M,502.90M,110.40M,1.008B,1.868B,0.40M,593.20M,396.40M,854.10M,1.274B,457.70M,110.40M,129.60M,280.60M
TDY,2011-03,-173.70M,29.90M,313.10M,1.60M,0.88,0.86,927.80M,518.50M,155.00M,2011-03,214.80M,32.00M,-4.40M,-4.40M,255.30M,578.60M,54.70M,304.40M,50.00M,17.50M,468.10M,100.30M,842.20M,1.943B,0.40M,690.10M,368.20M,1.095B,1.253B,726.90M,100.30M,124.10M,301.10M
