Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MSCI,2018-06,-54.88M,1.368B,71.37M,0,483.23M,1.31,1.28,1.855B,263.98M,291.68M,2018-06,116.83M,-27.48M,-27.48M,81.00M,73.55M,2.574B,173.51M,124.77M,156.32M,39.49M,19.80M,363.05M,71.45M,346.42M,3.786B,1.30M,1.819B,685.68M,3.439B,1.966B,2.754B,118.17M,22.93M,394.89M
MSCI,2018-03,-44.34M,849.83M,71.30M,0,503.30M,1.28,1.24,1.879B,263.87M,280.01M,2018-03,115.09M,-26.79M,-26.79M,86.31M,76.77M,2.079B,167.17M,106.63M,139.44M,24.35M,20.71M,351.32M,72.60M,421.37M,3.344B,1.30M,1.348B,655.88M,2.923B,1.996B,2.267B,112.85M,23.53M,462.58M
MSCI,2017-12,-48.35M,889.50M,69.25M,0,374.36M,0.72,0.7,1.882B,265.72M,265.53M,2017-12,64.60M,-26.79M,-26.79M,94.44M,78.03M,2.078B,154.14M,102.15M,126.96M,62.36M,20.71M,334.78M,71.01M,401.01M,3.276B,1.295M,1.267B,607.67M,2.875B,2.009B,2.267B,111.39M,16.44M,327.60M
MSCI,2017-09,-50.08M,799.02M,68.43M,0,374.73M,0.94,0.93,1.888B,250.48M,253.66M,2017-09,85.15M,-27.18M,-27.18M,85.68M,84.43M,2.077B,148.80M,86.21M,120.80M,35.65M,17.97M,322.10M,66.95M,360.31M,3.154B,1.295M,1.153B,563.52M,2.794B,2.001B,2.231B,104.86M,2.385M,309.20M
MSCI,2017-06,-53.36M,750.58M,68.54M,0,399.12M,0.9,0.89,1.891B,244.71M,247.55M,2017-06,81.27M,-27.72M,-27.72M,88.82M,87.42M,2.077B,146.10M,81.17M,117.51M,36.24M,18.20M,316.09M,62.97M,307.20M,3.090B,1.295M,1.083B,552.40M,2.783B,2.007B,2.230B,101.45M,0.329M,289.23M
MSCI,2017-03,-57.86M,696.97M,67.46M,0,378.42M,0.8,0.8,1.896B,239.38M,233.74M,2017-03,72.95M,-28.09M,-28.09M,93.16M,91.84M,2.076B,130.73M,76.10M,101.62M,28.67M,18.97M,301.21M,63.95M,278.84M,3.005B,1.294M,988.65M,496.35M,2.726B,2.016B,2.230B,103.01M,4.893M,262.29M
MSCI,2016-12,-60.74M,791.83M,63.82M,0,334.36M,0.73,0.73,1.903B,232.43M,228.99M,2016-12,68.25M,-28.14M,-28.14M,95.58M,94.07M,2.075B,126.01M,83.10M,97.10M,28.84M,18.96M,292.81M,63.08M,317.60M,3.083B,1.29M,1.056B,536.57M,2.765B,2.027B,2.228B,102.98M,0.568M,221.50M
MSCI,2016-09,-50.90M,974.06M,62.99M,0,343.26M,0.69,0.68,1.917B,232.50M,225.45M,2016-09,65.28M,-25.99M,-25.99M,99.26M,102.50M,2.074B,123.26M,77.08M,97.52M,32.24M,18.75M,288.43M,63.37M,551.52M,3.307B,1.29M,1.262B,516.78M,2.756B,2.045B,2.239B,102.19M,1.249M,235.80M
MSCI,2016-06,-48.16M,404.61M,62.13M,0,365.24M,0.69,0.69,1.929B,223.13M,228.47M,2016-06,66.96M,-22.33M,-22.33M,97.81M,105.01M,1.581B,125.69M,76.55M,100.54M,33.59M,18.57M,290.60M,63.87M,535.15M,2.791B,1.289M,737.06M,509.70M,2.256B,2.054B,1.746B,102.78M,1.732M,247.50M
MSCI,2016-03,-35.74M,445.01M,63.17M,0,359.87M,0.61,0.6,1.945B,214.76M,215.66M,2016-03,60.37M,-22.28M,-22.28M,96.01M,106.00M,1.580B,113.14M,63.40M,90.78M,30.41M,18.93M,278.83M,63.58M,615.66M,2.832B,1.288M,763.81M,468.47M,2.216B,2.068B,1.748B,102.52M,1.514M,260.17M
MSCI,2015-12,-35.74M,777.71M,64.80M,19.78M,317.55M,0.58,0.57,1.957B,213.61M,208.09M,2015-12,59.41M,-22.40M,-22.40M,98.93M,110.94M,1.579B,107.54M,63.94M,85.44M,25.44M,17.78M,272.89M,63.40M,901.49M,3.147B,1.282M,1.063B,498.12M,2.246B,2.084B,1.747B,100.55M,2.512M,208.24M
MSCI,2015-09,-31.32M,993.49M,65.59M,19.78M,328.05M,0.59,0.59,1.963B,206.33M,203.18M,2015-09,64.40M,-16.98M,-16.98M,94.96M,123.01M,1.579B,109.10M,70.06M,99.04M,34.64M,15.55M,268.77M,58.77M,1.119B,3.367B,1.281M,1.286B,490.96M,2.248B,2.080B,1.757B,94.08M,1.806M,208.24M
MSCI,2015-06,-24.86M,455.02M,67.39M,19.78M,338.76M,0.5,0.5,1.976B,199.02M,203.19M,2015-06,56.02M,-10.93M,-10.93M,93.29M,128.37M,800.00M,98.51M,50.00M,87.42M,31.40M,20.81M,270.58M,64.11M,1.434B,2.876B,1.28M,776.78M,458.63M,1.442B,2.099B,983.28M,104.68M,2.17M,214.49M
MSCI,2015-03,-31.57M,537.75M,69.90M,19.77M,344.27M,0.39,0.39,1.979B,196.73M,192.86M,2015-03,43.83M,-10.90M,-10.90M,97.50M,136.79M,800.00M,88.74M,66.16M,77.66M,28.04M,23.19M,262.77M,62.02M,1.456B,2.897B,1.272M,788.63M,451.76M,1.441B,2.108B,989.07M,104.12M,1.139M,184.83M
MSCI,2014-12,-24.97M,508.80M,69.84M,54.13M,310.78M,0.39,0.39,1.999B,186.88M,181.27M,2014-12,44.34M,-15.56M,-15.56M,94.07M,137.84M,788.36M,85.09M,50.73M,70.73M,27.46M,17.24M,251.10M,59.73M,1.433B,2.883B,1.266M,769.46M,472.91M,1.450B,2.113B,976.79M,96.17M,2.835M,178.72M
