Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CRM,2018-07,-50.00M,3.427B,849.00M,708.00M,5.883B,0.4,0.39,14.41B,3.621B,2.432B,2018-07,299.00M,-27.00M,-27.00M,1.986B,136.00M,3.69B,115.00M,504.00M,231.00M,-68.00M,463.00M,3.281B,1.854B,13.53B,25.82B,1.00M,6.802B,8.469B,12.30B,19.02B,3.826B,2.317B,504.00M,2.019B
CRM,2018-04,-33.00M,7.159B,767.00M,103.00M,6.201B,0.47,0.46,8.429B,3.491B,2.239B,2018-04,344.00M,-11.00M,-11.00M,1.95B,123.00M,3.885B,191.00M,347.00M,385.00M,41.00M,424.00M,3.006B,1.624B,11.06B,22.96B,1.00M,10.15B,7.895B,11.90B,12.81B,4.008B,2.048B,347.00M,1.797B
CRM,2018-01,-12.00M,4.521B,738.00M,1.025B,6.995B,0.09,0.09,8.287B,3.403B,2.127B,2018-01,206.00M,-14.00M,-14.00M,1.947B,117.19M,695.00M,211.00M,1.046B,221.00M,15.00M,396.00M,2.865B,1.52B,10.38B,21.98B,1.00M,9.584B,10.07B,11.61B,12.40B,1.541B,1.916B,76.00M,3.921B
CRM,2017-10,3.554M,3.629B,714.00M,1.272B,4.392B,0.15,0.14,8.357B,3.320B,1.987B,2017-10,107.00M,-16.00M,-16.00M,1.865B,111.40M,1.316B,155.00M,880.51M,146.00M,39.00M,394.00M,2.701B,1.438B,8.840B,17.49B,0.722M,5.946B,7.216B,8.650B,11.54B,1.433B,1.832B,313.71M,1.553B
CRM,2017-07,17.54M,3.501B,670.00M,1.269B,4.819B,0.06,0.06,8.432B,3.230B,1.907B,2017-07,46.00M,-20.30M,-20.30M,1.867B,106.30M,1.313B,84.00M,865.31M,63.00M,17.00M,387.00M,2.577B,1.436B,8.469B,17.42B,0.719M,5.811B,7.526B,8.950B,11.61B,1.424B,1.823B,344.95M,1.606B
CRM,2017-04,9.513M,3.220B,651.00M,1.143B,5.043B,0.0014,0.0014,8.508B,3.128B,1.746B,2017-04,1.00M,-18.30M,-18.30M,1.846B,99.38M,1.392B,4.00M,944.22M,-10.00M,-11.00M,376.00M,2.397B,1.366B,7.934B,17.06B,0.712M,5.404B,7.626B,9.124B,11.65B,1.499B,1.742B,320.50M,1.474B
CRM,2017-01,-75.84M,2.209B,625.92M,102.11M,5.543B,-0.07,-0.07,8.558B,2.986B,1.713B,2017-01,91.93M,-14.16M,-14.16M,1.788B,109.89M,2.690B,130.43M,354.96M,130.15M,38.22M,344.06M,2.339B,1.239B,7.500B,17.58B,0.708M,5.997B,7.295B,10.08B,11.59B,2.789B,1.583B,354.96M,3.231B
CRM,2016-10,-62.94M,1.201B,585.52M,19.49M,3.479B,-0.05,-0.05,7.889B,2.882B,1.559B,2016-10,-37.31M,-14.24M,-14.24M,1.757B,104.41M,2.496B,3.036M,843.83M,-12.59M,24.72M,311.46M,2.145B,1.245B,6.806B,14.39B,0.697M,3.002B,4.976B,7.582B,11.39B,2.606B,1.556B,289.67M,1.307B
CRM,2016-07,-11.22M,1.174B,525.58M,19.39M,3.808B,0.34,0.33,7.469B,2.806B,1.511B,2016-07,229.62M,0,0,1.728B,100.59M,2.496B,32.55M,878.68M,24.28M,-205.34M,291.51M,2.037B,1.187B,6.133B,14.38B,0.685M,3.278B,5.376B,8.249B,11.10B,2.873B,1.478B,307.14M,1.352B
CRM,2016-04,-28.58M,2.031B,496.98M,18.14M,3.992B,0.06,0.06,4.815B,2.708B,1.420B,2016-04,38.76M,0,0,1.711B,0,2.047B,51.99M,688.65M,37.16M,-1.604M,260.97M,1.917B,1.107B,5.584B,12.82B,0.678M,3.775B,5.085B,7.233B,9.043B,2.148B,1.368B,209.13M,1.221B
CRM,2016-01,-49.92M,2.725B,443.68M,15.40M,4.268B,-0.04,-0.04,4.503B,2.636B,1.366B,2016-01,-25.51M,-15.24M,-15.24M,1.716B,109.88M,2.033B,20.56M,779.43M,-4.143M,21.37M,250.86M,1.809B,1.094B,5.003B,12.76B,0.671M,5.731B,5.617B,7.760B,7.032B,2.143B,1.345B,277.26M,2.524B
CRM,2015-10,-33.32M,1.358B,423.68M,11.93M,2.827B,-0.04,-0.04,4.536B,2.586B,1.288B,2015-10,-25.16M,-14.55M,-14.55M,1.742B,133.03M,2.052B,43.43M,711.49M,43.39M,68.55M,239.21M,1.712B,1.006B,4.750B,10.91B,0.664M,2.939B,3.977B,6.162B,7.973B,2.185B,1.245B,242.78M,1.093B
CRM,2015-07,-28.14M,1.170B,405.38M,7.528M,3.015B,-0.0013,-0.0013,4.529B,2.492B,1.229B,2015-07,-0.852M,-14.93M,-14.93M,1.725B,131.34M,2.014B,19.82M,735.05M,6.958M,7.81M,234.10M,1.635B,975.38M,4.536B,10.79B,0.66M,2.917B,4.113B,6.258B,7.877B,2.145B,1.209B,230.76M,1.096B
CRM,2015-04,-28.35M,1.019B,381.80M,0,3.033B,0.01,0.01,4.546B,2.430B,1.129B,2015-04,4.092M,-13.63M,-13.63M,1.737B,130.55M,2.039B,31.10M,608.96M,18.07M,13.98M,222.13M,1.511B,876.13M,4.235B,10.37B,0.656M,2.605B,3.961B,6.130B,7.761B,2.170B,1.098B,188.96M,951.97M
CRM,2015-01,-24.11M,995.43M,355.92M,179.76M,3.287B,-0.1,-0.1,4.562B,1.746B,1.089B,2015-01,-65.76M,-13.80M,-13.80M,1.126B,101.22M,2.198B,-34.82M,633.15M,-53.50M,12.27M,205.99M,1.445B,917.51M,3.975B,10.67B,0.651M,3.515B,4.390B,6.690B,7.151B,2.300B,1.124B,280.38M,1.933B
CRM,2014-10,-1.251M,926.10M,333.21M,295.10M,2.193B,-0.06,-0.06,4.591B,1.668B,1.050B,2014-10,-38.92M,-14.96M,-14.96M,1.110B,138.08M,2.171B,-22.04M,576.22M,-21.85M,17.08M,195.46M,1.384B,877.03M,3.792B,9.413B,0.631M,2.439B,3.308B,5.620B,6.974B,2.312B,1.072B,230.18M,794.59M
CRM,2014-07,11.16M,844.58M,307.83M,305.03M,2.317B,-0.1,-0.1,4.339B,1.687B,1.011B,2014-07,-61.09M,-15.75M,-15.75M,1.190B,143.84M,2.052B,-33.43M,554.34M,-52.97M,8.119M,203.11M,1.319B,841.04M,3.307B,9.010B,0.619M,2.305B,3.503B,5.703B,6.705B,2.200B,1.044B,193.54M,834.32M
CRM,2014-04,15.30M,879.12M,292.30M,572.16M,2.288B,-0.16,-0.16,4.370B,1.691B,934.47M,2014-04,-96.91M,-18.60M,-18.60M,1.251B,142.71M,1.988B,-55.34M,469.01M,-84.77M,12.14M,188.36M,1.227B,801.45M,3.142B,8.641B,0.614M,2.039B,3.360B,5.499B,6.602B,2.140B,989.81M,160.02M,684.16M
CRM,2014-01,17.68M,838.77M,273.53M,571.12M,2.474B,-0.19,-0.19,4.411B,1.625B,871.71M,2014-01,-116.62M,-21.26M,-21.26M,1.241B,157.17M,1.936B,-103.75M,483.36M,-123.15M,-6.524M,173.09M,1.145B,802.37M,3.065B,9.153B,0.61M,2.680B,3.980B,6.088B,6.473B,2.108B,975.46M,218.01M,1.361B
CRM,2013-10,16.81M,703.54M,268.19M,0,1.686B,-0.21,-0.21,4.444B,1.552B,807.85M,2013-10,-124.43M,-21.67M,-21.67M,1.205B,144.44M,1.887B,-97.93M,456.26M,-124.04M,0.393M,170.69M,1.076B,735.09M,2.946B,8.098B,0.603M,1.801B,3.097B,5.152B,6.297B,2.055B,905.78M,155.54M,604.04M
CRM,2013-07,11.24M,623.49M,217.72M,564.39M,1.735B,0.13,0.12,4.503B,1.480B,739.38M,2013-07,76.60M,-16.28M,-16.28M,1.185B,54.81M,1.875B,-39.86M,418.05M,-56.80M,-133.41M,148.08M,957.09M,631.16M,2.859B,7.970B,0.596M,1.698B,3.063B,5.111B,6.272B,2.047B,779.23M,160.63M,599.54M
CRM,2013-04,13.73M,2.100B,208.99M,527.81M,1.675B,-0.12,-0.12,1.801B,903.03M,683.64M,2013-04,-67.72M,-8.486M,-8.486M,623.68M,58.36M,1.167B,-44.54M,321.16M,-53.94M,13.78M,131.94M,892.63M,596.24M,2.510B,6.514B,0.59M,2.876B,2.730B,4.004B,3.638B,1.274B,728.18M,130.05M,502.61M
CRM,2013-01,17.14M,867.62M,183.36M,521.28M,1.799B,-0.035,-0.035,1.800B,857.61M,651.32M,2013-01,-20.84M,-4.179M,-4.179M,604.67M,113.43M,126.66M,-20.81M,286.11M,-26.04M,-5.199M,121.19M,834.68M,550.94M,2.371B,5.529B,0.586M,2.016B,2.918B,3.158B,3.513B,240.09M,672.13M,134.88M,872.63M
CRM,2012-10,23.65M,605.56M,186.25M,514.89M,1.226B,-0.39,-0.39,1.750B,809.71M,602.15M,2012-10,-220.30M,-4.127M,-4.127M,583.84M,65.58M,63.63M,-54.19M,582.21M,-62.85M,157.45M,114.07M,788.40M,542.26M,2.084B,4.642B,0.142M,1.257B,2.323B,2.559B,3.385B,235.46M,656.34M,133.41M,418.59M
CRM,2012-07,19.73M,1.108B,162.42M,508.53M,1.268B,-0.02,-0.02,1.014B,756.58M,569.23M,2012-07,-9.829M,-3.118M,-3.118M,556.78M,68.78M,49.79M,-13.47M,552.23M,-14.03M,-4.203M,99.44M,731.65M,483.26M,1.892B,4.454B,0.139M,1.853B,2.329B,2.561B,2.600B,232.09M,582.70M,137.86M,446.92M
CRM,2012-04,10.20M,710.39M,151.55M,0,1.257B,-0.04,-0.04,1.014B,728.45M,543.92M,2012-04,-19.48M,-1.621M,-1.621M,549.73M,77.35M,550.11M,-22.25M,419.48M,-24.87M,-5.393M,94.78M,695.47M,471.39M,1.810B,4.156B,0.138M,1.323B,1.677B,2.346B,2.833B,669.47M,566.16M,80.97M,371.40M
CRM,2012-01,12.68M,777.87M,136.34M,496.15M,1.292B,-0.005,-0.005,1.035B,687.43M,495.57M,2012-01,-4.078M,-3.181M,-3.181M,527.95M,88.67M,72.09M,-6.377M,283.79M,-7.535M,-3.457M,80.61M,631.91M,421.33M,1.666B,4.164B,0.137M,1.672B,2.300B,2.498B,2.492B,198.02M,501.94M,133.73M,683.74M
CRM,2011-10,3.977M,645.85M,128.56M,490.12M,905.06M,-0.0075,-0.0075,931.48M,656.98M,455.70M,2011-10,-3.756M,1.277M,1.277M,504.83M,12.77M,52.56M,-10.16M,437.42M,-8.85M,-5.094M,76.05M,584.26M,389.80M,1.498B,3.511B,0.136M,1.148B,1.833B,2.013B,2.363B,180.30M,465.85M,107.08M,312.33M
CRM,2011-07,7.219M,577.38M,120.91M,484.13M,917.76M,-0.0075,-0.0075,869.86M,605.36M,425.09M,2011-07,-4.268M,1.409M,1.409M,470.07M,17.51M,46.09M,-15.75M,412.17M,-17.71M,-13.44M,73.39M,546.00M,367.45M,1.418B,3.421B,0.135M,1.115B,1.814B,2.003B,2.307B,189.15M,440.84M,105.15M,342.40M
CRM,2011-04,0.076M,763.84M,103.07M,478.37M,893.90M,0,0,531.55M,564.65M,401.30M,2011-04,0.53M,4.384M,4.384M,446.27M,21.23M,49.06M,-2.803M,312.94M,0.781M,0.251M,65.29M,504.36M,338.81M,1.256B,3.128B,0.134M,1.188B,1.685B,1.872B,1.940B,187.21M,404.10M,51.64M,270.82M
