Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
REG,2016-03,-72.89M,27.14M,38.56M,0,0.49,0.49,112.51M,0,111.07M,2016-03,53.14M,-21.91M,-21.91M,0,1.835B,53.75M,157.73M,40.71M,0,149.63M,16.30M,2.047B,4.147B,325.98M,159.15M,157.73M,2.065B,3.988B,1.907B,57.32M,157.73M,101.26M
REG,2015-12,-58.69M,36.86M,36.87M,0,0.1819,0.1819,105.38M,0,109.30M,2015-12,22.88M,-21.97M,-21.97M,0,1.864B,49.33M,164.52M,22.15M,0,146.17M,19.37M,2.054B,4.183B,325.97M,146.79M,164.52M,2.100B,4.036B,1.936B,59.96M,164.52M,106.16M
REG,2015-09,-62.31M,23.88M,35.80M,0,0.57,0.57,108.40M,0,106.26M,2015-09,59.00M,-22.94M,-22.94M,0,2.024B,52.60M,171.30M,31.98M,0,142.07M,14.75M,1.879B,4.171B,325.94M,126.41M,171.30M,2.263B,4.044B,2.092B,53.66M,171.30M,97.39M
REG,2015-06,-48.80M,27.11M,35.85M,0,0.35,0.34,46.74M,0,105.28M,2015-06,37.75M,-24.42M,-24.42M,0,1.989B,52.17M,142.42M,32.62M,0,141.13M,15.10M,1.881B,4.098B,325.94M,159.81M,142.42M,2.188B,3.938B,2.046B,53.10M,142.42M,96.96M
REG,2015-03,-69.28M,36.49M,36.30M,0,0.27,0.27,49.36M,0,104.10M,2015-03,30.44M,-24.38M,-24.38M,0,1.995B,50.56M,166.66M,30.19M,0,140.40M,16.38M,1.870B,4.118B,325.94M,158.31M,166.66M,2.220B,3.960B,2.053B,53.54M,166.66M,97.02M
REG,2014-12,-57.75M,113.78M,34.14M,0,0.7847,0.7847,52.36M,0,102.03M,2014-12,78.78M,-25.10M,-25.10M,0,2.021B,45.39M,181.20M,52.71M,0,136.16M,16.36M,1.907B,4.197B,325.94M,220.69M,181.20M,2.261B,3.976B,2.079B,56.64M,181.20M,98.90M
REG,2014-09,-33.96M,100.71M,32.98M,0,0.52,0.52,52.24M,0,100.58M,2014-09,53.21M,-25.30M,-25.30M,0,2.023B,47.64M,174.00M,25.88M,0,133.56M,14.46M,1.845B,4.128B,325.93M,215.05M,174.00M,2.254B,3.913B,2.080B,52.94M,174.00M,92.80M
REG,2014-06,-36.41M,36.74M,34.40M,0,0.28,0.28,53.54M,0,100.50M,2014-06,30.75M,-25.09M,-25.09M,0,2.031B,47.46M,141.06M,29.47M,0,134.89M,15.22M,1.786B,4.044B,325.92M,144.75M,141.06M,2.225B,3.899B,2.084B,53.04M,141.06M,99.10M
REG,2014-03,-28.60M,35.16M,35.30M,0,0.21,0.21,57.03M,0,97.98M,2014-03,24.66M,-24.63M,-24.63M,0,2.001B,43.70M,136.80M,24.34M,0,133.28M,14.20M,1.808B,4.036B,325.92M,141.28M,136.80M,2.194B,3.894B,2.058B,54.28M,136.80M,96.92M
REG,2013-12,-17.40M,80.68M,33.01M,0,0.5038,0.502,44.80M,0,92.99M,2013-12,51.59M,-24.12M,-24.12M,0,1.855B,39.94M,147.04M,21.13M,0,126.00M,13.29M,1.843B,3.914B,325.92M,179.10M,147.04M,2.052B,3.734B,1.905B,53.06M,147.04M,88.89M
REG,2013-09,-28.43M,62.70M,30.13M,0,0.38,0.38,39.13M,0,90.19M,2013-09,40.26M,-24.38M,-24.38M,0,1.864B,41.54M,147.09M,23.02M,0,120.32M,15.00M,1.825B,3.897B,325.92M,178.53M,147.09M,2.059B,3.718B,1.912B,48.65M,147.09M,99.93M
REG,2013-06,-31.32M,59.14M,31.23M,145.00M,0.35,0.35,41.33M,3.831B,91.08M,2013-06,37.13M,-25.41M,-25.41M,3.063B,1.892B,43.45M,131.18M,21.64M,13.34M,122.31M,14.97M,1.824B,3.900B,325.92M,171.04M,131.18M,2.064B,3.729B,1.933B,47.63M,131.18M,90.58M
REG,2013-03,-51.98M,22.40M,30.37M,40.00M,0.17,0.17,40.39M,4.141B,90.01M,2013-03,20.82M,-25.46M,-25.46M,3.307B,1.785B,39.40M,121.12M,18.51M,0.49M,120.38M,17.98M,1.763B,3.861B,325.91M,124.21M,266.12M,2.086B,3.737B,1.820B,50.61M,121.12M,95.72M
REG,2012-12,-57.72M,22.35M,27.37M,0,-0.4128,-0.4128,42.46M,4.124B,83.44M,2012-12,-31.91M,-24.96M,-24.96M,3.310B,1.942B,35.85M,127.18M,13.21M,-0.84M,110.81M,15.92M,1.731B,3.853B,325.90M,129.16M,127.18M,2.108B,3.724B,1.980B,47.58M,127.18M,100.34M
REG,2012-09,-64.38M,21.35M,28.69M,0,0.13,0.13,35.58M,4.151B,86.90M,2012-09,19.57M,-25.09M,-25.09M,3.382B,1.821B,41.58M,129.48M,18.27M,0.231M,115.59M,15.64M,1.799B,3.798B,325.90M,128.16M,129.57M,1.984B,3.670B,1.854B,45.32M,101.90M,100.67M
REG,2012-06,-66.73M,23.03M,31.22M,0,0.06,0.06,26.84M,4.077B,95.54M,2012-06,11.09M,-26.00M,-26.00M,3.321B,2.063B,48.68M,112.00M,11.65M,0,126.76M,14.02M,1.802B,4.026B,325.90M,141.58M,112.07M,2.208B,3.884B,2.096B,46.87M,0,112.48M
REG,2012-03,-69.08M,27.12M,33.63M,0,0.14,0.14,25.94M,4.001B,92.61M,2012-03,27.12M,-26.59M,-26.59M,3.272B,2.023B,42.65M,104.82M,18.19M,0,126.24M,16.12M,1.833B,4.005B,325.90M,149.37M,104.88M,2.160B,3.856B,2.055B,49.96M,0,115.85M
REG,2011-12,-71.43M,11.40M,66.71M,0,0.09,0.09,27.05M,0,32.39M,2011-12,13.06M,-21.87M,-21.87M,0,1.942B,36.07M,101.90M,9.449M,0,99.10M,12.32M,1.808B,3.987B,275.90M,139.10M,141.90M,2.117B,3.848B,1.976B,-3.679M,0,121.65M
REG,2011-09,-73.80M,21.20M,17.69M,0,0.09,0.09,26.86M,0,105.33M,2011-09,13.43M,-30.87M,-30.87M,0,2.050B,45.78M,114.87M,6.272M,0,123.02M,11.67M,1.836B,4.096B,275.90M,134.70M,114.87M,2.198B,3.961B,2.083B,59.54M,0,113.50M
REG,2011-06,-76.16M,18.41M,17.23M,0,0.14,0.14,18.32M,0,107.41M,2011-06,17.78M,-30.56M,-30.56M,0,1.970B,45.05M,121.62M,14.63M,0,124.64M,15.18M,1.848B,4.020B,275.90M,129.41M,121.62M,2.112B,3.891B,1.990B,62.36M,0,111.00M
REG,2011-03,-78.52M,65.76M,18.98M,0,0.02,0.02,17.40M,0,105.34M,2011-03,7.104M,-30.86M,-30.86M,0,1.922B,39.54M,120.95M,9.736M,0,124.33M,16.95M,1.869B,3.991B,275.90M,175.11M,120.95M,2.061B,3.816B,1.940B,65.81M,0,109.34M
