Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
EXR,2018-06,62.93M,49.19M,78.55M,250.00M,0.75,0.75,126.82M,0,218.26M,2018-06,95.15M,-43.34M,-43.34M,0,0,4.517B,144.72M,150.99M,104.81M,2.097M,0,296.81M,21.65M,2.342B,7.722B,1.261M,69.11M,400.99M,5.006B,7.653B,4.605B,73.54M,150.99M,4.618M
EXR,2018-03,55.27M,35.53M,78.36M,100.50M,0.7,0.7,123.97M,0,207.12M,2018-03,88.26M,-40.74M,-40.74M,0,0,4.414B,133.91M,152.20M,96.77M,1.342M,0,285.48M,21.46M,2.344B,7.471B,1.26M,54.06M,252.70M,4.754B,7.417B,4.501B,73.21M,152.20M,4.676M
EXR,2017-12,33.29M,55.68M,72.78M,94.00M,1.71,1.69,0,0,209.06M,2017-12,215.96M,-40.06M,-40.06M,0,0,4.460B,141.11M,101.90M,223.79M,-5.529M,0,281.84M,18.79M,2.351B,7.461B,1.26M,86.04M,195.90M,4.737B,7.375B,4.541B,67.95M,101.90M,6.251M
EXR,2017-09,17.73M,63.73M,76.70M,25.00M,0.74,0.74,0,0,207.45M,2017-09,93.76M,-39.63M,-39.63M,0,0,4.288B,139.88M,114.25M,104.24M,3.163M,0,284.16M,19.50M,2.215B,7.087B,1.26M,85.63M,139.25M,4.513B,7.001B,4.374B,67.57M,114.25M,16.61M
EXR,2017-06,17.00M,31.65M,71.10M,128.00M,0.69,0.69,0,0,204.90M,2017-06,87.01M,-37.26M,-37.26M,0,0,4.161B,136.41M,92.68M,96.96M,2.867M,0,276.00M,21.86M,2.222B,7.037B,1.26M,53.09M,220.68M,4.459B,6.984B,4.238B,68.50M,92.68M,9.156M
EXR,2017-03,22.82M,29.31M,70.56M,363.00M,0.65,0.64,0,0,192.44M,2017-03,82.28M,-34.92M,-34.92M,0,0,3.928B,124.20M,77.11M,92.86M,3.124M,0,263.01M,18.81M,2.236B,7.034B,1.259M,47.79M,440.11M,4.449B,6.987B,4.008B,68.24M,77.11M,0.485M
EXR,2016-12,16.77M,43.86M,67.33M,365.00M,0.65,0.65,0,0,193.68M,2016-12,82.40M,-34.42M,-34.42M,0,0,3.941B,126.17M,101.39M,95.26M,4.843M,0,261.02M,18.36M,2.245B,7.091B,1.259M,74.35M,466.39M,4.495B,7.017B,4.029B,67.51M,101.39M,15.74M
EXR,2016-09,-41.09M,18.69M,66.43M,166.00M,0.94,0.93,0,0,190.75M,2016-09,118.09M,-32.17M,-32.17M,0,0,3.826B,124.66M,102.47M,131.69M,4.466M,0,257.18M,19.54M,2.199B,6.742B,1.258M,44.29M,268.47M,4.213B,6.698B,3.944B,66.09M,102.47M,0
EXR,2016-06,-53.84M,41.06M,66.37M,88.00M,0.66,0.66,0,0,177.90M,2016-06,83.04M,-31.20M,-31.20M,0,0,3.709B,113.44M,91.19M,93.81M,3.773M,0,244.27M,20.51M,2.115B,6.459B,1.252M,56.78M,179.19M,4.016B,6.402B,3.837B,64.46M,91.19M,0
EXR,2016-03,-35.94M,49.75M,65.42M,116.00M,0.66,0.66,0,0,163.98M,2016-03,82.59M,-29.66M,-29.66M,0,0,3.566B,97.68M,77.11M,92.17M,2.765M,0,229.40M,23.40M,2.143B,6.291B,1.251M,97.50M,193.11M,3.866B,6.194B,3.673B,66.30M,77.11M,0
EXR,2015-12,-6.352M,75.80M,62.85M,36.00M,0.07,0.07,104.77M,24.91M,162.91M,2015-12,8.675M,-28.71M,-28.71M,9.73M,46.63M,3.500B,104.01M,84.92M,14.90M,3.154M,0,225.76M,18.14M,2.089B,6.071B,1.241M,108.74M,120.92M,3.699B,5.963B,3.578B,58.90M,84.92M,2.205M
EXR,2015-09,-20.81M,1.116B,52.49M,185.00M,0.58,0.58,88.12M,21.77M,145.01M,2015-09,71.72M,-20.05M,-20.05M,8.969M,33.85M,3.283B,97.58M,76.30M,81.76M,3.561M,0,197.50M,16.72M,2.109B,6.003B,1.233M,1.347B,261.30M,3.615B,4.656B,3.354B,47.43M,76.30M,3.016M
EXR,2015-06,-1.819M,175.89M,51.49M,0,0.47,0.47,80.97M,0,134.37M,2015-06,55.34M,-21.87M,-21.87M,0,27.52M,2.288B,86.16M,69.38M,63.14M,2.185M,0,185.86M,16.66M,2.144B,4.834B,1.228M,203.39M,69.38M,2.410B,4.630B,2.341B,48.21M,69.38M,2.071M
EXR,2015-03,-7.80M,45.30M,50.17M,99.00M,0.46,0.46,0,0,122.98M,2015-03,53.74M,-20.06M,-20.06M,0,0,2.333B,76.30M,71.55M,60.88M,2.248M,0,173.15M,16.25M,1.733B,4.464B,1.164M,83.79M,170.55M,2.557B,4.380B,2.387B,46.68M,71.55M,3.136M
EXR,2014-12,-1.484M,47.66M,45.64M,138.00M,0.39,0.39,0,0,119.54M,2014-12,45.12M,-19.42M,-19.42M,0,0,2.212B,75.86M,66.19M,51.72M,2.233M,0,165.18M,14.51M,1.737B,4.382B,1.163M,135.18M,204.19M,2.470B,4.247B,2.266B,43.69M,66.19M,53.38M
EXR,2014-09,3.735M,49.22M,46.22M,40.00M,0.47,0.47,0,0,122.84M,2014-09,54.23M,-19.96M,-19.96M,0,0,2.139B,77.93M,73.53M,58.19M,-1.006M,0,169.07M,15.66M,1.739B,4.226B,1.16M,87.70M,113.53M,2.292B,4.138B,2.179B,44.91M,73.53M,12.28M
EXR,2014-06,2.073M,53.94M,44.93M,10.00M,0.36,0.36,0,0,115.79M,2014-06,41.66M,-19.40M,-19.40M,0,0,2.154B,72.05M,65.54M,49.52M,3.513M,0,160.72M,15.47M,1.737B,4.209B,1.16M,87.24M,75.54M,2.278B,4.122B,2.203B,43.74M,65.54M,12.64M
EXR,2014-03,7.528M,47.02M,46.05M,87.00M,0.32,0.32,0,0,106.54M,2014-03,37.34M,-18.78M,-18.78M,0,0,2.023B,62.45M,52.89M,44.04M,2.83M,0,152.59M,15.71M,1.750B,4.123B,1.158M,76.01M,139.89M,2.200B,4.047B,2.060B,44.08M,52.89M,8.966M
EXR,2013-12,10.16M,126.72M,39.77M,0,0.66,0.66,0,0,102.16M,2013-12,76.94M,-18.65M,-18.65M,0,0,1.949B,62.37M,61.27M,85.01M,2.837M,0,141.93M,13.80M,1.758B,3.977B,1.157M,197.94M,61.27M,2.045B,3.779B,1.984B,39.79M,61.27M,41.41M
EXR,2013-09,3.146M,81.70M,37.25M,0,0.26,0.26,0,0,95.86M,2013-09,29.24M,-15.68M,-15.68M,0,0,1.757B,58.49M,58.25M,34.63M,2.281M,0,133.11M,13.94M,1.514B,3.518B,1.112M,112.43M,58.25M,1.883B,3.406B,1.825B,37.37M,58.25M,7.928M
EXR,2013-06,5.108M,206.93M,35.66M,0,0.31,0.31,63.44M,15.09M,90.58M,2013-06,34.47M,-17.13M,-17.13M,4.867M,20.75M,1.764B,54.06M,46.98M,39.96M,2.858M,0.346M,126.25M,13.74M,1.530B,3.433B,1.112M,230.69M,46.98M,1.843B,3.202B,1.796B,36.52M,46.98M,3.258M
EXR,2013-03,-12.76M,35.58M,36.35M,100.00M,0.28,0.28,46.87M,12.15M,82.98M,2013-03,31.42M,-15.97M,-15.97M,2.742B,14.91M,1.484B,47.18M,45.44M,35.94M,2.008M,1.57M,119.32M,12.77M,1.500B,3.229B,1.109M,64.83M,145.44M,1.676B,3.164B,1.531B,35.79M,45.44M,9.096M
EXR,2012-12,-14.27M,30.78M,34.52M,85.00M,0.33,0.33,0,2.060B,79.14M,2012-12,36.08M,-17.66M,-17.66M,2.278B,0,1.496B,44.90M,53.71M,40.05M,1.173M,0.249M,113.67M,12.71M,1.492B,3.223B,1.107M,90.26M,138.71M,1.678B,3.133B,1.539B,34.24M,53.71M,34.57M
EXR,2012-09,-14.96M,43.61M,31.49M,243.64M,0.37,0.37,0,2.046B,78.30M,2012-09,38.61M,-16.75M,-16.75M,2.267B,0,1.346B,45.97M,49.61M,43.21M,1.656M,0,109.79M,12.56M,1.275B,3.013B,1.043M,77.92M,332.64M,1.683B,2.935B,1.350B,32.33M,46.35M,10.93M
EXR,2012-06,-11.52M,185.50M,27.44M,103.96M,0.22,0.22,0,1.971B,67.52M,2012-06,22.41M,-14.19M,-14.19M,3.299M,0,1.208B,38.34M,47.12M,26.38M,1.634M,0,94.95M,12.54M,1.256B,2.708B,1.041M,238.71M,151.08M,1.398B,2.470B,1.247B,29.17M,0,15.98M
EXR,2012-03,-8.142M,37.58M,28.44M,139.27M,0.21,0.21,0,0,62.54M,2012-03,20.21M,-17.03M,-17.03M,2.060B,0,1.233B,33.38M,38.03M,23.47M,0.95M,0,90.99M,12.64M,1.025B,2.523B,0.95M,77.26M,177.30M,1.443B,2.446B,1.266B,29.16M,0,15.42M
EXR,2011-12,-7.936M,26.48M,26.70M,215.00M,0.18,0.17,0,0,66.51M,2011-12,16.28M,-16.64M,-16.64M,2.046B,0,1.154B,39.41M,46.35M,25.03M,0.552M,0,93.21M,13.29M,1.019B,2.518B,0.948M,94.02M,261.35M,1.444B,2.424B,1.182B,27.10M,0,36.50M
EXR,2011-09,-7.819M,33.90M,25.87M,166.00M,0.16,0.16,0,0,58.23M,2011-09,15.26M,-15.80M,-15.80M,1.971B,0,1.076B,31.22M,39.89M,15.42M,-0.062M,0,84.10M,12.31M,1.007B,2.374B,0.943M,125.43M,205.89M,1.312B,2.249B,1.106B,27.02M,0,61.18M
EXR,2011-06,-6.436M,35.19M,24.09M,129.00M,0.12,0.12,0,0,53.95M,2011-06,10.61M,-15.30M,-15.30M,0,0,1.061B,25.85M,32.71M,10.55M,0.411M,0,78.04M,12.43M,1.004B,2.311B,0.942M,76.38M,161.71M,1.252B,2.234B,1.090B,28.09M,0,8.49M
EXR,2011-03,-4.678M,42.56M,24.96M,125.00M,0.09,0.09,0,0,49.52M,2011-03,8.301M,-15.45M,-15.45M,0,0,1.121B,24.03M,34.33M,8.583M,0.254M,0,74.48M,11.66M,890.80M,2.253B,0.885M,92.42M,159.33M,1.306B,2.161B,1.147B,25.49M,0,9.334M
