Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
EFX,2014-09,-333.90M,115.00M,211.00M,408.90M,67.00M,0.77,0.75,3.712B,761.50M,402.40M,2014-09,92.70M,-17.10M,-17.10M,297.90M,293.70M,1.146B,153.70M,200.30M,139.80M,45.40M,613.40M,197.80M,2.334B,4.707B,236.60M,550.40M,766.10M,2.336B,4.157B,1.57B,248.70M,35.10M,324.00M
EFX,2014-06,-299.50M,91.70M,212.30M,409.80M,68.00M,0.76,0.75,3.772B,774.50M,401.60M,2014-06,92.80M,-17.40M,-17.40M,292.30M,290.50M,1.146B,167.40M,193.00M,150.50M,56.00M,613.90M,183.50M,2.403B,4.766B,236.60M,554.20M,759.80M,2.325B,4.212B,1.565B,234.20M,40.90M,345.30M
EFX,2014-03,-316.60M,101.40M,206.80M,488.40M,66.60M,0.69,0.67,3.790B,776.50M,377.70M,2014-03,83.90M,-17.30M,-17.30M,291.00M,287.20M,1.146B,151.90M,161.50M,132.50M,46.20M,584.50M,175.40M,2.355B,4.750B,236.60M,524.50M,794.60M,2.355B,4.226B,1.56B,225.80M,27.50M,337.20M
EFX,2013-12,-312.60M,235.90M,197.20M,296.50M,61.80M,0.63,0.62,3.464B,761.20M,381.30M,2013-12,76.70M,-17.40M,-17.40M,288.90M,263.70M,1.146B,154.10M,205.50M,121.90M,43.00M,578.50M,181.40M,2.301B,4.540B,236.60M,648.40M,662.50M,2.199B,3.892B,1.536B,227.20M,19.90M,309.70M
EFX,2013-09,-370.70M,131.90M,196.80M,16.40M,57.40M,0.69,0.67,3.418B,773.60M,375.20M,2013-09,83.50M,-17.50M,-17.50M,285.70M,211.40M,1.428B,150.00M,175.30M,133.10M,47.00M,572.00M,173.40M,2.174B,4.390B,236.60M,526.50M,332.40M,2.197B,3.864B,1.865B,225.20M,19.90M,306.20M
EFX,2013-06,-379.80M,104.90M,198.20M,76.50M,57.10M,0.75,0.73,3.421B,753.80M,388.70M,2013-06,90.50M,-17.60M,-17.60M,279.30M,220.90M,1.429B,158.10M,163.50M,144.00M,51.70M,586.90M,186.50M,2.096B,4.374B,236.60M,512.60M,375.80M,2.254B,3.861B,1.878B,230.60M,17.80M,318.50M
EFX,2013-03,-368.60M,107.60M,195.10M,176.70M,58.90M,0.84,0.82,3.454B,741.20M,371.40M,2013-03,101.10M,-17.70M,-17.70M,281.10M,220.80M,1.446B,149.00M,140.70M,131.40M,47.20M,566.50M,174.50M,2.018B,4.387B,236.60M,484.80M,449.70M,2.343B,3.902B,1.893B,222.40M,28.20M,310.40M
EFX,2012-12,-362.00M,146.80M,196.50M,283.30M,57.90M,0.39,0.38,3.533B,745.30M,337.30M,2012-12,46.30M,-14.30M,-14.30M,283.70M,236.70M,1.447B,92.20M,214.70M,79.20M,32.80M,533.80M,205.40M,1.933B,4.520B,236.60M,538.70M,646.50M,2.561B,3.981B,1.914B,245.10M,25.10M,317.00M
EFX,2012-09,-373.00M,267.20M,188.40M,16.90M,54.10M,0.65,0.64,2.558B,741.00M,331.60M,2012-09,77.90M,-13.60M,-13.60M,286.20M,228.60M,951.40M,130.50M,101.10M,118.80M,39.70M,520.00M,161.50M,1.859B,3.606B,236.60M,605.70M,325.50M,1.723B,3.000B,1.397B,201.10M,28.60M,296.90M
EFX,2012-06,-390.90M,183.10M,187.20M,17.00M,54.30M,0.63,0.62,2.563B,721.70M,326.10M,2012-06,76.40M,-13.70M,-13.70M,288.70M,228.70M,951.80M,129.00M,94.30M,117.50M,41.00M,513.30M,156.80M,1.805B,3.521B,236.60M,517.00M,293.80M,1.693B,3.004B,1.399B,197.10M,30.20M,293.90M
EFX,2012-03,-373.50M,132.70M,187.40M,17.00M,56.80M,0.6,0.58,2.594B,708.80M,318.50M,2012-03,71.50M,-13.80M,-13.80M,291.40M,230.00M,965.30M,128.30M,87.00M,115.80M,42.50M,505.90M,149.80M,1.802B,3.518B,236.60M,475.10M,272.90M,1.694B,3.043B,1.421B,190.20M,23.10M,297.80M
EFX,2011-12,-391.80M,127.70M,136.60M,47.20M,55.80M,0.62,0.6,2.607B,693.70M,306.50M,2011-12,74.40M,-13.90M,-13.90M,292.90M,235.90M,966.00M,123.30M,163.00M,110.50M,37.40M,443.10M,146.90M,1.702B,3.519B,236.60M,456.90M,364.90M,1.797B,3.062B,1.432B,183.20M,27.50M,284.40M
EFX,2011-09,-321.30M,102.00M,186.60M,67.70M,50.50M,0.55,0.54,2.617B,683.30M,303.80M,2011-09,66.70M,-13.70M,-13.70M,296.00M,250.70M,967.80M,121.60M,87.60M,108.50M,39.20M,490.40M,141.70M,1.766B,3.512B,236.60M,430.20M,344.20M,1.728B,3.082B,1.384B,182.20M,21.90M,275.80M
EFX,2011-06,-295.90M,108.70M,188.70M,17.60M,52.60M,0.28,0.28,2.575B,673.80M,298.40M,2011-06,34.50M,-13.70M,-13.70M,300.90M,252.50M,963.90M,114.60M,89.00M,91.30M,54.20M,487.10M,142.70M,1.784B,3.489B,236.60M,436.50M,298.70M,1.687B,3.053B,1.388B,183.80M,26.70M,273.00M
