Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MMC,2017-03,-4.837B,930.00M,2.005B,412.00M,1.1,1.09,10.06B,2.451B,1.498B,2017-03,569.00M,-56.00M,-56.00M,722.00M,0,5.479B,749.00M,2.411B,753.00M,175.00M,3.503B,0,6.532B,18.97B,561.00M,4.981B,3.588B,12.35B,13.99B,8.762B,749.00M,2.411B,3.795B
MMC,2016-12,-5.093B,1.026B,2.151B,312.00M,0.85,0.84,9.495B,2.408B,1.213B,2016-12,436.00M,-47.00M,-47.00M,725.00M,0,4.495B,400.00M,2.115B,588.00M,147.00M,3.364B,0,6.192B,18.19B,561.00M,4.884B,4.082B,11.92B,13.31B,7.836B,813.00M,2.115B,3.643B
MMC,2016-09,-4.289B,1.388B,1.817B,262.00M,0.73,0.73,8.882B,2.411B,1.318B,2016-09,379.00M,-47.00M,-47.00M,717.00M,0,4.494B,572.00M,2.253B,525.00M,141.00M,3.135B,0,6.671B,18.36B,561.00M,5.209B,3.825B,11.60B,13.15B,7.779B,746.00M,2.253B,3.603B
MMC,2016-06,-4.301B,974.00M,1.872B,261.00M,0.91,0.9,8.90B,2.402B,1.504B,2016-06,472.00M,-46.00M,-46.00M,736.00M,0,4.496B,726.00M,2.228B,681.00M,201.00M,3.376B,0,6.624B,18.08B,561.00M,4.93B,3.504B,11.37B,13.15B,7.867B,778.00M,2.228B,3.721B
MMC,2016-03,-4.097B,918.00M,1.854B,265.00M,0.92,0.91,8.985B,2.408B,1.482B,2016-03,481.00M,-44.00M,-44.00M,757.00M,0,4.748B,733.00M,2.17B,686.00M,196.00M,3.336B,0,6.679B,18.13B,561.00M,4.798B,3.159B,11.36B,13.33B,8.198B,749.00M,2.17B,3.647B
MMC,2015-12,-4.22B,1.374B,1.90B,12.00M,0.72,0.71,8.925B,2.394B,1.438B,2015-12,375.00M,-42.00M,-42.00M,773.00M,0,4.402B,594.00M,2.04B,551.00M,171.00M,3.338B,0,6.513B,18.22B,561.00M,5.044B,3.708B,11.61B,13.17B,7.906B,844.00M,2.04B,3.471B
MMC,2015-09,-4.122B,1.33B,1.878B,62.00M,0.61,0.61,8.342B,2.443B,1.237B,2015-09,323.00M,-38.00M,-38.00M,786.00M,0,4.422B,461.00M,2.029B,457.00M,128.00M,3.115B,0,6.248B,17.72B,561.00M,5.526B,3.404B,11.38B,12.20B,7.977B,776.00M,2.029B,3.517B
MMC,2015-06,-3.923B,930.00M,1.826B,111.00M,0.78,0.77,8.155B,2.47B,1.399B,2015-06,419.00M,-37.00M,-37.00M,807.00M,0,3.825B,629.00M,2.123B,595.00M,166.00M,3.225B,0,6.783B,17.41B,561.00M,5.299B,3.208B,10.54B,12.11B,7.333B,770.00M,2.123B,3.659B
MMC,2015-03,-4.09B,1.104B,1.73B,61.00M,0.89,0.88,7.832B,2.429B,1.485B,2015-03,482.00M,-33.00M,-33.00M,794.00M,0,3.828B,735.00M,1.986B,704.00M,206.00M,3.215B,0,6.772B,16.83B,561.00M,5.177B,2.753B,9.971B,11.66B,7.218B,750.00M,1.986B,3.38B
MMC,2014-12,-3.847B,1.958B,1.896B,11.00M,0.54,0.54,7.933B,2.448B,1.35B,2014-12,294.00M,-31.00M,-31.00M,809.00M,0,3.368B,536.00M,2.033B,368.00M,99.00M,3.246B,0,7.054B,17.79B,561.00M,5.533B,3.677B,10.66B,12.26B,6.983B,814.00M,2.033B,3.377B
MMC,2014-09,-2.895B,2.649B,1.904B,640.00M,0.55,0.54,7.814B,2.477B,1.237B,2014-09,297.00M,-39.00M,-39.00M,822.00M,0,3.379B,445.00M,2.152B,432.00M,127.00M,3.141B,0,7.833B,17.99B,561.00M,6.852B,4.13B,10.07B,11.14B,5.942B,792.00M,2.152B,3.496B
MMC,2014-06,-2.607B,2.005B,1.876B,333.00M,0.78,0.77,7.871B,2.506B,1.424B,2014-06,431.00M,-37.00M,-37.00M,843.00M,0,3.212B,647.00M,2.212B,608.00M,168.00M,3.30B,0,8.151B,17.59B,561.00M,6.414B,3.53B,9.36B,11.17B,5.83B,777.00M,2.212B,3.706B
MMC,2014-03,-2.708B,1.38B,1.839B,432.00M,0.81,0.8,7.799B,2.441B,1.425B,2014-03,443.00M,-37.00M,-37.00M,825.00M,0,2.619B,673.00M,2.21B,649.00M,192.00M,3.264B,0,7.961B,16.58B,561.00M,5.563B,3.343B,8.534B,11.01B,5.191B,752.00M,2.21B,3.462B
MMC,2013-12,-2.621B,2.303B,1.833B,334.00M,0.55,0.54,7.365B,2.425B,1.282B,2013-12,303.00M,-38.00M,-38.00M,828.00M,0,2.621B,489.00M,2.009B,438.00M,131.00M,3.115B,0,7.905B,16.98B,561.00M,6.30B,3.809B,9.005B,10.68B,5.196B,793.00M,2.009B,3.31B
MMC,2013-09,-3.213B,2.174B,1.824B,583.00M,0.46,0.45,7.353B,2.435B,1.108B,2013-09,253.00M,-35.00M,-35.00M,824.00M,0,2.623B,404.00M,2.116B,383.00M,123.00M,2.932B,0,7.042B,16.98B,561.00M,6.161B,3.893B,9.856B,10.82B,5.963B,704.00M,2.116B,3.294B
MMC,2013-06,-3.435B,1.23B,1.766B,10.00M,0.71,0.69,7.281B,2.399B,1.322B,2013-06,388.00M,-36.00M,-36.00M,804.00M,0,2.703B,577.00M,2.096B,564.00M,164.00M,3.088B,1.753B,6.779B,15.84B,561.00M,5.214B,2.964B,8.992B,10.62B,6.028B,745.00M,2.096B,3.345B
MMC,2013-03,-3.379B,1.263B,1.803B,10.00M,0.75,0.74,7.199B,2.379B,1.323B,2013-03,413.00M,-40.00M,-40.00M,793.00M,0,2.705B,607.00M,2.084B,588.00M,176.00M,3.126B,1.728B,6.64B,15.54B,561.00M,5.097B,2.84B,8.824B,10.44B,5.984B,716.00M,2.084B,3.176B
MMC,2012-12,-3.307B,2.301B,1.802B,260.00M,0.48,0.47,7.261B,2.391B,1.20B,2012-12,259.00M,-40.00M,-40.00M,809.00M,0,2.658B,406.00M,1.831B,370.00M,105.00M,3.002B,1.721B,6.542B,16.29B,561.00M,5.963B,3.564B,9.682B,10.32B,6.118B,794.00M,1.831B,3.058B
MMC,2012-09,-3.005B,2.044B,1.76B,259.00M,0.44,0.44,7.113B,2.358B,1.085B,2012-09,241.00M,-38.00M,-38.00M,807.00M,0,2.66B,378.00M,2.022B,336.00M,90.00M,2.845B,0,6.51B,15.74B,561.00M,5.651B,3.506B,9.156B,10.08B,5.65B,707.00M,2.022B,3.059B
MMC,2012-06,-3.115B,1.504B,1.776B,259.00M,0.6,0.59,7.086B,2.335B,1.25B,2012-06,329.00M,-39.00M,-39.00M,800.00M,0,2.663B,518.00M,1.995B,483.00M,144.00M,3.026B,0,6.273B,15.20B,561.00M,5.195B,3.17B,8.858B,10.01B,5.688B,732.00M,1.995B,3.102B
MMC,2012-03,-3.023B,1.41B,1.796B,259.00M,0.64,0.63,7.129B,2.33B,1.255B,2012-03,347.00M,-40.00M,-40.00M,795.00M,0,2.664B,527.00M,2.074B,507.00M,153.00M,3.051B,0,6.198B,15.01B,561.00M,5.035B,3.032B,8.745B,9.975B,5.713B,728.00M,2.074B,3.008B
MMC,2011-12,-3.188B,2.113B,6.969B,260.00M,0.47,0.46,6.963B,2.273B,-4.061B,2011-12,256.00M,-43.00M,-43.00M,804.00M,0,2.668B,391.00M,2.079B,344.00M,100.00M,2.908B,0,5.883B,15.45B,561.00M,5.648B,3.739B,9.514B,9.806B,5.775B,-4.452B,2.079B,2.906B
MMC,2011-09,-2.333B,1.714B,0,260.00M,0.24,0.24,6.933B,2.287B,2.806B,2011-09,130.00M,-40.00M,-40.00M,804.00M,0,2.67B,310.00M,2.018B,198.00M,65.00M,2.806B,0,6.407B,15.12B,561.00M,5.03B,3.384B,8.656B,10.09B,5.272B,2.496B,2.018B,2.925B
MMC,2011-06,-2.078B,1.659B,0,260.00M,0.51,0.5,7.00B,2.189B,2.928B,2011-06,282.00M,-44.00M,-44.00M,823.00M,0,2.773B,465.00M,2.111B,415.00M,129.00M,2.928B,0,6.727B,15.45B,561.00M,5.186B,3.242B,8.671B,10.26B,5.429B,2.463B,2.111B,3.111B
MMC,2011-03,-2.183B,1.33B,0,261.00M,0.59,0.58,6.993B,2.289B,2.884B,2011-03,325.00M,-44.00M,-44.00M,828.00M,0,2.771B,472.00M,1.961B,447.00M,128.00M,2.884B,0,6.629B,15.07B,561.00M,4.936B,2.889B,8.386B,10.14B,5.497B,2.412B,1.961B,3.212B
