Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
WU,2018-06,-248.00M,3.459B,829.20M,110.00M,0,0.48,0.47,3.272B,911.10M,581.90M,2018-06,217.60M,-36.20M,-36.20M,241.80M,166.20M,3.332B,283.60M,1.752B,255.50M,37.90M,1.411B,298.30M,-451.30M,9.116B,4.50M,4.950B,1.752B,9.567B,4.166B,7.815B,298.30M,1.752B,1.491B
WU,2018-03,-276.00M,3.471B,825.40M,445.00M,0,0.46,0.46,3.296B,869.30M,564.00M,2018-03,213.60M,-34.80M,-34.80M,215.70M,173.80M,3.033B,264.90M,1.856B,234.50M,20.90M,1.389B,299.10M,-375.80M,9.188B,4.60M,4.961B,1.966B,9.564B,4.227B,7.597B,299.10M,1.856B,1.490B
WU,2017-12,-227.90M,3.453B,870.30M,310.00M,0,-2.44,-2.44,3.314B,849.90M,568.00M,2017-12,-1.121B,-36.80M,-36.80M,214.20M,173.00M,3.034B,212.10M,6.159B,-289.20M,831.70M,1.438B,355.90M,-491.40M,9.231B,4.60M,5.201B,6.159B,9.723B,4.030B,3.563B,355.90M,6.159B,1.574B
WU,2017-09,-228.30M,3.516B,840.50M,0,0,0.51,0.51,3.762B,866.60M,564.20M,2017-09,235.60M,-35.90M,-35.90M,211.90M,140.90M,3.533B,272.20M,1.055B,239.20M,3.60M,1.405B,292.00M,709.40M,9.874B,4.60M,4.982B,1.055B,9.164B,4.892B,8.109B,292.00M,1.055B,1.465B
WU,2017-06,-209.40M,3.446B,842.30M,0,0,0.35,0.35,3.778B,847.40M,536.60M,2017-06,166.50M,-34.30M,-34.30M,215.30M,135.70M,3.182B,215.40M,927.60M,184.40M,17.90M,1.379B,321.20M,661.20M,9.408B,4.60M,4.706B,1.373B,8.747B,4.703B,7.374B,321.20M,927.60M,1.260B
WU,2017-03,-173.80M,3.574B,799.90M,0,0,0.34,0.33,3.812B,826.60M,502.50M,2017-03,161.70M,-30.20M,-30.20M,209.30M,135.30M,3.181B,240.10M,1.376B,213.10M,51.40M,1.302B,262.40M,750.30M,9.486B,4.70M,4.775B,1.686B,8.736B,4.711B,7.050B,262.40M,1.376B,1.201B
WU,2016-12,-162.80M,3.299B,842.50M,0,0,-0.73,-0.73,3.826B,820.50M,529.20M,2016-12,-355.00M,-28.80M,-28.80M,220.50M,85.90M,2.786B,-310.20M,5.286B,-338.30M,16.70M,1.372B,839.40M,902.20M,9.420B,4.80M,4.812B,5.286B,8.517B,4.608B,3.231B,839.40M,5.286B,1.327B
WU,2016-09,-176.90M,3.552B,822.90M,0,0,0.45,0.44,3.856B,811.60M,554.90M,2016-09,216.90M,-40.30M,-40.30M,224.40M,272.80M,3.225B,278.30M,793.20M,240.00M,23.10M,1.378B,276.60M,1.388B,9.519B,4.90M,4.670B,793.20M,8.131B,4.849B,7.338B,276.60M,793.20M,1.117B
WU,2016-06,-165.00M,3.356B,821.90M,0,0,0.42,0.42,3.864B,790.50M,553.80M,2016-06,205.60M,-40.30M,-40.30M,221.70M,268.10M,3.228B,260.30M,725.60M,222.50M,16.90M,1.376B,293.50M,1.314B,9.395B,4.90M,4.520B,725.60M,8.080B,4.875B,7.355B,293.50M,725.60M,1.164B
WU,2016-03,-179.10M,3.324B,779.40M,0,0,0.37,0.37,3.860B,779.40M,518.30M,2016-03,185.70M,-39.60M,-39.60M,226.30M,276.70M,3.226B,258.60M,801.20M,217.50M,31.80M,1.298B,259.70M,1.239B,9.418B,4.90M,4.486B,801.20M,8.179B,4.932B,7.378B,259.70M,801.20M,1.162B
WU,2015-12,-143.90M,3.554B,811.00M,35.00M,0,0.42,0.42,3.869B,770.00M,569.00M,2015-12,212.30M,-38.30M,-38.30M,231.80M,272.60M,3.216B,281.80M,4.127B,236.90M,24.60M,1.38B,287.20M,1.405B,9.449B,5.00M,4.765B,4.127B,8.044B,4.684B,3.918B,287.20M,4.127B,1.070B
