Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
OKE,2018-06,-178.59M,15.30M,2.282B,1.089B,0.68,0.68,987.51M,16.36B,678.42M,2018-06,399.61M,281.05M,-113.50M,-113.50M,13.30B,411.91M,7.091B,448.27M,1.163B,369.71M,87.53M,2.961B,6.665B,16.91B,4.45M,1.434B,2.572B,10.08B,15.48B,7.503B,230.15M,1.027B,934.66M
OKE,2018-03,-174.69M,17.47M,2.472B,932.65M,0.65,0.64,990.48M,15.84B,629.81M,2018-03,283.99M,264.51M,-115.72M,-115.72M,12.88B,420.51M,7.092B,419.61M,870.58M,341.82M,75.77M,3.102B,6.701B,16.43B,4.45M,1.291B,2.051B,9.563B,15.14B,7.512B,210.20M,773.05M,844.22M
OKE,2017-12,-188.53M,37.19M,3.178B,1.047B,0.09,0.09,993.46M,15.56B,614.62M,2017-12,432.59M,63.04M,-124.19M,-124.19M,12.70B,401.62M,8.092B,400.54M,1.276B,316.18M,251.37M,3.792B,5.528B,16.85B,4.232M,1.764B,2.667B,11.16B,15.08B,8.493B,214.08M,1.141B,1.203B
OKE,2017-09,-181.77M,11.68M,2.332B,1.365B,0.43,0.43,996.44M,15.36B,574.65M,2017-09,391.63M,165.74M,-126.53M,-126.53M,12.58B,415.38M,8.092B,370.32M,1.020B,263.66M,97.13M,2.906B,5.359B,16.76B,4.159M,1.519B,2.741B,11.25B,15.25B,8.507B,204.33M,922.82M,939.60M
OKE,2017-06,-176.08M,332.37M,2.192B,1.769B,0.34,0.33,999.41M,15.24B,533.90M,2017-06,275.30M,71.69M,-118.47M,-118.47M,12.55B,411.57M,7.836B,318.81M,808.53M,219.84M,43.84M,2.726B,5.408B,16.67B,4.147M,1.448B,2.861B,11.11B,15.23B,8.247B,215.09M,696.83M,749.34M
OKE,2017-03,-139.06M,310.81M,2.243B,1.701B,0.41,0.41,1.002B,15.15B,506.35M,2017-03,193.34M,87.36M,-116.46M,-116.46M,12.55B,1.946B,7.920B,317.14M,793.43M,241.13M,54.94M,2.750B,238.38M,16.07B,2.458M,1.378B,2.732B,12.60B,14.69B,9.866B,189.20M,703.28M,734.84M
OKE,2016-12,-154.35M,248.88M,2.121B,1.521B,0.43,0.43,1.005B,15.08B,533.68M,2016-12,200.95M,90.50M,-114.19M,-114.19M,12.57B,1.946B,7.920B,339.60M,987.24M,249.63M,54.87M,2.654B,188.74M,16.14B,2.458M,1.430B,2.837B,12.71B,14.71B,9.873B,194.08M,874.73M,872.43M
OKE,2016-09,-154.35M,237.41M,1.850B,1.154B,0.44,0.43,1.008B,14.94B,507.76M,2016-09,299.47M,92.14M,-118.24M,-118.24M,12.53B,1.871B,8.320B,323.61M,815.95M,249.80M,55.01M,2.358B,214.30M,15.98B,2.458M,1.369B,2.342B,12.54B,14.61B,10.20B,184.15M,711.82M,737.22M
OKE,2016-06,-159.25M,180.85M,1.627B,1.037B,0.41,0.4,1.011B,14.81B,507.54M,2016-06,331.07M,85.94M,-118.98M,-118.98M,12.48B,1.811B,8.320B,315.70M,817.61M,232.54M,52.46M,2.134B,237.43M,15.82B,2.458M,1.281B,2.188B,12.33B,14.54B,10.14B,191.84M,697.83M,672.06M
OKE,2016-03,-134.61M,137.22M,1.290B,905.22M,0.4,0.4,1.014B,14.67B,484.24M,2016-03,239.22M,83.45M,-118.25M,-118.25M,12.44B,1.758B,8.320B,307.23M,626.95M,225.98M,50.07M,1.774B,286.89M,15.50B,2.458M,991.02M,1.764B,11.86B,14.51B,10.09B,177.02M,522.32M,521.44M
OKE,2015-12,-127.24M,97.62M,1.427B,656.99M,0.13,0.12,1.017B,14.53B,504.24M,2015-12,204.78M,25.52M,-110.73M,-110.73M,12.37B,1.701B,8.324B,319.45M,745.02M,-13.63M,12.65M,1.931B,335.80M,15.45B,2.458M,975.21M,1.638B,11.68B,14.47B,10.04B,184.79M,615.98M,593.98M
OKE,2015-09,-136.11M,38.37M,1.449B,947.92M,0.39,0.39,1.020B,14.46B,449.84M,2015-09,204.91M,82.16M,-106.92M,-106.92M,12.28B,1.716B,7.774B,285.66M,729.02M,203.00M,38.30M,1.899B,414.47M,15.51B,2.458M,952.79M,1.961B,11.47B,14.56B,9.510B,164.18M,620.57M,586.16M
OKE,2015-06,-135.33M,226.19M,1.690B,1.531B,0.36,0.36,1.023B,14.18B,437.97M,2015-06,150.14M,76.50M,-102.38M,-102.38M,12.08B,1.729B,7.291B,272.62M,694.91M,199.24M,48.22M,2.128B,517.51M,15.65B,2.458M,1.264B,2.607B,11.65B,14.39B,9.045B,165.35M,694.91M,684.90M
OKE,2015-03,-139.89M,239.41M,1.430B,1.486B,0.29,0.29,1.012B,13.91B,375.49M,2015-03,218.69M,60.80M,-96.75M,-96.75M,11.89B,1.721B,7.340B,196.47M,721.54M,133.26M,37.43M,1.805B,530.16M,15.53B,2.458M,1.322B,2.549B,11.64B,14.21B,9.091B,179.02M,721.54M,628.06M
OKE,2014-12,-136.35M,172.81M,2.362B,1.066B,0.45,0.45,1.015B,13.60B,482.94M,2014-12,189.97M,94.54M,-86.46M,-86.46M,11.66B,1.677B,7.150B,301.68M,996.29M,256.77M,56.00M,2.845B,592.12M,15.26B,2.458M,1.307B,2.392B,11.26B,13.95B,8.864B,181.26M,891.41M,745.49M
OKE,2014-09,-107.66M,151.40M,2.658B,10.65M,0.31,0.31,1.018B,12.17B,462.35M,2014-09,338.34M,64.46M,-86.05M,-86.05M,10.24B,1.533B,7.195B,289.86M,1.415B,152.31M,37.86M,3.120B,623.23M,14.31B,2.458M,1.713B,1.782B,10.55B,12.60B,8.771B,172.50M,1.313B,971.28M
OKE,2014-06,-113.13M,358.56M,2.644B,10.65M,0.29,0.29,1.019B,11.74B,423.35M,2014-06,335.12M,61.59M,-88.75M,-88.75M,9.871B,1.491B,7.197B,251.33M,1.377B,191.07M,42.31M,3.067B,656.42M,14.38B,2.458M,2.060B,1.851B,10.59B,12.32B,8.740B,172.02M,1.272B,1.097B
OKE,2014-03,-109.91M,210.23M,2.720B,135.65M,0.45,0.45,1.022B,11.31B,443.21M,2014-03,231.24M,93.52M,-94.90M,-94.90M,9.511B,1.374B,7.199B,294.10M,1.258B,219.72M,14.98M,3.163B,584.50M,13.65B,2.458M,1.656B,1.892B,10.53B,12.00B,8.634B,149.11M,1.155B,883.67M
OKE,2013-12,-121.99M,145.56M,3.071B,575.11M,0.44,0.43,1.025B,10.97B,378.25M,2013-12,188.29M,90.74M,-73.85M,-73.85M,9.232B,1.364B,7.754B,234.57M,1.273B,206.38M,39.39M,3.450B,2.338B,17.74B,2.458M,2.405B,2.730B,12.90B,15.34B,10.17B,143.68M,1.273B,1.110B
OKE,2013-09,-219.49M,779.52M,2.773B,572.98M,0.3,0.3,990.46M,14.94B,362.37M,2013-09,664.21M,62.36M,-66.19M,-66.19M,11.77B,2.541B,7.757B,231.37M,1.383B,202.78M,44.96M,3.135B,2.190B,17.61B,2.458M,2.882B,2.622B,12.92B,14.73B,10.30B,131.00M,1.383B,1.167B
OKE,2013-06,-211.97M,33.68M,2.415B,844.68M,0,0,992.37M,14.09B,353.88M,2013-06,435.00M,0.919M,-66.12M,-66.12M,10.98B,2.508B,6.511B,228.11M,1.214B,196.70M,42.92M,2.769B,2.085B,15.84B,2.458M,1.890B,2.649B,11.67B,13.95B,9.019B,125.76M,1.214B,1.159B
OKE,2013-03,-223.15M,143.95M,2.202B,562.02M,0.55,0.54,994.29M,13.56B,315.82M,2013-03,302.47M,112.52M,-64.49M,-64.49M,10.52B,2.392B,6.513B,174.69M,1.205B,149.31M,38.80M,2.518B,2.134B,15.45B,2.458M,1.950B,2.337B,11.24B,13.50B,8.905B,141.14M,1.205B,1.262B
OKE,2012-12,-216.80M,583.62M,1.270B,828.02M,0.55,0.53,996.21M,13.09B,-58.62M,2012-12,517.01M,111.54M,-18.92M,-18.92M,10.11B,2.294B,6.515B,134.18M,1.333B,168.30M,23.92M,1.211B,2.130B,15.86B,2.458M,2.765B,2.813B,11.62B,13.09B,8.810B,-192.80M,1.333B,1.349B
OKE,2012-09,-240.48M,1.036B,2.556B,687.89M,0.32,0.31,998.12M,12.40B,472.54M,2012-09,644.72M,65.22M,-71.36M,-71.36M,9.490B,2.232B,6.517B,243.33M,1.154B,207.57M,42.58M,3.029B,2.066B,15.36B,2.458M,2.956B,2.439B,11.19B,12.41B,8.750B,229.20M,1.154B,984.72M
OKE,2012-06,-205.64M,152.64M,2.065B,608.19M,0.29,0.29,1.000B,11.95B,464.38M,2012-06,561.80M,60.99M,-71.54M,-71.54M,9.098B,2.130B,5.225B,233.11M,911.98M,189.35M,40.41M,2.529B,2.090B,13.82B,2.458M,1.807B,2.257B,9.611B,12.01B,7.355B,231.26M,911.98M,793.84M
OKE,2012-03,-178.84M,945.13M,2.854B,784.15M,0.59,0.58,1.002B,11.50B,560.18M,2012-03,299.13M,122.86M,-75.82M,-75.82M,8.701B,2.046B,5.226B,336.12M,1.110B,293.29M,73.84M,3.415B,2.256B,14.25B,1.229M,2.609B,2.600B,9.873B,11.64B,7.272B,224.06M,1.110B,1.155B
OKE,2011-12,-206.12M,65.95M,3.684B,1.206B,0.55,0.54,1.014B,11.18B,386.86M,2011-12,549.92M,115.00M,-68.32M,-68.32M,8.444B,2.121B,4.530B,365.20M,1.342B,335.54M,71.80M,4.071B,2.239B,13.70B,2.458M,2.319B,3.246B,9.897B,11.38B,6.651B,21.67M,1.342B,1.340B
OKE,2011-09,-174.57M,254.29M,2.997B,1.015B,0.29,0.28,1.016B,10.71B,532.62M,2011-09,658.06M,60.32M,-73.84M,-73.84M,8.019B,1.979B,4.532B,249.41M,1.242B,195.19M,34.03M,3.529B,2.186B,13.17B,1.229M,2.312B,2.977B,9.489B,10.86B,6.512B,283.21M,1.242B,1.141B
OKE,2011-06,-131.27M,536.33M,2.926B,894.88M,0.26,0.25,1.021B,10.35B,518.83M,2011-06,574.17M,55.14M,-75.50M,-75.50M,7.713B,1.873B,4.623B,216.43M,1.194B,170.23M,35.90M,3.445B,2.217B,13.04B,1.229M,2.529B,2.841B,9.339B,10.51B,6.498B,302.40M,1.194B,1.125B
OKE,2011-03,-135.14M,926.52M,3.131B,418.24M,0.61,0.595,1.021B,10.04B,629.88M,2011-03,407.67M,130.13M,-79.35M,-79.35M,7.439B,1.798B,4.976B,328.84M,1.132B,282.60M,84.32M,3.761B,2.499B,13.04B,1.228M,2.796B,2.302B,9.083B,10.24B,6.781B,301.04M,1.132B,1.280B
