Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
KMX,2018-08,-54.44M,37.15M,4.115B,411.71M,0,1.25,1.24,3.831B,650.64M,2018-08,2.357B,220.89M,91.72M,91.72M,2.767B,0,13.18B,197.08M,871.75M,289.48M,68.60M,4.766B,453.55M,3.482B,18.18B,87.64M,3.022B,1.283B,14.69B,15.15B,13.41B,453.55M,605.54M,104.88M
KMX,2018-05,-55.04M,76.35M,4.131B,393.24M,0,1.34,1.33,3.560B,661.34M,2018-05,2.260B,238.66M,97.54M,97.54M,2.714B,0,12.86B,223.11M,894.96M,319.68M,81.03M,4.793B,438.23M,3.384B,17.76B,88.36M,2.957B,1.288B,14.37B,14.80B,13.08B,438.23M,642.33M,101.35M
KMX,2018-02,-54.31M,44.52M,3.547B,365.55M,0,0.68,0.67,0,536.73M,2018-02,2.391B,122.15M,81.41M,81.41M,2.667B,0,12.75B,127.91M,808.50M,210.12M,87.98M,4.084B,408.81M,3.317B,17.49B,89.87M,3.061B,1.174B,14.17B,14.42B,13.00B,408.81M,529.73M,133.32M
KMX,2017-11,-51.30M,26.29M,3.568B,358.30M,0,0.82,0.81,0,539.19M,2017-11,2.441B,148.84M,85.40M,85.40M,2.634B,0,12.65B,139.52M,753.38M,225.20M,76.36M,4.107B,399.67M,3.301B,17.30B,90.74M,3.005B,1.112B,14.00B,14.30B,12.89B,399.67M,519.98M,95.84M
KMX,2017-08,-59.63M,25.76M,3.783B,366.69M,0,0.99,0.98,0,604.00M,2017-08,2.232B,181.42M,91.10M,91.10M,2.602B,0,12.23B,198.94M,834.87M,290.23M,108.81M,4.387B,405.06M,3.201B,16.88B,90.95M,2.803B,1.202B,13.67B,14.07B,12.47B,405.06M,582.93M,99.73M
KMX,2017-05,-58.23M,60.08M,3.893B,349.30M,0,1.14,1.13,0,648.94M,2017-05,2.148B,211.70M,92.52M,92.52M,2.558B,0,11.93B,245.44M,817.37M,338.05M,126.35M,4.542B,403.50M,3.152B,16.48B,91.94M,2.735B,1.167B,13.32B,13.74B,12.16B,403.50M,614.16M,104.74M
KMX,2017-02,-56.56M,38.42M,3.488B,343.27M,0,0.82,0.81,0,562.16M,2017-02,2.261B,152.60M,66.54M,66.54M,2.518B,0,11.83B,176.75M,762.52M,242.32M,89.71M,4.050B,385.41M,3.109B,16.28B,93.27M,2.874B,1.106B,13.17B,13.41B,12.06B,385.41M,496.39M,152.39M
KMX,2016-11,-60.14M,23.71M,3.198B,324.30M,0,0.72,0.72,0,503.14M,2016-11,2.170B,136.64M,74.29M,74.29M,2.449B,0,11.48B,146.40M,703.41M,219.66M,83.02M,3.702B,356.74M,3.015B,15.76B,93.68M,2.684B,1.028B,12.74B,13.08B,11.72B,356.74M,478.83M,92.00M
KMX,2016-08,-66.58M,316.03M,3.452B,351.16M,0,0.85,0.84,0,545.36M,2016-08,1.919B,162.36M,82.06M,82.06M,2.326B,0,11.13B,179.24M,733.20M,261.74M,99.37M,3.997B,366.13M,3.062B,15.50B,95.54M,2.755B,1.084B,12.44B,12.75B,11.36B,366.13M,487.15M,94.58M
KMX,2016-05,-66.82M,52.58M,3.554B,333.44M,0,0.91,0.9,0,572.64M,2016-05,1.865B,175.36M,89.67M,89.67M,2.234B,0,10.51B,192.41M,749.94M,282.69M,107.33M,4.126B,380.23M,2.972B,14.79B,96.25M,2.417B,1.083B,11.82B,12.37B,10.73B,380.23M,544.51M,102.54M
KMX,2016-02,-70.20M,37.39M,3.217B,315.51M,0,0.72,0.71,3.087B,489.26M,2016-02,1.932B,141.03M,80.55M,80.55M,2.162B,0,10.32B,155.40M,689.68M,226.19M,85.16M,3.706B,333.86M,2.905B,14.46B,97.36M,2.472B,1.005B,11.56B,11.99B,10.55B,333.86M,443.78M,132.17M
KMX,2015-11,-66.66M,33.35M,3.080B,290.54M,0,0.64,0.63,2.685B,464.33M,2015-11,2.153B,128.20M,82.30M,82.30M,2.106B,0,10.32B,126.82M,633.02M,207.96M,79.76M,3.544B,337.51M,2.912B,14.38B,98.78M,2.635B,923.55M,11.47B,11.75B,10.55B,337.51M,421.18M,88.53M
KMX,2015-08,-66.15M,100.48M,3.364B,320.57M,0,0.83,0.82,2.382B,521.37M,2015-08,1.912B,172.23M,90.83M,90.83M,2.017B,0,9.514B,190.59M,681.40M,279.82M,107.59M,3.885B,330.78M,3.211B,13.95B,102.46M,2.504B,1.002B,10.74B,11.45B,9.740B,330.78M,455.03M,100.83M
KMX,2015-05,-66.46M,351.70M,3.471B,309.75M,0,0.87,0.86,0,543.79M,2015-05,1.844B,181.97M,102.00M,102.00M,1.896B,0,9.176B,194.02M,689.82M,295.98M,114.00M,4.015B,349.78M,3.275B,13.67B,104.34M,2.666B,999.57M,10.40B,11.00B,9.396B,349.78M,505.54M,103.66M
