Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DUK,2017-06,-82.00M,298.00M,3.058B,6.96B,0.98,0.98,19.42B,124.93B,2.497B,2017-06,3.369B,686.00M,-486.00M,-486.00M,84.40B,15.23B,46.04B,1.355B,3.115B,1.018B,327.00M,5.555B,41.28B,135.00B,1.00M,7.673B,12.47B,93.71B,127.33B,81.24B,1.142B,2.609B,2.378B
DUK,2017-03,-85.00M,878.00M,3.175B,5.535B,1.02,1.02,19.42B,123.81B,2.554B,2017-03,3.366B,716.00M,-491.00M,-491.00M,83.52B,14.98B,47.02B,1.391B,3.092B,1.061B,344.00M,5.729B,41.18B,134.11B,1.00M,8.005B,10.94B,92.92B,126.10B,81.98B,1.163B,2.566B,2.305B
DUK,2016-12,-93.00M,392.00M,3.683B,4.806B,-0.34,-0.34,19.42B,121.93B,1.894B,2016-12,3.522B,-227.00M,-464.00M,-464.00M,82.52B,14.65B,45.58B,747.00M,3.881B,512.00M,136.00M,5.577B,41.03B,132.76B,1.00M,8.039B,11.55B,91.72B,124.72B,80.17B,1.147B,3.378B,2.644B
DUK,2016-09,-721.00M,6.179B,3.497B,6.212B,1.7,1.7,16.35B,117.03B,3.079B,2016-09,3.351B,1.176B,-464.00M,-464.00M,78.22B,13.69B,43.96B,1.958B,3.278B,1.516B,515.00M,6.576B,40.49B,129.69B,1.00M,13.53B,12.08B,89.14B,116.15B,77.06B,1.121B,2.774B,2.722B
DUK,2016-06,-717.00M,676.00M,2.881B,4.654B,0.74,0.74,16.36B,115.74B,2.332B,2016-06,3.627B,509.00M,-478.00M,-478.00M,77.33B,13.53B,39.93B,1.252B,3.136B,877.00M,253.00M,5.213B,39.90B,122.65B,1.00M,8.097B,9.906B,82.71B,114.56B,72.80B,1.08B,2.688B,2.518B
DUK,2016-03,-766.00M,778.00M,3.053B,5.561B,1.01,1.01,16.35B,114.59B,2.324B,2016-03,3.721B,694.00M,-489.00M,-489.00M,76.43B,13.32B,38.23B,1.236B,2.961B,829.00M,252.00M,5.377B,39.89B,121.71B,1.00M,7.943B,10.89B,81.77B,113.77B,70.88B,1.088B,2.48B,2.323B
DUK,2015-12,-806.00M,383.00M,2.545B,5.659B,0.69,0.69,16.07B,110.52B,1.689B,2015-12,3.746B,477.00M,-299.00M,-299.00M,73.78B,13.02B,36.84B,684.00M,3.051B,472.00M,138.00M,4.234B,39.73B,121.16B,1.00M,8.322B,11.40B,81.38B,112.83B,69.98B,1.005B,2.639B,2.263B
DUK,2015-09,-778.00M,1.37B,3.621B,4.955B,1.35,1.35,16.31B,111.26B,2.862B,2015-09,3.537B,932.00M,-402.00M,-402.00M,73.78B,14.42B,37.67B,1.795B,3.189B,1.36B,420.00M,6.483B,39.83B,121.03B,1.00M,10.20B,10.52B,81.16B,110.84B,70.65B,1.067B,2.706B,2.759B
DUK,2015-06,-648.00M,960.00M,3.287B,4.536B,0.78,0.78,16.33B,107.58B,2.302B,2015-06,3.469B,543.00M,-403.00M,-403.00M,71.76B,14.08B,36.80B,1.233B,2.889B,938.00M,334.00M,5.589B,39.58B,118.58B,1.00M,9.598B,9.646B,78.96B,108.98B,69.31B,1.069B,2.47B,2.696B
DUK,2015-03,-672.00M,2.821B,3.582B,6.59B,1.22,1.22,16.33B,105.70B,2.483B,2015-03,3.413B,864.00M,-403.00M,-403.00M,70.30B,14.34B,37.17B,1.442B,2.918B,1.14B,364.00M,6.065B,41.05B,122.14B,1.00M,12.32B,11.90B,81.06B,109.82B,69.15B,1.041B,2.428B,2.766B
DUK,2014-12,-543.00M,2.036B,2.638B,5.321B,0.14,0.14,16.32B,104.87B,1.505B,2014-12,3.459B,97.00M,-301.00M,-301.00M,70.05B,13.85B,37.06B,573.00M,3.258B,315.00M,144.00M,4.143B,40.88B,120.56B,1.00M,11.58B,11.23B,79.66B,108.98B,68.42B,932.00M,2.84B,2.764B
DUK,2014-09,-456.00M,1.931B,3.716B,2.943B,1.8,1.8,16.33B,104.14B,2.679B,2014-09,3.20B,1.274B,-405.00M,-405.00M,69.60B,13.42B,38.70B,1.616B,2.981B,1.351B,460.00M,6.395B,41.41B,119.66B,1.00M,11.58B,8.251B,78.20B,108.08B,69.95B,1.063B,2.505B,2.923B
DUK,2014-06,-355.00M,2.008B,3.368B,3.754B,0.86,0.86,16.34B,100.88B,2.34B,2014-06,3.056B,609.00M,-403.00M,-403.00M,66.91B,12.45B,38.71B,1.267B,2.757B,1.008B,282.00M,5.708B,40.80B,115.17B,1.00M,11.52B,8.708B,74.29B,103.66B,65.58B,1.073B,2.304B,2.995B
DUK,2014-03,-377.00M,1.537B,3.701B,2.622B,-0.14,-0.14,16.34B,99.87B,2.562B,2014-03,2.908B,-97.00M,-404.00M,-404.00M,66.36B,12.29B,39.00B,1.457B,2.793B,1.089B,339.00M,6.263B,40.71B,113.79B,1.00M,10.56B,7.492B,73.00B,103.23B,65.51B,1.105B,2.315B,2.796B
DUK,2013-12,-399.00M,1.545B,3.373B,2.943B,0.98,0.97,16.34B,103.12B,2.251B,2013-12,3.25B,688.00M,-392.00M,-392.00M,69.49B,12.54B,38.15B,1.221B,3.382B,984.00M,296.00M,5.624B,41.33B,114.78B,1.00M,10.52B,8.644B,73.37B,104.26B,64.73B,1.03B,2.942B,3.005B
DUK,2013-09,-380.00M,2.284B,3.563B,3.91B,1.42,1.42,16.70B,102.42B,2.654B,2013-09,3.10B,1.004B,-378.00M,-378.00M,69.28B,11.94B,37.40B,1.663B,2.999B,1.369B,423.00M,6.217B,41.16B,114.59B,1.00M,10.42B,9.239B,73.35B,104.17B,64.11B,991.00M,2.525B,2.843B
DUK,2013-06,-376.00M,1.851B,3.672B,4.049B,0.48,0.48,16.70B,101.39B,2.207B,2013-06,3.13B,339.00M,-381.00M,-381.00M,68.88B,11.28B,37.36B,1.206B,2.94B,510.00M,165.00M,5.879B,40.13B,114.10B,1.00M,9.875B,10.02B,73.90B,104.22B,63.88B,1.001B,2.489B,2.828B
DUK,2013-03,-289.00M,1.584B,3.682B,5.009B,0.89,0.89,16.73B,101.31B,2.216B,2013-03,3.096B,634.00M,-367.00M,-367.00M,68.81B,10.97B,36.34B,1.213B,2.888B,964.00M,330.00M,5.898B,40.95B,113.67B,1.00M,9.549B,9.965B,72.64B,104.12B,62.67B,1.003B,2.41B,2.807B
DUK,2012-12,-306.00M,1.757B,2.613B,4.167B,0.56,0.56,16.36B,100.53B,1.37B,2012-12,3.223B,435.00M,-337.00M,-337.00M,68.56B,10.95B,36.35B,561.00M,3.351B,329.00M,58.00M,3.983B,40.96B,113.86B,94.00M,10.12B,10.03B,72.82B,103.73B,62.79B,809.00M,2.903B,2.717B
DUK,2012-09,-340.00M,2.096B,4.40B,3.363B,0.85,0.85,16.54B,101.35B,2.322B,2012-09,3.041B,594.00M,-401.00M,-401.00M,69.03B,10.78B,36.11B,1.33B,2.987B,842.00M,248.00M,6.722B,40.90B,112.01B,1.00M,10.11B,8.556B,71.01B,101.90B,62.46B,992.00M,2.513B,2.846B
DUK,2012-06,-320.00M,1.76B,2.149B,2.932B,0.99,0.99,4.199B,62.89B,1.428B,2012-06,1.762B,444.00M,-232.00M,-232.00M,43.79B,8.293B,18.45B,782.00M,1.773B,663.00M,214.00M,3.577B,22.42B,63.03B,1.00M,6.487B,6.139B,40.52B,56.54B,34.38B,646.00M,1.519B,1.843B
DUK,2012-03,-174.00M,1.309B,2.073B,1.523B,0.66,0.66,4.21B,61.98B,1.557B,2012-03,1.754B,295.00M,-224.00M,-224.00M,42.89B,8.107B,19.03B,894.00M,1.706B,400.00M,103.00M,3.63B,22.78B,61.80B,1.00M,5.924B,4.283B,38.92B,55.88B,34.64B,663.00M,1.419B,1.737B
DUK,2011-12,-234.00M,2.30B,4.903B,2.321B,0.64,0.64,4.212B,61.37B,-1.535B,2011-12,1.588B,288.00M,-171.00M,-171.00M,42.66B,7.965B,18.68B,544.00M,2.116B,409.00M,119.00M,3.368B,22.77B,62.53B,1.00M,6.88B,5.528B,39.66B,55.65B,34.13B,-2.079B,1.864B,1.941B
DUK,2011-09,-188.00M,2.178B,1.388B,2.282B,1.06,1.06,4.218B,60.78B,2.576B,2011-09,1.421B,472.00M,-213.00M,-213.00M,41.88B,7.843B,17.58B,1.072B,1.787B,677.00M,208.00M,3.964B,22.79B,60.78B,1.00M,6.273B,5.115B,37.88B,54.50B,32.76B,1.504B,1.518B,1.916B
DUK,2011-06,89.00M,1.371B,1.285B,1.288B,0.9798,0.9798,4.336B,60.22B,2.249B,2011-06,1.415B,435.00M,-203.00M,-203.00M,41.61B,7.727B,17.69B,684.00M,1.819B,633.00M,192.00M,3.534B,22.58B,59.79B,1.00M,5.634B,4.386B,37.09B,54.16B,32.70B,1.565B,1.547B,1.969B
DUK,2011-03,30.00M,1.428B,1.339B,1.304B,1.14,1.14,4.325B,59.44B,2.324B,2011-03,1.347B,511.00M,-219.00M,-219.00M,40.94B,7.40B,17.23B,804.00M,1.954B,746.00M,233.00M,3.663B,22.73B,58.99B,1.00M,5.545B,4.197B,36.13B,53.44B,31.93B,1.52B,1.687B,1.925B
