Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables,,,,,,,,,,,2011-03
CB,2015-06,607.00M,51.55B,2.102B,2.89,2.86,6.403B,2015-06,942.00M,-71.00M,-71.00M,0,4.157B,11.77B,1.085B,143.00M,5.048B,578.00M,29.56B,99.84B,7.833B,71.53B,13.88B,70.28B,71.04B,51.58B,633.00M,11.77B,17.74B,,,,,,,,,,,62.84B
CB,2015-03,1.152B,53.89B,2.552B,2.08,2.05,5.956B,2015-03,681.00M,-68.00M,-68.00M,0,4.157B,11.43B,801.00M,120.00M,4.389B,554.00M,29.70B,98.40B,7.833B,72.70B,13.98B,68.70B,70.74B,49.97B,578.00M,11.43B,16.83B,,,,,,,,,,,59.33B
CB,2014-12,1.191B,52.37B,1.15B,1.68,1.67,6.19B,2014-12,555.00M,-67.00M,-67.00M,0,3.357B,11.15B,787.00M,232.00M,4.737B,590.00M,29.59B,98.25B,8.055B,72.03B,12.30B,68.66B,69.81B,51.60B,624.00M,11.15B,17.64B,,,,,,,,,,,50.57B
CB,2014-09,1.608B,52.71B,1.851B,2.35,2.32,5.916B,2014-09,785.00M,-70.00M,-70.00M,0,4.057B,11.07B,961.00M,176.00M,5.20B,554.00M,30.02B,97.56B,8.278B,70.78B,12.92B,67.54B,70.41B,49.83B,594.00M,11.07B,16.36B,,,,,,,,,,,486.00M
CB,2014-06,2.095B,54.30B,1.851B,2.3,2.28,6.036B,2014-06,779.00M,-72.00M,-72.00M,0,4.057B,10.65B,912.00M,133.00M,4.815B,566.00M,30.32B,97.45B,8.501B,72.49B,12.50B,67.12B,70.65B,49.84B,581.00M,10.65B,16.32B,,,,,,,,,,,7.08B
CB,2014-03,1.526B,52.98B,1.901B,2.16,2.14,5.899B,2014-03,734.00M,-71.00M,-71.00M,0,3.808B,10.50B,827.00M,93.00M,4.419B,535.00M,29.37B,95.18B,8.724B,70.44B,12.40B,65.81B,68.68B,48.77B,565.00M,10.50B,15.74B,,,,,,,,,,,
CB,2013-12,1.152B,51.60B,1.901B,2.93,2.9,5.94B,2013-12,998.00M,-70.00M,-70.00M,0,3.807B,10.07B,1.086B,88.00M,5.074B,570.00M,28.82B,94.51B,8.899B,69.74B,11.97B,65.68B,67.69B,49.10B,599.00M,10.07B,16.47B,,,,,,,,,,,
CB,2013-09,1.374B,51.07B,1.902B,2.68,2.66,6.019B,2013-09,916.00M,-72.00M,-72.00M,0,3.807B,10.08B,1.071B,155.00M,5.172B,563.00M,28.22B,94.58B,9.073B,69.60B,11.98B,66.37B,67.50B,49.79B,588.00M,10.08B,16.80B,,,,,,,,,,,
CB,2013-06,1.26B,50.12B,1.901B,2.61,2.59,5.955B,2013-06,891.00M,-73.00M,-73.00M,0,3.807B,10.68B,1.006B,115.00M,4.705B,564.00M,27.30B,93.69B,9.249B,68.64B,12.58B,66.39B,66.62B,49.31B,611.00M,10.68B,16.70B,,,,,,,,,,,
CB,2013-03,2.65B,51.70B,1.402B,2.8,2.77,5.492B,2013-03,953.00M,-60.00M,-60.00M,0,4.307B,10.94B,1.075B,122.00M,4.31B,514.00M,27.94B,93.46B,9.423B,69.26B,12.34B,65.52B,67.42B,48.72B,539.00M,10.94B,15.92B,,,,,,,,,,,
CB,2012-12,2.887B,50.15B,1.401B,2.24,2.22,5.589B,2012-12,765.00M,-63.00M,-63.00M,0,3.36B,10.66B,630.00M,-135.00M,4.687B,553.00M,27.53B,92.54B,9.591B,68.23B,12.06B,65.01B,66.46B,48.48B,566.00M,10.66B,16.47B,,,,,,,,,,,
CB,2012-09,3.014B,3.119B,1.402B,1.88,1.86,4.99B,2012-09,640.00M,-63.00M,-63.00M,0,3.36B,8.944B,787.00M,147.00M,5.138B,519.00M,26.96B,93.51B,9.759B,4.732B,10.35B,66.54B,66.45B,51.48B,519.00M,8.944B,4.985B,,,,,,,,,,,
CB,2012-06,2.338B,2.877B,1.401B,0.96,0.96,4.826B,2012-06,328.00M,-62.00M,-62.00M,0,3.36B,8.599B,476.00M,148.00M,3.926B,514.00M,25.76B,90.70B,9.927B,9.637B,10.00B,64.94B,63.74B,50.19B,541.00M,8.599B,4.487B,,,,,,,,,,,
CB,2012-03,2.209B,2.814B,1.531B,2.87,2.84,4.86B,2012-03,973.00M,-62.00M,-62.00M,0,3.36B,7.948B,1.083B,110.00M,4.185B,510.00M,25.43B,89.75B,10.10B,8.944B,9.479B,64.32B,63.19B,50.17B,522.00M,7.948B,17.02B,,,,,,,,,,,
CB,2011-12,1.911B,44.88B,1.251B,2.17,2.16,5.475B,2011-12,735.00M,-63.00M,-63.00M,0,3.36B,9.984B,855.00M,120.00M,4.479B,531.00M,24.33B,87.32B,10.10B,63.45B,11.24B,62.99B,61.68B,47.48B,522.00M,9.984B,5.403B,,,,,,,,,,,
CB,2011-09,1.839B,3.142B,1.25B,-0.11,-0.11,4.817B,2011-09,-39.00M,-62.00M,-62.00M,0,3.36B,8.662B,126.00M,165.00M,4.294B,520.00M,23.75B,88.72B,10.10B,10.13B,9.912B,64.97B,61.44B,50.37B,609.00M,8.662B,4.923B,,,,,,,,,,,
CB,2011-06,1.989B,3.213B,1.40B,1.75,1.74,4.858B,2011-06,594.00M,-62.00M,-62.00M,0,3.36B,7.514B,715.00M,121.00M,4.253B,518.00M,24.11B,89.25B,10.10B,9.847B,8.914B,65.14B,61.47B,51.53B,530.00M,7.514B,4.102B,,,,,,,,,,,
