Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables,,,,,,,2012-06,2012-03,2011-12,2011-09,2011-06
FITB,2018-09,-775.00M,34.79B,600.00M,0.62,0.61,3.50B,5.229B,2018-09,436.00M,89.32B,2.442B,14.46B,1.155B,550.00M,114.00M,1.542B,719.00M,15.83B,141.68B,3.382B,38.48B,4.358B,125.84B,135.34B,119.03B,725.00M,0,3.697B,,,,,,,3.017B,2.98B,2.944B,2.872B,2.887B
FITB,2018-06,-552.00M,35.04B,1.20B,0.84,0.82,3.451B,5.275B,2018-06,602.00M,87.85B,2.521B,14.32B,1.206B,748.00M,146.00M,1.553B,751.00M,16.23B,140.70B,3.382B,38.82B,3.303B,124.44B,134.24B,118.72B,923.00M,0,3.788B,,,,,,,9.685B,9.648B,9.307B,9.80B,10.15B
FITB,2018-03,-389.00M,34.99B,400.00M,0.98,0.96,3.418B,5.338B,2018-03,701.00M,87.63B,2.591B,14.80B,1.104B,882.00M,181.00M,1.449B,760.00M,16.18B,141.50B,3.382B,38.91B,2.344B,125.30B,134.93B,120.53B,1.166B,0,3.919B,,,,,,,1.491B,1.436B,1.469B,1.307B,1.067B
FITB,2017-12,73.00M,36.41B,3.125B,0.68,0.67,3.33B,5.364B,2017-12,495.00M,87.20B,2.649B,14.90B,1.465B,600.00M,105.00M,1.42B,696.00M,16.20B,142.08B,3.382B,43.70B,5.31B,125.86B,129.89B,118.41B,818.00M,0,6.38B,,,,,,,565.00M,603.00M,418.00M,530.00M,506.00M
FITB,2017-09,185.00M,36.37B,4.70B,1.37,1.35,3.289B,5.341B,2017-09,1.014B,87.35B,2.681B,14.04B,2.071B,1.489B,475.00M,1.448B,687.00M,16.36B,142.26B,3.382B,40.42B,7.527B,125.88B,135.40B,115.84B,1.682B,0,4.043B,,,,,,,180.00M,173.00M,104.00M,149.00M,169.00M
FITB,2017-06,163.00M,35.58B,4.352B,0.46,0.45,3.29B,5.257B,2017-06,367.00M,86.83B,2.76B,13.46B,1.617B,494.00M,127.00M,1.447B,677.00M,16.42B,141.07B,3.382B,39.74B,6.742B,124.62B,134.10B,115.72B,638.00M,0,4.157B,,,,,,,1.517B,1.546B,1.289B,1.563B,1.52B
FITB,2017-03,68.00M,34.77B,950.00M,0.38,0.38,3.206B,5.343B,2017-03,305.00M,86.91B,2.754B,13.66B,1.655B,396.00M,91.00M,1.401B,707.00M,16.43B,140.20B,3.382B,38.86B,3.444B,123.74B,133.30B,118.20B,667.00M,0,4.092B,,,,,,,635.00M,647.00M,994.00M,521.00M,521.00M
FITB,2016-12,59.00M,35.72B,2.50B,0.49,0.49,3.169B,5.37B,2016-12,377.00M,87.62B,2.803B,14.39B,1.80B,652.00M,275.00M,1.413B,663.00M,16.20B,142.18B,3.382B,43.51B,5.093B,125.94B,129.62B,118.58B,792.00M,0,6.648B,,,,,,,13.77B,13.56B,13.20B,13.03B,12.57B
FITB,2016-09,755.00M,35.24B,1.95B,0.66,0.65,3.045B,5.366B,2016-09,516.00M,88.94B,2.855B,16.89B,2.178B,694.00M,178.00M,1.438B,680.00M,16.78B,143.28B,3.382B,39.24B,5.086B,126.48B,136.51B,118.87B,621.00M,0,3.995B,,,,,,,117.54B,116.75B,116.97B,114.90B,110.80B
FITB,2016-06,889.00M,35.03B,2.45B,0.4,0.39,3.047B,5.384B,2016-06,328.00M,89.51B,2.90B,16.23B,2.187B,427.00M,103.00M,1.427B,679.00M,16.73B,143.62B,3.382B,39.00B,5.496B,126.87B,136.68B,118.88B,649.00M,0,3.978B,,,,,,,2.449B,2.449B,2.449B,2.449B,2.449B
FITB,2016-03,684.00M,33.36B,2.00B,0.4,0.4,3.112B,5.387B,2016-03,326.00M,89.16B,2.923B,15.30B,2.011B,435.00M,109.00M,1.479B,691.00M,16.32B,142.43B,3.382B,37.32B,4.93B,126.08B,135.57B,118.52B,658.00M,0,3.956B,,,,,,,4.357B,3.863B,26.28B,4.376B,3.75B
FITB,2015-12,197.00M,33.65B,0,0.8,0.79,3.213B,5.412B,2015-12,656.00M,88.36B,2.946B,15.81B,2.164B,948.00M,292.00M,1.521B,643.00M,15.84B,141.05B,3.382B,41.44B,3.24B,125.18B,128.31B,119.60B,942.00M,0,5.836B,,,,,,,6.745B,4.632B,5.429B,6.628B,4.172B
FITB,2015-09,522.00M,32.65B,3.452B,0.46,0.45,3.186B,5.396B,2015-09,381.00M,89.41B,2.944B,15.53B,1.99B,515.00M,134.00M,1.546B,646.00M,15.83B,141.92B,3.382B,36.54B,6.388B,126.06B,134.96B,117.06B,608.00M,0,3.898B,,,,,,,103.72B,103.14B,103.72B,101.85B,98.20B
FITB,2015-06,291.00M,33.62B,2.85B,0.36,0.36,3.283B,5.366B,2015-06,315.00M,88.52B,2.968B,13.52B,1.858B,417.00M,108.00M,1.482B,639.00M,15.60B,141.66B,3.382B,37.50B,5.599B,126.02B,134.39B,117.06B,503.00M,0,3.881B,,,,,,,115.15B,114.51B,103.24B,112.56B,108.42B
FITB,2015-03,588.00M,34.00B,1.413B,0.42,0.42,3.219B,5.534B,2015-03,361.00M,86.88B,3.128B,14.06B,1.979B,485.00M,124.00M,1.431B,636.00M,15.86B,140.47B,3.382B,37.79B,3.592B,124.57B,133.52B,117.47B,596.00M,0,3.786B,,,,,,,93.96B,95.44B,95.02B,91.85B,90.75B
