Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
HBI,2014-09,-235.51M,215.83M,903.01M,382.77M,0.3,0.29,1.437B,673.30M,497.72M,2014-09,1.666B,118.94M,-23.53M,-23.53M,673.30M,1.909B,153.89M,1.293B,129.57M,10.62M,1.401B,343.82M,1.465B,5.543B,0.999M,3.154B,1.676B,4.079B,2.389B,2.403B,343.82M,673.94M,874.92M
HBI,2014-06,-233.83M,143.62M,837.70M,265.80M,0.38,0.38,994.39M,571.74M,504.35M,2014-06,1.402B,154.58M,-21.12M,-21.12M,571.74M,1.523B,207.12M,889.54M,185.34M,30.77M,1.342B,297.23M,1.378B,4.415B,0.996M,2.588B,1.155B,3.037B,1.827B,1.881B,297.23M,563.76M,779.52M
HBI,2014-03,-237.80M,151.14M,702.59M,203.37M,0.1,0.1,999.20M,572.58M,356.78M,2014-03,1.402B,41.56M,-21.82M,-21.82M,572.58M,1.62B,71.79M,826.00M,49.54M,7.975M,1.059B,284.99M,1.246B,4.274B,0.996M,2.441B,1.029B,3.027B,1.833B,1.998B,284.99M,492.36M,611.60M
HBI,2013-12,-237.02M,115.86M,858.56M,217.98M,0.08,0.08,1.004B,1.403B,427.23M,2013-12,1.283B,32.27M,-26.04M,-26.04M,579.88M,1.467B,71.70M,781.30M,30.17M,-2.097M,1.286B,355.53M,1.231B,4.090B,0.995M,2.244B,999.28M,2.859B,1.846B,1.860B,355.53M,466.27M,578.56M
HBI,2013-09,-318.46M,132.32M,775.67M,171.82M,0.3125,0.3075,544.82M,566.78M,421.68M,2013-09,1.314B,125.26M,-25.00M,-25.00M,566.78M,1.25B,176.90M,741.86M,151.10M,25.84M,1.197B,244.78M,1.152B,3.835B,0.991M,2.257B,913.68M,2.683B,1.578B,1.769B,244.78M,440.36M,585.71M
HBI,2013-06,-319.52M,82.30M,763.72M,200.78M,0.305,0.2975,547.48M,576.58M,435.48M,2013-06,1.337B,121.59M,-25.22M,-25.22M,576.58M,1.374B,181.45M,693.22M,155.48M,33.89M,1.199B,254.04M,1.044B,3.850B,0.99M,2.260B,894.01M,2.805B,1.590B,1.911B,254.04M,442.27M,616.62M
HBI,2013-03,-316.26M,68.54M,618.16M,189.57M,0.13,0.1275,550.41M,582.38M,327.30M,2013-03,1.347B,51.38M,-25.62M,-25.62M,582.38M,1.435B,85.14M,685.99M,59.06M,7.677M,945.46M,242.16M,948.55M,3.807B,0.985M,2.198B,875.56M,2.859B,1.610B,1.983B,242.16M,419.30M,550.65M
HBI,2012-12,-317.61M,42.80M,755.18M,200.05M,0.2025,0.2,553.41M,1.413B,398.07M,2012-12,1.253B,80.39M,-30.35M,-30.35M,596.16M,1.318B,153.01M,675.62M,87.17M,8.958M,1.153B,245.06M,886.87M,3.632B,0.983M,2.028B,875.67M,2.745B,1.604B,1.869B,245.06M,403.64M,506.28M
HBI,2012-09,-332.25M,182.27M,818.75M,195.96M,0.2775,0.2725,556.39M,1.412B,399.93M,2012-09,1.341B,109.89M,-32.90M,-32.90M,606.01M,1.50B,156.51M,688.94M,120.24M,9.055M,1.219B,243.42M,777.07M,3.940B,0.979M,2.319B,1.079B,3.162B,1.621B,2.084B,243.42M,429.17M,585.49M
HBI,2012-06,-334.73M,29.66M,813.72M,194.78M,0.0025,0.0025,558.12M,0,366.93M,2012-06,1.436B,1.231M,-36.61M,-36.61M,612.52M,1.661B,119.95M,598.55M,82.53M,15.21M,1.181B,246.98M,657.76M,3.886B,0.976M,2.256B,963.44M,3.228B,1.631B,2.265B,246.98M,394.98M,585.98M
HBI,2012-03,-330.73M,34.60M,718.02M,205.02M,-0.0675,-0.0675,600.61M,0,255.11M,2012-03,1.619B,-26.83M,-37.00M,-37.00M,623.87M,1.936B,10.64M,670.52M,-27.00M,-2.724M,973.13M,244.47M,657.74M,4.076B,0.976M,2.388B,875.53M,3.418B,1.689B,2.543B,244.47M,401.48M,524.74M
HBI,2011-12,-333.25M,35.34M,772.78M,230.01M,0.105,0.1025,603.07M,0,328.17M,2011-12,1.608B,40.96M,-37.72M,-37.72M,635.41M,1.808B,74.27M,703.71M,32.47M,-6.30M,1.101B,253.90M,681.06M,4.035B,0.975M,2.331B,933.72M,3.354B,1.704B,2.420B,253.90M,451.52M,470.71M
HBI,2011-09,-214.43M,48.00M,771.25M,209.11M,0.2325,0.2275,605.83M,0,414.05M,2011-09,1.726B,90.83M,-38.26M,-38.26M,636.41M,2.006B,144.94M,828.47M,105.81M,20.74M,1.185B,269.11M,750.24M,4.219B,0.972M,2.575B,1.038B,3.468B,1.644B,2.431B,269.11M,505.88M,589.44M
HBI,2011-06,-203.87M,44.66M,757.96M,242.07M,0.2225,0.2175,609.43M,0,410.02M,2011-06,1.640B,86.78M,-39.13M,-39.13M,635.61M,1.998B,135.82M,830.98M,95.88M,18.12M,1.168B,274.20M,657.80M,4.155B,0.967M,2.502B,1.073B,3.497B,1.653B,2.424B,274.20M,563.64M,612.18M
HBI,2011-03,-208.22M,64.80M,681.88M,171.77M,0.1225,0.1225,606.74M,0,354.52M,2011-03,1.542B,48.11M,-41.10M,-41.10M,633.13M,2.096B,101.84M,771.35M,60.14M,12.03M,1.036B,252.68M,620.12M,4.077B,0.965M,2.434B,943.12M,3.457B,1.642B,2.514B,252.68M,471.43M,547.12M
