Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
KMB,2014-03,0,1.165B,3.222B,927.00M,1.42,1.41,3.442B,17.72B,1.665B,2014-03,2.285B,538.00M,-68.00M,-68.00M,7.841B,894.00M,5.385B,711.00M,4.826B,643.00M,196.00M,0,4.887B,896.00M,4.668B,19.00B,0,6.648B,6.259B,14.08B,12.35B,7.818B,954.00M,2.871B,2.618B
KMB,2013-12,0,1.054B,2.532B,375.00M,1.41,1.4,3.424B,17.68B,1.182B,2013-12,2.233B,539.00M,-67.00M,-67.00M,7.948B,817.00M,5.386B,517.00M,4.923B,450.00M,143.00M,0,3.714B,670.00M,4.856B,18.92B,0,6.55B,5.848B,13.78B,12.37B,7.931B,665.00M,3.243B,2.545B
KMB,2013-09,-2.059B,1.179B,3.457B,1.087B,1.43,1.42,3.48B,17.56B,1.805B,2013-09,2.245B,546.00M,-67.00M,-67.00M,7.871B,488.00M,5.388B,807.00M,4.693B,740.00M,224.00M,0,5.262B,990.00M,4.667B,19.36B,536.00M,6.894B,5.78B,14.39B,12.47B,8.608B,998.00M,2.67B,2.898B
KMB,2013-06,-1.866B,1.16B,3.467B,1.302B,1.37,1.36,3.424B,17.48B,1.80B,2013-06,2.327B,526.00M,-66.00M,-66.00M,7.834B,493.00M,5.387B,796.00M,4.868B,730.00M,238.00M,0,5.267B,1.012B,4.373B,19.51B,536.00M,6.731B,6.17B,14.85B,12.78B,8.684B,1.004B,2.781B,2.49B
KMB,2013-03,0,1.109B,3.496B,1.908B,1.37,1.36,3.562B,17.62B,1.822B,2013-03,2.364B,531.00M,-62.00M,-62.00M,7.979B,526.00M,4.571B,783.00M,4.943B,721.00M,223.00M,0,5.318B,1.027B,4.70B,19.75B,0,6.714B,6.851B,14.76B,13.03B,7.91B,1.039B,2.783B,2.717B
KMB,2012-12,0,1.106B,2.807B,1.115B,0.6858,0.68,3.583B,17.66B,904.00M,2012-12,2.348B,267.00M,-68.00M,-68.00M,8.095B,0,5.07B,140.00M,4.976B,72.00M,39.00M,0,3.711B,754.00M,4.985B,19.87B,0,6.589B,6.091B,14.59B,13.28B,8.495B,764.00M,3.068B,2.642B
KMB,2012-09,0,1.249B,3.48B,1.274B,1.31,1.3,3.578B,18.08B,1.766B,2012-09,2.373B,517.00M,-66.00M,-66.00M,8.099B,0,5.13B,783.00M,4.46B,717.00M,223.00M,0,5.246B,988.00M,5.535B,20.04B,0,6.926B,6.025B,14.20B,13.11B,8.173B,983.00M,2.343B,2.734B
KMB,2012-06,0,994.00M,3.514B,572.00M,1.27,1.26,3.563B,17.79B,1.755B,2012-06,2.368B,498.00M,-66.00M,-66.00M,7.977B,0,5.695B,754.00M,4.269B,688.00M,213.00M,0,5.269B,1.019B,5.437B,19.60B,0,6.592B,5.133B,13.87B,13.00B,8.739B,1.001B,2.371B,2.681B
KMB,2012-03,0,785.00M,3.537B,691.00M,1.19,1.18,3.633B,18.51B,1.704B,2012-03,2.354B,468.00M,-67.00M,-67.00M,8.118B,0,5.707B,700.00M,4.267B,633.00M,185.00M,0,5.241B,996.00M,5.353B,19.56B,0,6.317B,5.249B,13.92B,13.24B,8.67B,1.004B,2.382B,2.672B
KMB,2011-12,0,764.00M,3.632B,706.00M,1.02,1.01,3.605B,18.24B,1.544B,2011-12,2.356B,401.00M,-67.00M,-67.00M,8.049B,0,5.426B,611.00M,4.691B,544.00M,161.00M,0,5.176B,957.00M,5.249B,19.37B,0,6.283B,5.397B,13.84B,13.09B,8.447B,933.00M,2.931B,2.602B
KMB,2011-09,0,1.232B,3.794B,758.00M,1.1,1.09,3.321B,18.19B,1.588B,2011-09,2.421B,432.00M,-65.00M,-65.00M,8.047B,0,5.422B,662.00M,4.24B,597.00M,174.00M,0,5.382B,943.00M,5.179B,19.63B,0,6.539B,5.816B,14.17B,13.09B,8.351B,926.00M,2.262B,2.434B
KMB,2011-06,0,908.00M,3.702B,1.008B,1.04,1.03,3.486B,18.58B,1.557B,2011-06,2.521B,408.00M,-67.00M,-67.00M,8.414B,0,5.424B,625.00M,4.342B,558.00M,173.00M,0,5.259B,940.00M,5.556B,20.48B,0,6.722B,6.188B,14.62B,13.76B,8.435B,932.00M,2.358B,2.757B
