Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DTE,2018-06,-121.00M,63.00M,2.46B,479.00M,0,1.29,1.29,3.155B,32.12B,699.00M,2018-06,675.00M,234.00M,-132.00M,-132.00M,21.24B,1.936B,12.70B,336.00M,1.493B,255.00M,19.00M,3.159B,9.844B,34.33B,4.205B,2.895B,2.499B,24.01B,31.44B,21.51B,363.00M,1.38B,1.837B
DTE,2018-03,-123.00M,164.00M,2.86B,741.00M,0,2.01,2,3.16B,31.66B,893.00M,2018-03,597.00M,361.00M,-132.00M,-132.00M,20.87B,1.936B,12.18B,508.00M,1.212B,419.00M,68.00M,3.753B,9.888B,33.84B,4.163B,2.957B,2.541B,23.48B,30.88B,20.94B,385.00M,1.08B,1.825B
DTE,2017-12,-120.00M,66.00M,2.499B,730.00M,0,1.6,1.6,3.16B,31.42B,772.00M,2017-12,779.00M,287.00M,-129.00M,-129.00M,20.72B,1.888B,12.18B,410.00M,1.44B,214.00M,-66.00M,3.271B,9.512B,33.77B,3.989B,3.081B,2.812B,23.78B,30.69B,20.96B,362.00M,1.329B,1.856B
DTE,2017-09,-120.00M,63.00M,2.456B,768.00M,0,1.51,1.51,3.176B,30.92B,789.00M,2017-09,816.00M,270.00M,-142.00M,-142.00M,20.31B,4.396B,11.80B,445.00M,1.273B,337.00M,74.00M,3.245B,9.373B,33.07B,3.978B,2.815B,2.598B,23.22B,30.26B,20.62B,344.00M,1.142B,1.561B
DTE,2017-06,-125.00M,62.00M,2.186B,832.00M,0,0.99,0.99,3.181B,30.60B,669.00M,2017-06,743.00M,177.00M,-131.00M,-131.00M,20.06B,4.293B,11.36B,328.00M,1.389B,232.00M,57.00M,2.855B,9.088B,32.58B,3.968B,2.631B,2.747B,23.01B,29.95B,20.26B,341.00M,1.284B,1.543B
DTE,2017-03,-129.00M,82.00M,2.293B,72.00M,0,2.23,2.23,3.129B,30.29B,943.00M,2017-03,640.00M,400.00M,-122.00M,-122.00M,19.87B,4.27B,11.76B,592.00M,1.189B,504.00M,110.00M,3.236B,9.194B,32.15B,3.958B,2.567B,1.834B,22.46B,29.58B,20.63B,351.00M,1.058B,1.509B
DTE,2016-12,-133.00M,92.00M,2.162B,513.00M,0,0.73,0.73,3.128B,30.03B,712.00M,2016-12,772.00M,131.00M,-128.00M,-128.00M,19.73B,4.162B,11.27B,356.00M,1.323B,152.00M,28.00M,2.874B,9.011B,32.04B,4.03B,2.762B,2.437B,22.54B,29.28B,20.10B,356.00M,1.227B,1.593B
DTE,2016-09,-138.00M,66.00M,2.099B,425.00M,0,1.88,1.88,2.109B,28.75B,829.00M,2016-09,793.00M,338.00M,-111.00M,-111.00M,18.55B,4.14B,9.478B,512.00M,1.066B,435.00M,110.00M,2.928B,9.13B,29.46B,4.137B,2.595B,1.969B,20.31B,26.87B,18.34B,317.00M,951.00M,1.337B
DTE,2016-06,-142.00M,32.00M,1.673B,340.00M,0,0.84,0.84,2.115B,28.37B,589.00M,2016-06,717.00M,152.00M,-111.00M,-111.00M,18.30B,4.026B,9.343B,260.00M,1.105B,195.00M,50.00M,2.262B,8.778B,28.77B,4.129B,2.258B,1.883B,19.97B,26.51B,18.09B,329.00M,1.014B,1.262B
DTE,2016-03,-140.00M,35.00M,1.857B,827.00M,0,1.38,1.37,2.108B,28.27B,709.00M,2016-03,660.00M,247.00M,-102.00M,-102.00M,18.13B,4.006B,8.758B,386.00M,899.00M,323.00M,83.00M,2.566B,8.887B,28.56B,4.118B,2.362B,2.209B,19.65B,26.20B,17.44B,323.00M,780.00M,1.265B
DTE,2015-12,-145.00M,37.00M,1.947B,972.00M,0,0.44,0.44,2.107B,28.12B,540.00M,2015-12,803.00M,80.00M,-106.00M,-106.00M,18.03B,3.923B,8.76B,252.00M,1.029B,57.00M,-20.00M,2.487B,8.772B,28.66B,4.123B,2.575B,2.528B,19.87B,26.09B,17.34B,288.00M,940.00M,1.348B
