Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
FRT,2018-06,0.412M,56.12M,68.21M,0,0.84,0.84,0,156.69M,2018-06,63.60M,-27.61M,-27.61M,0,181.60M,3.320B,89.90M,271.61M,61.56M,0,224.90M,8.413M,2.265B,6.303B,160.73M,505.15M,271.61M,3.915B,5.798B,3.644B,66.79M,271.61M,180.29M
FRT,2018-03,0.489M,64.41M,73.22M,0,0.81,0.81,0,152.18M,2018-03,61.25M,-26.00M,-26.00M,0,169.46M,3.335B,86.14M,274.10M,59.62M,0,225.40M,7.929M,2.252B,6.294B,160.73M,470.26M,274.10M,3.921B,5.823B,3.646B,66.04M,274.10M,173.58M
FRT,2017-12,0.022M,15.19M,74.14M,0,0.67,0.67,0,149.82M,2017-12,50.66M,-25.95M,-25.95M,0,169.39M,3.285B,83.16M,288.93M,122.73M,0,223.96M,10.27M,2.267B,6.276B,160.73M,493.30M,288.93M,3.884B,5.782B,3.595B,66.66M,288.93M,240.31M
FRT,2017-09,-0.742M,22.85M,68.74M,0,1.47,1.47,0,149.21M,2017-09,106.78M,-26.21M,-26.21M,0,175.46M,3.263B,84.50M,296.60M,58.11M,0,217.95M,9.103M,2.209B,6.221B,160.72M,497.45M,296.60M,3.887B,5.724B,3.591B,64.71M,296.60M,231.31M
FRT,2017-06,-1.10M,96.33M,63.65M,0,1.05,1.05,0,144.40M,2017-06,76.29M,-23.84M,-23.84M,0,143.00M,3.143B,83.09M,278.79M,59.14M,0,208.05M,8.643M,1.992B,5.804B,10.72M,506.43M,278.79M,3.717B,5.297B,3.438B,61.31M,278.79M,199.42M
FRT,2017-03,-1.493M,20.11M,66.20M,0,0.78,0.78,0,141.19M,2017-03,56.19M,-23.65M,-23.65M,0,144.98M,3.013B,81.54M,280.05M,57.89M,0,207.39M,8.267M,1.982B,5.656B,10.72M,392.54M,280.05M,3.579B,5.264B,3.299B,59.65M,280.05M,145.68M
FRT,2016-12,-2.577M,23.37M,64.06M,0,0.81,0.8,0,140.05M,2016-12,58.04M,-23.76M,-23.76M,0,115.82M,2.798B,83.48M,289.48M,59.72M,0,204.11M,8.121M,1.977B,5.423B,10.72M,378.58M,289.48M,3.347B,5.045B,3.058B,56.57M,289.48M,146.65M
FRT,2016-09,-5.394M,101.28M,63.56M,0,0.82,0.82,0,137.60M,2016-09,58.98M,-24.21M,-24.21M,0,119.23M,2.810B,80.46M,271.47M,56.25M,0,201.16M,8.232M,1.973B,5.397B,10.72M,470.39M,271.47M,3.326B,4.927B,3.055B,57.14M,271.47M,150.04M
FRT,2016-06,-7.293M,18.62M,60.38M,0,0.79,0.78,0,137.61M,2016-06,55.94M,-23.02M,-23.02M,0,118.65M,2.665B,80.14M,255.78M,57.11M,0,197.98M,9.036M,1.924B,5.188B,10.71M,371.82M,255.78M,3.165B,4.817B,2.910B,57.47M,255.78M,156.05M
FRT,2016-03,-6.885M,19.72M,65.61M,0,1.1,1.1,0,132.73M,2016-03,76.96M,-23.63M,-23.63M,0,122.12M,2.659B,76.92M,248.84M,53.34M,0,198.34M,8.01M,1.855B,5.125B,10.71M,373.24M,248.84M,3.157B,4.752B,2.908B,55.81M,248.84M,155.37M
FRT,2015-12,-4.11M,21.05M,62.05M,0,0.98,0.98,0,130.46M,2015-12,67.95M,-23.17M,-23.17M,0,121.79M,2.627B,75.91M,228.31M,53.18M,0,192.51M,8.119M,1.664B,4.897B,10.69M,364.65M,228.31M,3.115B,4.532B,2.886B,54.54M,228.31M,152.02M
FRT,2015-09,-7.13M,12.86M,56.24M,0,0.75,0.75,0,129.01M,2015-09,52.45M,-21.73M,-21.73M,0,115.30M,2.533B,75.92M,236.93M,54.55M,0,185.25M,9.374M,1.666B,4.784B,10.69M,354.88M,236.93M,3.006B,4.429B,2.769B,53.09M,236.93M,153.52M
FRT,2015-06,-4.909M,22.18M,53.29M,0,0.63,0.63,0,128.17M,2015-06,43.63M,-23.37M,-23.37M,0,118.57M,2.540B,76.20M,213.84M,34.16M,0,181.46M,9.299M,1.636B,4.734B,10.69M,344.76M,213.84M,2.992B,4.389B,2.778B,51.97M,213.84M,156.90M
FRT,2015-03,-5.976M,171.44M,61.83M,0,0.67,0.67,0,122.96M,2015-03,46.19M,-24.14M,-24.14M,0,108.50M,2.637B,72.12M,224.45M,48.20M,0,184.79M,8.853M,1.592B,4.781B,10.68M,490.25M,224.45M,3.089B,4.290B,2.864B,50.84M,224.45M,151.89M
FRT,2014-12,-3.515M,47.95M,53.24M,0,0.51,0.5,0,123.14M,2014-12,35.16M,-24.12M,-24.12M,0,105.16M,2.410B,71.61M,220.42M,37.28M,0,176.38M,8.114M,1.604B,4.547B,10.68M,352.40M,220.42M,2.854B,4.194B,2.634B,51.52M,220.42M,144.28M
FRT,2014-09,-1.76M,23.92M,52.28M,0,0.69,0.69,0,118.66M,2014-09,47.08M,-23.42M,-23.42M,0,107.86M,2.365B,67.62M,234.14M,44.65M,0,170.94M,8.374M,1.573B,4.479B,10.68M,328.28M,234.14M,2.818B,4.151B,2.584B,51.03M,234.14M,155.94M
FRT,2014-06,-4.06M,41.31M,50.57M,0,0.64,0.64,0,117.38M,2014-06,43.54M,-23.20M,-23.20M,0,109.24M,2.358B,68.36M,235.75M,45.42M,0,167.95M,8.124M,1.530B,4.431B,10.68M,322.55M,235.75M,2.813B,4.109B,2.578B,49.02M,235.75M,152.67M
FRT,2014-03,-1.96M,75.70M,55.83M,0,0.58,0.57,0,115.00M,2014-03,38.75M,-23.11M,-23.11M,0,105.28M,2.392B,63.44M,223.79M,40.54M,0,170.83M,7.704M,1.486B,4.406B,10.67M,354.68M,223.79M,2.831B,4.051B,2.608B,51.55M,223.79M,148.06M
FRT,2013-12,-1.417M,88.93M,50.10M,0,0.43,0.42,0,113.75M,2013-12,28.46M,-24.40M,-24.40M,0,100.28M,2.322B,63.47M,221.43M,29.60M,0,163.85M,9.068M,1.448B,4.219B,10.66M,373.98M,221.43M,2.748B,3.845B,2.527B,50.28M,221.43M,139.99M
FRT,2013-09,-3.539M,127.83M,47.44M,0,0.94,0.94,0,111.58M,2013-09,62.10M,-25.69M,-25.69M,0,103.27M,2.306B,64.70M,225.08M,39.39M,0,159.03M,7.543M,1.408B,4.159B,10.66M,403.14M,225.08M,2.728B,3.756B,2.503B,46.88M,225.08M,142.48M
FRT,2013-06,-2.368M,108.37M,45.84M,0,0.57,0.57,4.541B,111.55M,2013-06,37.54M,-27.08M,-27.08M,3.346B,97.30M,2.310B,63.49M,199.99M,33.38M,0,157.39M,8.302M,1.361B,4.085B,10.65M,373.77M,199.99M,2.701B,3.711B,2.501B,48.06M,199.99M,139.60M
FRT,2013-03,-10.77M,31.27M,47.07M,0,0.53,0.53,4.476B,110.08M,2013-03,34.59M,-27.38M,-27.38M,3.307B,94.50M,2.196B,62.50M,187.76M,35.44M,0,157.15M,7.057M,1.310B,3.906B,10.65M,295.31M,187.76M,2.572B,3.611B,2.385B,47.57M,187.76M,132.85M
FRT,2012-12,-12.39M,36.99M,46.78M,0,0.58,0.58,4.452B,109.00M,2012-12,37.69M,-27.48M,-27.48M,3.302B,103.38M,2.209B,65.49M,181.57M,38.54M,0,155.78M,8.264M,1.287B,3.899B,10.64M,299.16M,181.57M,2.588B,3.599B,2.406B,43.51M,181.57M,129.51M
FRT,2012-09,-13.23M,147.68M,46.88M,0,0.6,0.6,4.025B,110.35M,2012-09,38.64M,-27.96M,-27.96M,2.922B,50.35M,2.178B,66.75M,181.80M,39.28M,0,157.23M,8.751M,1.288B,3.804B,10.64M,285.49M,181.80M,2.411B,3.519B,2.229B,43.60M,181.80M,137.81M
FRT,2012-06,-10.38M,82.77M,43.44M,0,0.51,0.51,3.993B,104.12M,2012-06,32.60M,-28.62M,-28.62M,2.908B,54.17M,2.110B,61.78M,168.12M,33.60M,0,147.56M,7.139M,1.242B,3.681B,10.64M,215.26M,168.12M,2.333B,3.466B,2.164B,42.34M,168.12M,132.49M
FRT,2012-03,-2.582M,69.18M,42.17M,0,0.67,0.67,3.988B,104.12M,2012-03,42.99M,-28.59M,-28.59M,2.928B,68.76M,2.115B,60.55M,149.27M,32.26M,0,146.29M,7.004M,1.242B,3.669B,10.64M,201.13M,149.27M,2.320B,3.468B,2.171B,43.58M,149.27M,131.95M
FRT,2011-12,-3.94M,67.81M,88.64M,0,0.49,0.48,0,50.87M,2011-12,30.92M,-25.67M,-25.67M,0,0,2.110B,56.00M,161.11M,31.96M,0,139.51M,9.342M,1.216B,3.666B,10.63M,321.19M,161.11M,2.426B,3.345B,2.264B,-5.126M,161.11M,131.89M
FRT,2011-09,0,22.07M,26.60M,0,0.74,0.74,0,111.07M,2011-09,47.05M,-23.66M,-23.66M,0,0,1.731B,56.76M,145.86M,0,0,137.66M,7.197M,1.292B,3.255B,10.63M,156.65M,145.86M,1.932B,3.098B,1.786B,54.31M,145.86M,134.58M
FRT,2011-06,0,19.85M,25.13M,0,0.55,0.55,0,111.15M,2011-06,34.76M,-23.88M,-23.88M,0,0,1.760B,57.33M,140.87M,0,0,136.28M,6.395M,1.233B,3.221B,10.62M,150.38M,140.87M,1.957B,3.070B,1.816B,53.81M,140.87M,130.54M
FRT,2011-03,0,10.00M,29.40M,0,0.5,0.5,0,108.25M,2011-03,31.19M,-25.03M,-25.03M,0,0,1.804B,56.37M,134.32M,0,0,137.65M,6.051M,1.190B,3.217B,10.62M,126.33M,134.32M,1.996B,3.091B,1.861B,51.87M,134.32M,116.33M
