Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
K,2013-06,-1.023B,262.00M,2.237B,1.429B,0.96,0.96,7.366B,8.965B,1.477B,2013-06,1.274B,352.00M,-61.00M,-61.00M,3.719B,569.00M,6.337B,570.00M,2.096B,504.00M,150.00M,3.714B,907.00M,2.558B,15.08B,105.00M,3.407B,3.969B,12.46B,11.67B,8.488B,907.00M,1.395B,1.512B
K,2013-03,-947.00M,252.00M,2.468B,839.00M,0.86,0.85,7.404B,8.972B,1.393B,2013-03,1.284B,311.00M,-60.00M,-60.00M,3.745B,563.00M,6.717B,503.00M,2.194B,436.00M,124.00M,3.861B,890.00M,2.781B,15.22B,105.00M,3.462B,3.568B,12.38B,11.76B,8.814B,890.00M,1.534B,1.588B
K,2012-12,-946.00M,281.00M,2.387B,1.82B,-0.09,-0.09,7.397B,8.991B,1.176B,2012-12,1.365B,-32.00M,-66.00M,-66.00M,3.782B,523.00M,6.082B,3.00M,2.231B,-69.00M,-37.00M,3.563B,1.173B,2.404B,15.17B,105.00M,3.38B,4.523B,12.70B,11.79B,8.181B,1.173B,1.448B,1.454B
K,2012-09,-2.323B,305.00M,2.254B,1.872B,0.89,0.89,7.28B,8.731B,1.466B,2012-09,1.279B,318.00M,-73.00M,-73.00M,3.599B,643.00M,6.065B,513.00M,2.137B,450.00M,131.00M,3.72B,953.00M,2.436B,14.85B,105.00M,3.306B,4.514B,12.42B,11.55B,7.902B,953.00M,1.354B,1.414B
K,2012-06,-2.438B,230.00M,2.035B,2.257B,0.91,0.9,7.237B,8.537B,1.439B,2012-06,1.235B,324.00M,-89.00M,-89.00M,3.561B,644.00M,6.03B,519.00M,1.932B,437.00M,113.00M,3.474B,920.00M,2.151B,14.64B,105.00M,3.211B,4.606B,12.49B,11.43B,7.881B,920.00M,1.231B,1.42B
K,2012-03,-2.348B,404.00M,2.087B,1.584B,0.98,0.98,5.082B,8.262B,1.353B,2012-03,1.144B,351.00M,-33.00M,-33.00M,3.295B,648.00M,4.254B,527.00M,1.999B,507.00M,156.00M,3.44B,826.00M,2.062B,12.13B,105.00M,3.192B,4.011B,10.07B,8.942B,6.059B,826.00M,1.366B,1.304B
K,2011-12,-1.006B,460.00M,2.077B,995.00M,0.65,0.64,5.077B,8.128B,938.00M,2011-12,1.174B,-133.00M,-55.00M,-55.00M,3.281B,643.00M,5.037B,-152.00M,1.907B,-207.00M,-74.00M,3.015B,1.09B,1.796B,11.94B,105.00M,3.069B,3.313B,10.14B,8.874B,6.832B,1.09B,1.255B,1.188B
K,2011-09,-1.926B,582.00M,1.962B,737.00M,0.81,0.8,5.077B,8.051B,1.35B,2011-09,1.013B,290.00M,-58.00M,-58.00M,3.193B,790.00M,5.30B,464.00M,1.664B,397.00M,107.00M,3.312B,886.00M,2.283B,12.26B,105.00M,3.178B,3.101B,9.978B,9.085B,6.877B,886.00M,1.218B,1.302B
K,2011-06,-1.765B,457.00M,1.943B,734.00M,0.94,0.94,5.087B,8.154B,1.443B,2011-06,1.017B,343.00M,-53.00M,-53.00M,3.246B,768.00M,5.308B,543.00M,1.675B,489.00M,147.00M,3.386B,900.00M,2.474B,12.36B,105.00M,3.136B,3.026B,9.888B,9.22B,6.862B,900.00M,1.239B,1.364B
K,2011-03,-1.789B,404.00M,2.064B,1.078B,1,1,5.086B,7.999B,1.421B,2011-03,975.00M,366.00M,-67.00M,-67.00M,3.183B,0,4.905B,572.00M,1.753B,505.00M,140.00M,3.485B,849.00M,2.309B,12.19B,105.00M,3.051B,3.418B,9.884B,9.137B,6.466B,849.00M,1.291B,1.367B
