Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DLR,2014-09,-20.47M,36.53M,156.66M,0,0.81,0.8,503.72M,0,255.53M,2014-09,127.77M,-47.79M,-47.79M,0,0,4.740B,93.55M,648.31M,131.34M,1.178M,412.19M,22.85M,4.062B,9.722B,1.049B,190.98M,648.31M,5.618B,9.531B,4.970B,161.98M,648.31M,140.46M
DLR,2014-06,14.96M,80.93M,147.39M,0,0.31,0.31,517.80M,0,254.06M,2014-06,60.34M,-49.23M,-49.23M,0,0,4.859B,93.97M,636.78M,62.35M,1.021M,401.45M,22.22M,4.092B,9.910B,1.050B,282.20M,636.78M,5.776B,9.628B,5.139B,160.08M,636.78M,161.50M
DLR,2014-03,13.95M,70.24M,140.02M,0,0.27,0.26,529.46M,0,250.57M,2014-03,45.91M,-45.65M,-45.65M,0,0,5.007B,86.68M,614.64M,48.56M,1.838M,390.59M,33.10M,3.831B,9.805B,985.97M,319.59M,618.26M,5.930B,9.486B,5.311B,163.88M,614.64M,181.43M
DLR,2013-12,10.69M,56.81M,138.28M,0,0.33,0.33,541.72M,0,242.65M,2013-12,54.70M,-45.76M,-45.76M,0,0,4.962B,97.41M,765.20M,55.19M,-0.473M,380.93M,17.69M,3.611B,9.627B,696.11M,219.42M,765.20M,5.980B,9.407B,5.215B,145.24M,765.20M,122.25M
DLR,2013-09,-10.33M,55.12M,155.36M,0,1.08,1.06,538.89M,0,224.10M,2013-09,150.60M,-47.87M,-47.87M,0,0,4.780B,84.48M,652.72M,153.83M,0.352M,379.46M,18.42M,3.643B,9.426B,696.15M,300.30M,652.72M,5.745B,9.126B,5.093B,139.62M,652.72M,191.72M
DLR,2013-06,-64.01M,24.26M,126.37M,0,0.37,0.37,549.19M,8.382B,237.13M,2013-06,58.48M,-47.59M,-47.59M,7.265B,0,4.698B,101.12M,617.77M,59.83M,0.21M,363.50M,20.13M,3.547B,9.185B,696.21M,223.08M,617.77M,5.602B,8.962B,4.984B,136.01M,617.77M,159.85M
DLR,2013-03,-72.47M,42.13M,126.91M,0,0.34,0.34,553.46M,6.786B,231.46M,2013-03,50.71M,-48.04M,-48.04M,5.753B,0,4.682B,101.65M,613.54M,52.88M,1.203M,358.37M,18.16M,3.346B,8.971B,454.64M,264.01M,613.54M,5.590B,8.707B,4.976B,129.82M,613.54M,177.95M
DLR,2012-12,-12.19M,56.28M,127.01M,0,0.36,0.36,560.26M,6.484B,222.72M,2012-12,54.57M,-40.47M,-40.47M,5.514B,0,4.279B,98.92M,739.86M,55.90M,0.01M,349.74M,16.09M,3.468B,8.819B,573.96M,268.62M,739.86M,5.321B,8.551B,4.581B,123.81M,739.86M,168.29M
DLR,2012-09,-24.52M,76.12M,125.26M,0,0.37,0.37,425.64M,5.821B,217.21M,2012-09,55.39M,-40.96M,-40.96M,4.983B,0,4.080B,97.58M,616.04M,57.63M,0.71M,342.48M,16.87M,3.479B,8.513B,577.84M,523.68M,616.04M,4.985B,7.989B,4.369B,119.64M,616.04M,146.02M
DLR,2012-06,-55.70M,47.78M,103.94M,0,0.38,0.38,272.75M,5.616B,199.76M,2012-06,52.33M,-36.46M,-36.46M,4.834B,0,3.400B,93.06M,372.97M,55.17M,1.206M,303.70M,17.37M,2.688B,6.717B,622.87M,424.36M,372.97M,3.979B,6.293B,3.606B,106.71M,372.97M,96.61M
DLR,2012-03,-37.18M,26.24M,96.08M,0,0.37,0.36,272.22M,5.437B,187.07M,2012-03,48.04M,-37.32M,-37.32M,4.717B,0,3.272B,86.59M,313.97M,49.98M,0.721M,283.15M,16.48M,2.565B,6.418B,570.73M,378.57M,313.97M,3.785B,6.039B,3.471B,100.48M,313.97M,91.13M
DLR,2011-12,-55.88M,40.63M,93.54M,0,0.34,0.34,365.08M,0,177.07M,2011-12,45.72M,-36.46M,-36.46M,0,0,2.940B,86.95M,390.59M,45.05M,-1.164M,270.61M,9.503M,2.523B,6.099B,570.84M,186.38M,390.59M,3.518B,5.912B,3.128B,90.12M,390.59M,90.58M
DLR,2011-09,-50.99M,38.73M,102.61M,0,0.32,0.31,251.58M,0,170.87M,2011-09,36.34M,-34.86M,-34.86M,0,0,2.797B,71.63M,289.56M,38.16M,0.461M,273.48M,20.19M,2.516B,5.826B,615.62M,361.20M,289.56M,3.250B,5.465B,2.960B,99.24M,289.56M,90.65M
DLR,2011-06,-16.17M,27.90M,83.54M,0,0.33,0.33,262.01M,0,184.34M,2011-06,36.70M,-38.95M,-38.95M,0,0,3.068B,76.72M,284.28M,38.46M,0.233M,267.88M,16.82M,2.071B,5.658B,358.37M,329.89M,284.28M,3.525B,5.329B,3.240B,107.62M,284.28M,83.67M
DLR,2011-03,-23.57M,44.37M,73.46M,0,0.34,0.33,278.04M,0,177.28M,2011-03,37.50M,-35.82M,-35.82M,0,0,3.055B,75.44M,265.71M,39.44M,0.428M,250.74M,14.46M,1.944B,5.537B,492.57M,327.07M,265.71M,3.498B,5.210B,3.233B,101.84M,265.71M,78.99M
