Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
COO,2018-07,-385.60M,155.60M,233.20M,45.30M,2.05,2.03,3.980B,1.902B,426.80M,2018-07,479.60M,100.80M,-22.80M,-22.80M,967.40M,37.20M,2.249B,115.60M,120.80M,90.40M,-10.40M,22.50M,660.00M,251.00M,3.226B,6.257B,5.30M,1.189B,461.40M,3.030B,5.068B,2.569B,311.20M,120.80M,375.60M
COO,2018-04,-316.00M,164.90M,226.80M,41.30M,1.24,1.23,4.063B,1.887B,404.50M,2018-04,504.80M,60.90M,-18.70M,-18.70M,966.50M,38.00M,2.442B,99.10M,153.80M,54.00M,-6.90M,20.80M,631.30M,247.90M,3.188B,6.414B,5.30M,1.272B,460.40M,3.226B,5.142B,2.766B,305.40M,153.80M,432.60M
COO,2018-01,-273.00M,91.70M,219.10M,29.60M,-2.5,-2.5,4.042B,1.758B,370.90M,2018-01,506.30M,-122.50M,-18.40M,-18.40M,952.00M,40.80M,2.373B,90.20M,107.90M,74.80M,197.30M,18.80M,590.00M,225.90M,3.156B,6.269B,5.30M,1.176B,415.70M,3.112B,5.093B,2.696B,280.70M,107.90M,413.80M
COO,2017-10,-375.30M,88.80M,208.10M,23.40M,1.816,1.78,2.860B,1.603B,353.40M,2017-10,454.10M,88.60M,-10.10M,-10.10M,910.10M,38.80M,1.149B,108.50M,142.10M,96.60M,8.00M,18.60M,561.50M,208.50M,3.176B,4.859B,5.20M,953.20M,396.10M,1.683B,3.906B,1.287B,244.90M,142.10M,316.60M
COO,2017-07,-384.80M,46.00M,199.80M,33.40M,2.12,2.09,2.822B,0,356.20M,2017-07,453.90M,103.60M,-8.30M,-8.30M,894.90M,30.90M,1.18B,112.80M,112.20M,107.70M,4.10M,17.50M,556.00M,208.70M,3.093B,4.783B,5.20M,932.10M,371.20M,1.690B,3.851B,1.318B,243.40M,112.20M,335.90M
COO,2017-04,-423.10M,121.30M,178.50M,41.30M,2.14,2.12,2.788B,0,343.90M,2017-04,437.60M,104.90M,-7.70M,-7.70M,886.50M,25.60M,1.346B,117.10M,100.40M,109.50M,4.60M,16.80M,522.40M,193.30M,2.940B,4.750B,5.20M,958.30M,343.20M,1.81B,3.792B,1.467B,226.80M,100.40M,311.20M
COO,2017-01,-461.40M,91.10M,186.70M,223.50M,1.55,1.53,2.778B,0,312.40M,2017-01,421.40M,75.80M,-7.30M,-7.30M,879.10M,26.80M,1.201B,90.70M,100.30M,80.10M,4.30M,16.30M,499.10M,188.60M,2.819B,4.657B,5.20M,883.90M,517.90M,1.837B,3.773B,1.319B,221.70M,100.30M,290.90M
COO,2016-10,-489.60M,100.80M,222.60M,226.30M,1.24,1.23,2.606B,0,296.00M,2016-10,417.70M,60.50M,-5.30M,-5.30M,877.70M,37.50M,1.107B,74.20M,107.40M,68.80M,8.30M,18.00M,518.60M,189.10M,2.696B,4.479B,5.20M,937.10M,543.20M,1.783B,3.542B,1.240B,221.80M,107.40M,291.40M
COO,2016-07,-380.03M,62.61M,198.10M,31.69M,1.81,1.79,2.683B,0,316.60M,2016-07,430.26M,87.90M,-8.00M,-8.00M,922.21M,43.77M,1.412B,102.70M,87.69M,93.40M,5.20M,15.90M,514.70M,182.40M,2.731B,4.593B,5.203M,929.64M,320.24M,1.855B,3.663B,1.535B,213.90M,87.69M,307.34M
COO,2016-04,-253.15M,44.46M,185.30M,30.19M,1.53,1.52,2.785B,0,298.50M,2016-04,433.60M,74.10M,-7.60M,-7.60M,964.36M,37.57M,1.411B,89.80M,105.76M,82.60M,8.20M,16.70M,483.80M,177.70M,2.738B,4.601B,5.174M,915.12M,322.22M,1.856B,3.800B,1.534B,208.70M,105.76M,298.82M
COO,2016-01,-305.43M,16.05M,187.60M,46.70M,1.06,1.05,2.564B,1.651B,262.00M,2016-01,430.90M,51.40M,-5.30M,-5.30M,948.17M,35.60M,1.331B,57.40M,116.43M,50.70M,-1.00M,14.80M,449.60M,173.60M,2.600B,4.402B,5.168M,844.50M,347.97M,1.795B,3.557B,1.447B,204.60M,116.43M,278.89M
