Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DE,2018-07,-4.553B,4.412B,7.443B,15.53B,1.317B,2.81,2.78,4.628B,12.44B,2.865B,2018-07,6.239B,910.00M,12.44B,524.60M,26.84B,1.19B,9.483B,1.19B,289.00M,416.00M,10.31B,913.00M,10.36B,69.39B,4.451B,46.73B,25.01B,59.02B,22.66B,34.01B,1.675B,3.412B,36.08B
DE,2018-04,-4.173B,4.681B,7.637B,15.30B,1.136B,3.73,3.67,4.881B,12.47B,3.083B,2018-04,6.889B,1.208B,12.47B,562.70M,26.28B,1.384B,9.790B,1.384B,177.10M,415.20M,10.72B,939.20M,10.41B,69.87B,4.423B,46.79B,25.09B,59.45B,23.08B,34.37B,1.699B,2.478B,35.22B
DE,2018-01,-4.289B,4.377B,4.991B,14.17B,0,-1.66,-1.66,4.772B,12.40B,1.923B,2018-01,6.614B,-535.10M,12.40B,590.20M,26.42B,517.90M,8.490B,517.90M,1.058B,356.80M,6.914B,705.00M,9.253B,66.58B,4.374B,44.01B,22.66B,57.31B,22.57B,34.65B,1.405B,0,33.01B
DE,2017-10,-4.564B,9.786B,5.824B,14.15B,0,1.59,1.57,1.251B,18.55B,1.572B,2017-10,3.904B,510.20M,11.66B,209.70M,25.89B,374.80M,6.184B,766.80M,222.30M,398.80M,7.396B,1.066B,9.557B,65.79B,4.280B,46.88B,22.57B,56.23B,18.91B,33.66B,1.197B,0,33.19B
DE,2017-07,-5.180B,6.964B,5.465B,13.80B,0,2,1.97,937.80M,11.20B,2.343B,2017-07,4.253B,641.80M,11.20B,190.00M,23.67B,889.90M,7.599B,889.90M,253.20M,336.80M,7.808B,799.10M,8.572B,62.35B,4.245B,44.25B,21.40B,53.78B,18.10B,32.38B,1.453B,0,33.04B
DE,2017-04,-5.496B,5.072B,5.655B,12.19B,0,2.53,2.5,897.20M,10.88B,2.632B,2017-04,4.115B,808.50M,10.88B,169.00M,23.25B,1.169B,7.216B,1.169B,365.80M,325.40M,8.287B,783.60M,7.685B,58.97B,4.177B,41.25B,19.40B,51.28B,17.72B,31.87B,1.463B,0,32.07B
DE,2017-01,-5.604B,4.336B,3.990B,11.66B,0,0.63,0.62,905.20M,10.86B,1.636B,2017-01,3.960B,199.00M,10.86B,168.90M,22.92B,328.00M,6.334B,328.00M,129.20M,312.10M,5.625B,667.30M,6.826B,56.30B,4.085B,38.81B,18.00B,49.46B,17.48B,31.46B,1.308B,0,30.52B
DE,2016-10,-5.626B,4.789B,4.692B,11.91B,0,0.91,0.9,919.70M,17.41B,1.548B,2016-10,3.340B,285.30M,11.07B,166.00M,23.70B,344.20M,5.191B,434.40M,140.20M,390.60M,6.239B,962.40M,6.52B,57.92B,3.912B,39.97B,19.15B,51.39B,17.95B,32.24B,1.203B,0,31.84B
DE,2016-07,-4.582B,4.790B,4.695B,13.09B,0,1.55,1.55,933.60M,10.65B,2.030B,2016-07,3.851B,488.80M,10.65B,172.30M,24.13B,705.10M,6.800B,705.10M,226.50M,338.80M,6.724B,709.00M,7.428B,58.61B,3.884B,41.11B,19.89B,51.17B,17.50B,31.28B,1.324B,0,32.47B
DE,2016-04,-4.519B,4.609B,5.722B,13.22B,0,1.57,1.56,956.00M,10.54B,2.153B,2016-04,4.061B,495.40M,10.54B,180.30M,24.65B,733.30M,6.981B,733.30M,237.80M,345.00M,7.875B,714.80M,7.164B,59.18B,3.862B,41.72B,20.20B,52.01B,17.47B,31.81B,1.420B,0,33.05B
DE,2016-01,-4.860B,3.936B,4.013B,11.70B,1.05B,0.8,0.8,778.70M,10.11B,1.511B,2016-01,4.250B,254.40M,10.11B,149.60M,24.53B,351.20M,6.196B,351.20M,95.50M,319.30M,5.524B,592.90M,6.590B,56.04B,3.843B,39.23B,17.90B,49.43B,16.81B,31.53B,1.16B,2.251B,31.04B
DE,2015-10,-4.729B,4.600B,4.993B,13.02B,1.002B,1.09,1.08,790.00M,16.06B,1.468B,2015-10,3.817B,351.20M,10.15B,160.80M,23.83B,431.50M,5.068B,456.90M,104.50M,404.00M,6.462B,902.10M,6.743B,57.95B,3.826B,41.11B,20.33B,51.19B,16.84B,30.86B,1.037B,2.743B,32.69B
