Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
SCHW,2013-09,3.00M,54.65B,0,0.22,0.22,1.521B,2.502B,2013-09,290.00M,11.73B,711.00M,1.63B,40.21B,464.00M,174.00M,1.369B,594.00M,9.72B,135.91B,882.00M,67.87B,40.21B,126.19B,89.44B,85.98B,645.00M,39.00B,13.22B
SCHW,2013-06,300.00M,55.74B,0,0.18,0.18,1.533B,2.487B,2013-06,256.00M,11.30B,681.00M,1.631B,39.49B,412.00M,156.00M,1.336B,617.00M,9.776B,133.32B,881.00M,68.66B,39.49B,123.55B,86.58B,84.06B,668.00M,38.04B,12.92B
SCHW,2013-03,298.00M,58.79B,0,0.15,0.15,1.547B,0,2013-03,206.00M,10.73B,675.00M,1.632B,43.04B,331.00M,125.00M,1.296B,664.00M,9.589B,133.64B,880.00M,73.26B,43.04B,124.05B,78.03B,81.01B,715.00M,41.40B,14.36B
SCHW,2012-12,312.00M,33.56B,0,0.15,0.15,1.451B,0,2012-12,211.00M,10.10B,672.00M,1.776B,37.66B,344.00M,133.00M,1.217B,572.00M,9.465B,117.66B,879.00M,46.08B,37.66B,108.19B,71.57B,70.53B,622.00M,36.21B,12.52B
SCHW,2012-09,154.00M,30.81B,0,0.19,0.19,1.469B,0,2012-09,247.00M,9.839B,677.00M,1.999B,34.45B,361.00M,114.00M,1.206B,544.00M,9.11B,111.82B,878.00M,43.08B,34.45B,102.71B,68.73B,68.26B,594.00M,33.16B,12.27B
SCHW,2012-06,76.00M,33.70B,0,0.2,0.2,1.48B,0,2012-06,275.00M,9.812B,684.00M,2.00B,38.89B,432.00M,157.00M,1.287B,558.00M,8.337B,111.48B,409.00M,45.49B,38.89B,103.14B,65.99B,64.26B,606.00M,37.58B,11.80B
SCHW,2012-03,8.00M,42.64B,0,0.15,0.15,1.487B,0,2012-03,195.00M,9.882B,685.00M,2.001B,37.98B,313.00M,118.00M,1.189B,590.00M,7.714B,108.55B,15.00M,54.57B,37.98B,100.84B,61.89B,62.86B,638.00M,36.59B,11.77B
SCHW,2011-12,56.00M,33.38B,0,0.12,0.12,1.47B,0,2011-12,163.00M,9.784B,665.00M,2.002B,39.17B,252.00M,89.00M,1.096B,565.00M,7.655B,102.91B,15.00M,45.03B,39.17B,95.25B,57.88B,56.08B,635.00M,37.95B,11.64B
SCHW,2011-09,45.00M,30.31B,0,0.18,0.18,631.00M,0,2011-09,220.00M,9.52B,639.00M,2.004B,36.50B,360.00M,140.00M,1.202B,527.00M,6.734B,97.57B,14.00M,42.41B,36.50B,90.84B,55.16B,54.34B,553.00M,35.27B,12.10B
SCHW,2011-06,34.00M,28.62B,0,0.2,0.2,631.00M,0,2011-06,238.00M,9.164B,627.00M,2.005B,35.13B,386.00M,148.00M,1.193B,535.00M,6.487B,94.88B,14.00M,40.42B,35.13B,88.40B,54.46B,53.26B,566.00M,33.73B,11.81B
