Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MET,2014-03,8.215B,381.24B,100.00M,0,1.15,1.14,10.43B,2014-03,1.328B,68.90B,-312.00M,-312.00M,0,8.906B,19.99B,895.00M,1.826B,484.00M,17.08B,1.731B,65.76B,890.90B,12.00M,421.77B,995.00M,824.57B,468.21B,286.34B,2.465B,895.00M,23.03B
MET,2013-12,5.104B,375.13B,175.00M,0,1.387,0.77,10.54B,2013-12,908.00M,69.47B,-323.00M,-323.00M,0,6.643B,21.85B,861.00M,1.268B,353.00M,18.46B,1.972B,61.55B,885.30B,12.00M,413.75B,1.036B,823.20B,463.99B,287.89B,2.978B,861.00M,21.86B
MET,2013-09,5.10B,376.07B,100.00M,0,0.85,0.84,9.509B,2013-09,972.00M,69.52B,-317.00M,-317.00M,0,5.955B,21.44B,968.00M,976.00M,3.00M,16.34B,1.87B,60.93B,822.64B,12.00M,416.19B,1.068B,761.38B,458.92B,289.42B,2.55B,968.00M,23.47B
MET,2013-06,6.202B,381.92B,100.00M,7.214B,0.43,0.43,9.447B,2013-06,502.00M,67.36B,-321.00M,-321.00M,0,6.602B,21.77B,861.00M,561.00M,53.00M,15.72B,1.45B,60.00B,815.66B,12.00M,420.57B,961.00M,755.25B,465.31B,292.22B,2.189B,861.00M,23.28B
MET,2013-03,10.58B,401.12B,100.00M,2.238B,0.87,0.87,9.696B,2013-03,986.00M,67.40B,-321.00M,-321.00M,0,8.699B,21.91B,944.00M,1.247B,252.00M,17.68B,1.81B,64.45B,841.68B,12.00M,440.76B,1.044B,776.81B,483.38B,304.44B,2.824B,944.00M,23.05B
MET,2012-12,11.40B,409.80B,100.00M,0,0.088,0.088,9.953B,2012-12,127.00M,68.89B,-270.00M,-270.00M,0,8.693B,22.25B,1.129B,-477.00M,-582.00M,17.33B,1.986B,64.45B,836.78B,12.00M,447.12B,1.229B,771.94B,488.13B,312.46B,2.93B,1.129B,21.63B
MET,2012-09,11.32B,31.63B,100.00M,0,-0.92,-0.92,10.02B,2012-09,-954.00M,71.12B,-345.00M,-345.00M,0,9.275B,27.01B,5.177B,-1.01B,-53.00M,16.50B,1.963B,64.05B,846.28B,12.00M,54.57B,5.277B,781.74B,500.75B,81.29B,900.00M,5.177B,22.94B
MET,2012-06,8.735B,34.56B,101.00M,0,2.13,2.12,11.82B,2012-06,2.295B,70.85B,-362.00M,-362.00M,0,8.603B,22.07B,4.465B,3.338B,1.038B,18.40B,1.98B,62.41B,825.19B,12.00M,58.54B,4.566B,762.36B,496.46B,77.81B,2.807B,4.465B,23.97B
MET,2012-03,7.266B,30.47B,101.00M,0,-0.16,-0.16,11.90B,2012-03,-144.00M,80.48B,-379.00M,-379.00M,0,6.375B,26.58B,3.70B,-409.00M,-275.00M,15.92B,2.147B,58.67B,819.60B,12.00M,54.23B,3.801B,760.48B,490.36B,75.93B,3.098B,3.70B,23.76B
MET,2011-12,6.083B,381.06B,686.00M,0,0.9,0.9,11.94B,2011-12,990.00M,83.98B,-392.00M,-392.00M,0,6.395B,26.88B,967.00M,1.275B,312.00M,16.74B,-3.093B,57.52B,796.23B,12.00M,421.34B,1.653B,738.34B,481.36B,310.91B,-5.573B,967.00M,22.48B
MET,2011-09,6.813B,25.91B,451.00M,0,3.23,3.21,12.01B,2011-09,3.456B,74.88B,-451.00M,-451.00M,0,3.764B,33.24B,3.167B,5.115B,1.673B,20.45B,3.837B,60.35B,785.23B,12.00M,49.05B,10.83B,724.36B,488.64B,78.86B,7.583B,3.167B,23.14B
MET,2011-06,3.356B,22.05B,102.00M,0,1.01,1,12.04B,2011-06,1.10B,75.48B,-443.00M,-443.00M,0,0,36.76B,1.414B,1.51B,448.00M,17.15B,3.666B,53.31B,771.48B,12.00M,43.12B,1.516B,717.65B,468.00B,80.62B,6.808B,1.414B,21.07B
MET,2011-03,1.115B,19.51B,572.00M,0,0.66,0.66,11.95B,2011-03,877.00M,73.70B,-438.00M,-438.00M,0,0,36.09B,906.00M,1.285B,361.00M,15.91B,3.363B,49.82B,751.34B,12.00M,39.83B,3.716B,700.99B,455.78B,74.03B,6.014B,906.00M,20.32B
