Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ZTS,2018-06,-543.00M,1.558B,447.00M,750.00M,0.79,0.79,2.739B,2.992B,968.00M,2018-06,1.42B,384.00M,-38.00M,-38.00M,1.47B,229.00M,4.955B,484.00M,778.00M,437.00M,55.00M,102.00M,1.415B,359.00M,1.97B,8.603B,5.00M,4.239B,967.00M,6.621B,4.364B,5.654B,484.00M,344.00M,973.00M
ZTS,2018-03,-429.00M,1.654B,447.00M,850.00M,0.72,0.72,2.812B,2.972B,919.00M,2018-03,1.441B,352.00M,-41.00M,-41.00M,1.453B,246.00M,4.954B,461.00M,789.00M,417.00M,67.00M,97.00M,1.366B,338.00M,1.96B,8.69B,5.00M,4.267B,1.00B,6.715B,4.423B,5.715B,458.00M,370.00M,943.00M
ZTS,2017-12,-505.00M,1.564B,457.00M,750.00M,0.17,0.16,2.779B,2.906B,1.003B,2017-12,1.427B,81.00M,-45.00M,-45.00M,1.435B,380.00M,4.953B,509.00M,814.00M,430.00M,350.00M,110.00M,1.46B,361.00M,1.77B,8.586B,5.00M,4.217B,1.094B,6.80B,4.369B,5.706B,494.00M,382.00M,998.00M
ZTS,2017-09,-455.00M,1.981B,435.00M,4.00M,0.61,0.61,2.848B,2.835B,912.00M,2017-09,1.49B,298.00M,-40.00M,-40.00M,1.388B,269.00M,4.952B,465.00M,754.00M,413.00M,117.00M,96.00M,1.347B,328.00M,1.989B,9.288B,5.00M,4.894B,1.746B,7.269B,4.394B,5.523B,447.00M,341.00M,1.009B
ZTS,2017-06,-542.00M,705.00M,440.00M,4.00M,0.5,0.5,2.705B,2.752B,829.00M,2017-06,1.498B,247.00M,-41.00M,-41.00M,1.355B,261.00M,3.719B,384.00M,739.00M,345.00M,98.00M,86.00M,1.269B,336.00M,1.715B,7.802B,5.00M,3.584B,1.784B,6.056B,4.218B,4.272B,445.00M,333.00M,975.00M
ZTS,2017-03,-552.00M,629.00M,443.00M,0,0.48,0.48,2.729B,2.803B,788.00M,2017-03,1.535B,238.00M,-41.00M,-41.00M,1.368B,272.00M,3.718B,367.00M,766.00M,337.00M,98.00M,90.00M,1.231B,309.00M,1.609B,7.649B,5.00M,3.383B,1.73B,6.014B,4.266B,4.284B,421.00M,383.00M,954.00M
ZTS,2016-12,-598.00M,727.00M,468.00M,0,0.31,0.31,2.709B,2.739B,809.00M,2016-12,1.502B,154.00M,-33.00M,-33.00M,1.381B,244.00M,4.468B,319.00M,852.00M,231.00M,77.00M,108.00M,1.277B,361.00M,1.487B,7.649B,5.00M,3.39B,1.117B,6.15B,4.259B,5.033B,490.00M,388.00M,913.00M
ZTS,2016-09,-506.00M,651.00M,410.00M,0,0.48,0.48,2.779B,2.723B,831.00M,2016-09,1.563B,239.00M,-41.00M,-41.00M,1.382B,266.00M,4.467B,375.00M,793.00M,333.00M,96.00M,90.00M,1.241B,345.00M,1.585B,7.715B,5.00M,3.364B,1.039B,6.117B,4.351B,5.078B,456.00M,336.00M,915.00M
ZTS,2016-06,-554.00M,658.00M,399.00M,0,0.45,0.45,2.692B,2.638B,809.00M,2016-06,1.525B,224.00M,-41.00M,-41.00M,1.341B,292.00M,4.465B,356.00M,834.00M,332.00M,108.00M,88.00M,1.208B,343.00M,1.357B,7.518B,5.00M,3.328B,1.039B,6.147B,4.19B,5.108B,453.00M,322.00M,888.00M
ZTS,2016-03,-618.00M,675.00M,389.00M,0,0.41,0.41,2.669B,2.565B,773.00M,2016-03,1.461B,204.00M,-43.00M,-43.00M,1.317B,270.00M,4.464B,347.00M,929.00M,332.00M,128.00M,90.00M,1.162B,315.00M,1.165B,7.453B,5.00M,3.307B,1.163B,6.266B,4.146B,5.103B,426.00M,377.00M,908.00M
ZTS,2015-12,-622.00M,1.154B,496.00M,405.00M,0.04,0.04,2.645B,2.515B,778.00M,2015-12,1.467B,22.00M,-38.00M,-38.00M,1.307B,264.00M,4.463B,228.00M,1.079B,69.00M,49.00M,109.00M,1.274B,425.00M,1.068B,7.913B,5.00M,3.83B,1.781B,6.822B,4.083B,5.041B,550.00M,403.00M,937.00M
ZTS,2015-09,-562.00M,592.00M,421.00M,408.00M,0.38,0.38,1.842B,2.494B,793.00M,2015-09,1.403B,189.00M,-29.00M,-29.00M,1.293B,227.00M,3.226B,313.00M,996.00M,273.00M,83.00M,91.00M,1.214B,374.00M,1.229B,6.686B,5.00M,3.45B,1.658B,5.432B,3.236B,3.774B,480.00M,397.00M,1.038B
