Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ALL,2018-06,-1.268B,3.612B,0,1.94,1.91,2.189B,2018-06,717.00M,4.535B,-86.00M,-86.00M,1.04B,723.00M,6.448B,0,897.00M,180.00M,10.10B,1.351B,23.12B,113.37B,2.312B,18.48B,0,90.25B,85.50B,21.00B,1.353B,0,14.86B
ALL,2018-03,-1.15B,3.874B,0,2.76,2.71,2.189B,2018-03,1.006B,4.679B,-83.00M,-83.00M,1.06B,725.00M,6.847B,0,1.263B,257.00M,9.77B,1.317B,23.28B,113.29B,2.312B,18.65B,0,90.01B,85.68B,21.02B,1.321B,0,14.77B
ALL,2017-12,306.00M,2.561B,0,3.41,3.35,2.737B,2017-12,1.614B,4.534B,-84.00M,-84.00M,1.072B,782.00M,6.35B,0,1.715B,101.00M,10.06B,914.00M,22.55B,112.42B,1.755B,17.27B,0,89.87B,84.92B,20.60B,775.00M,0,14.71B
ALL,2017-09,328.00M,2.888B,0,1.76,1.74,2.309B,2017-09,666.00M,4.322B,-83.00M,-83.00M,1.067B,1.249B,6.349B,0,971.00M,305.00M,9.888B,1.446B,22.12B,113.63B,1.755B,18.56B,0,91.51B,85.29B,21.13B,1.433B,0,15.67B
ALL,2017-06,102.00M,2.657B,0,1.51,1.49,2.309B,2017-06,579.00M,4.336B,-83.00M,-83.00M,1.072B,1.104B,6.348B,0,851.00M,272.00M,9.813B,1.312B,21.50B,110.86B,1.755B,17.07B,0,89.36B,84.13B,20.48B,1.271B,0,14.42B
ALL,2017-03,-197.00M,3.195B,0,1.82,1.79,2.295B,2017-03,695.00M,4.349B,-85.00M,-85.00M,1.067B,833.00M,6.346B,0,1.012B,317.00M,9.644B,1.307B,21.16B,110.24B,1.755B,17.57B,0,89.08B,83.69B,19.88B,1.299B,0,14.37B
ALL,2016-12,-416.00M,4.724B,0,2.2,2.18,1.219B,2016-12,840.00M,4.486B,-77.00M,-77.00M,1.065B,487.00M,6.347B,0,1.258B,418.00M,10.14B,1.896B,20.57B,108.61B,1.755B,19.07B,0,88.04B,82.21B,19.42B,1.888B,0,14.34B
ALL,2016-09,502.00M,2.252B,0,1.32,1.31,1.219B,2016-09,520.00M,4.396B,-73.00M,-73.00M,1.013B,935.00M,5.11B,0,765.00M,245.00M,9.221B,1.021B,20.93B,108.54B,1.755B,16.97B,0,87.60B,81.84B,18.82B,1.017B,0,14.72B
ALL,2016-06,295.00M,3.296B,0,0.65,0.64,1.219B,2016-06,271.00M,4.453B,-72.00M,-72.00M,1.011B,782.00M,5.109B,0,376.00M,105.00M,9.164B,1.04B,20.55B,107.28B,1.755B,17.54B,0,86.73B,81.18B,18.19B,1.03B,0,14.24B
ALL,2016-03,-150.00M,4.057B,0,0.57,0.57,1.219B,2016-03,246.00M,4.302B,-73.00M,-73.00M,1.011B,479.00M,5.108B,0,355.00M,109.00M,8.871B,982.00M,20.34B,105.95B,1.755B,18.19B,0,85.61B,79.85B,17.62B,979.00M,0,14.13B
